,시도명,시군구명,읍/면/동,설치유무,화재발생횟수
0,광주광역시,남구,양림동,0.0,5.0
1,광주광역시,남구,방림1동,0.0,0.0
2,광주광역시,남구,방림2동,0.0,0.0
3,광주광역시,남구,봉선1동,0.0,0.0
4,광주광역시,남구,봉선2동,0.0,0.0
5,광주광역시,남구,사동,1.0,0.0
6,광주광역시,남구,월산동,0.0,0.0
7,광주광역시,남구,월산4동,0.0,0.0
8,광주광역시,남구,월산5동,0.0,0.0
9,광주광역시,남구,백운1동,0.0,0.0
10,광주광역시,남구,백운2동,0.0,0.0
11,광주광역시,남구,주월1동,0.0,0.0
12,광주광역시,남구,주월2동,0.0,0.0
13,광주광역시,남구,효덕동,0.0,0.0
14,광주광역시,남구,송암동,0.0,0.0
15,광주광역시,남구,대촌동,0.0,0.0
16,광주광역시,남구,구동,,2.0
17,광주광역시,남구,구소동,,1.0
18,광주광역시,남구,대지동,,2.0
19,광주광역시,남구,덕남동,,1.0
20,광주광역시,남구,방림동,,3.0
21,광주광역시,남구,백운동,,3.0
22,광주광역시,남구,봉선동,,10.0
23,광주광역시,남구,서동,,2.0
24,광주광역시,남구,석정동,,1.0
25,광주광역시,남구,송하동,,8.0
26,광주광역시,남구,승촌동,,6.0
27,광주광역시,남구,신장동,,2.0
28,광주광역시,남구,압촌동,,1.0
29,광주광역시,남구,양과동,,4.0
30,광주광역시,남구,양촌동,,1.0
31,,,원산동,,5.0
32,,,월산동,,9.0
33,,,월성동,,2.0
34,,,이장동,,3.0
35,,,임암동,,3.0
36,,,주월동,,16.0
37,,,지석동,,1.0
38,,,진월동,,11.0
39,,,칠석동,,2.0
40,,,행암동,,3.0
41,,,화장동,,2.0
