시도명,시군구명,읍/면/동,등록인구수
서울특별시,종로구,사직동,9806
서울특별시,종로구,삼청동,2909
서울특별시,종로구,부암동,10333
서울특별시,종로구,평창동,18582
서울특별시,종로구,무악동,8592
서울특별시,종로구,교남동,10634
서울특별시,종로구,가회동,4418
서울특별시,종로구,종로1가동,2112
서울특별시,종로구,종로2가동,2112
서울특별시,종로구,종로3가동,2112
서울특별시,종로구,종로4가동,2113
서울특별시,종로구,종로5가동,2845
서울특별시,종로구,종로6가동,2846
서울특별시,종로구,이화동,8111
서울특별시,종로구,창신1동,5964
서울특별시,종로구,창신2동,9503
서울특별시,종로구,창신3동,7107
서울특별시,종로구,숭인1동,6388
서울특별시,종로구,숭인2동,10178
서울특별시,종로구,청운효자동,12633
서울특별시,종로구,혜화동,19734
서울특별시,중구,소공동,3011
서울특별시,중구,회현동,5757
서울특별시,중구,명동,3685
서울특별시,중구,필동,4754
서울특별시,중구,장충동,5468
서울특별시,중구,광희동,6416
서울특별시,중구,을지로동,1967
서울특별시,중구,신당5동,10867
서울특별시,중구,황학동,13531
서울특별시,중구,중림동,12801
서울특별시,중구,신당동,9191
서울특별시,중구,다산동,14725
서울특별시,중구,약수동,17354
서울특별시,중구,청구동,14281
서울특별시,중구,동화동,10827
서울특별시,용산구,후암동,18202
서울특별시,용산구,용산2가동,11272
서울특별시,용산구,남영동,8116
서울특별시,용산구,원효로2동,14331
서울특별시,용산구,효창동,10326
서울특별시,용산구,용문동,12455
서울특별시,용산구,이촌1동,28961
서울특별시,용산구,이촌2동,8808
서울특별시,용산구,이태원1동,8764
서울특별시,용산구,이태원2동,10795
서울특별시,용산구,서빙고동,14000
서울특별시,용산구,보광동,15531
서울특별시,용산구,청파동,20496
서울특별시,용산구,원효로1동,16730
서울특별시,용산구,한강로동,22097
서울특별시,용산구,한남동,23761
서울특별시,성동구,왕십리2동,17416
서울특별시,성동구,마장동,23459
서울특별시,성동구,사근동,13512
서울특별시,성동구,행당1동,14363
서울특별시,성동구,행당2동,24151
서울특별시,성동구,응봉동,15824
서울특별시,성동구,금호1가동,15795
서울특별시,성동구,금호4가동,14842
서울특별시,성동구,성수1가1동,16851
서울특별시,성동구,성수1가2동,13738
서울특별시,성동구,성수2가1동,17146
서울특별시,성동구,성수2가3동,11457
서울특별시,성동구,송정동,11143
서울특별시,성동구,용답동,12724
서울특별시,성동구,왕십리도선동,27588
서울특별시,성동구,금호2.3가동,23584
서울특별시,성동구,옥수동,26912
서울특별시,광진구,화양동,25541
서울특별시,광진구,군자동,21903
서울특별시,광진구,중곡동,85192
서울특별시,광진구,능동,11913
서울특별시,광진구,구의동,79732
서울특별시,광진구,광장동,35619
서울특별시,광진구,자양동,100209
서울특별시,동대문구,회기동,12663
서울특별시,동대문구,휘경1동,15362
서울특별시,동대문구,휘경2동,24992
서울특별시,동대문구,청량리동,20432
서울특별시,동대문구,용신동,32602
서울특별시,동대문구,제기동,27017
서울특별시,동대문구,전농1동,30722
서울특별시,동대문구,전농2동,19449
서울특별시,동대문구,답십리2동,29486
서울특별시,동대문구,장안1동,39287
서울특별시,동대문구,장안2동,33339
서울특별시,동대문구,이문1동,21205
서울특별시,동대문구,이문2동,20947
서울특별시,동대문구,답십리1동,29511
서울특별시,중랑구,면목2동,25214
서울특별시,중랑구,면목4동,19270
서울특별시,중랑구,면목5동,14661
서울특별시,중랑구,면목7동,22714
서울특별시,중랑구,상봉1동,24912
서울특별시,중랑구,상봉2동,20214
서울특별시,중랑구,중화1동,20400
서울특별시,중랑구,중화2동,26073
서울특별시,중랑구,묵1동,35588
서울특별시,중랑구,묵2동,19672
서울특별시,중랑구,망우3동,17508
서울특별시,중랑구,신내1동,39831
서울특별시,중랑구,신내2동,21302
서울특별시,중랑구,면목본동,35424
서울특별시,중랑구,면목3.8동,25995
서울특별시,중랑구,망우본동,30784
서울특별시,성북구,돈암1동,15379
서울특별시,성북구,돈암2동,24686
서울특별시,성북구,안암동,16580
서울특별시,성북구,보문동,16123
서울특별시,성북구,정릉1동,18929
서울특별시,성북구,정릉2동,23736
서울특별시,성북구,정릉3동,16847
서울특별시,성북구,정릉4동,25993
서울특별시,성북구,길음1동,36568
서울특별시,성북구,길음2동,17167
서울특별시,성북구,월곡1동,27108
서울특별시,성북구,월곡2동,20396
서울특별시,성북구,장위1동,20449
서울특별시,성북구,장위2동,14106
서울특별시,성북구,장위3동,17359
서울특별시,성북구,성북동,17404
서울특별시,성북구,삼선동,24144
서울특별시,성북구,동선동,16246
서울특별시,성북구,종암동,41353
서울특별시,성북구,석관동,36483
서울특별시,강북구,번1동,19441
서울특별시,강북구,번2동,16544
서울특별시,강북구,번3동,17605
서울특별시,강북구,수유1동,21468
서울특별시,강북구,수유2동,21595
서울특별시,강북구,수유3동,23907
서울특별시,강북구,삼양동,24742
서울특별시,강북구,미아동,22723
서울특별시,강북구,송중동,30934
서울특별시,강북구,송천동,27871
서울특별시,강북구,삼각산동,32118
서울특별시,강북구,우이동,21076
서울특별시,강북구,인수동,31545
서울특별시,도봉구,쌍문1동,22016
서울특별시,도봉구,쌍문2동,19406
서울특별시,도봉구,쌍문3동,16922
서울특별시,도봉구,쌍문4동,19297
서울특별시,도봉구,방학1동,29236
서울특별시,도봉구,방학2동,20473
서울특별시,도봉구,방학3동,27973
서울특별시,도봉구,창1동,25400
서울특별시,도봉구,창2동,29912
서울특별시,도봉구,창3동,14402
서울특별시,도봉구,창4동,27286
서울특별시,도봉구,창5동,25308
서울특별시,도봉구,도봉1동,21810
서울특별시,도봉구,도봉2동,27920
서울특별시,노원구,월계1동,23085
서울특별시,노원구,월계2동,27615
서울특별시,노원구,월계3동,30790
서울특별시,노원구,공릉2동,40360
서울특별시,노원구,하계1동,27965
서울특별시,노원구,하계2동,22723
서울특별시,노원구,중계본동,24942
서울특별시,노원구,중계1동,27556
서울특별시,노원구,중계4동,20752
서울특별시,노원구,상계1동,39204
서울특별시,노원구,상계2동,20692
서울특별시,노원구,상계5동,24797
서울특별시,노원구,상계8동,22963
서울특별시,노원구,상계9동,21221
서울특별시,노원구,상계10동,17631
서울특별시,노원구,상계3.4동,27184
서울특별시,노원구,상계6.7동,33642
서울특별시,노원구,중계2.3동,35586
서울특별시,노원구,공릉1동,38324
서울특별시,은평구,녹번동,37815
서울특별시,은평구,불광1동,40022
서울특별시,은평구,갈현1동,23396
서울특별시,은평구,갈현2동,29239
서울특별시,은평구,구산동,32997
서울특별시,은평구,대조동,27579
서울특별시,은평구,응암1동,31265
서울특별시,은평구,응암2동,27776
서울특별시,은평구,신사1동,27776
서울특별시,은평구,신사2동,20945
서울특별시,은평구,증산동,15487
서울특별시,은평구,수색동,11258
서울특별시,은평구,진관동,57256
서울특별시,은평구,불광2동,28740
서울특별시,은평구,응암3동,25553
서울특별시,은평구,역촌동,46939
서울특별시,서대문구,천연동,18049
서울특별시,서대문구,홍제동,54921
서울특별시,서대문구,홍은동,51000
서울특별시,서대문구,남가좌동,47137
서울특별시,서대문구,북가좌동,51504
서울특별시,서대문구,충현동,21229
서울특별시,서대문구,북아현동,16956
서울특별시,서대문구,신촌동,23051
서울특별시,서대문구,연희동,39105
서울특별시,마포구,용강동,22257
서울특별시,마포구,대흥동,15863
서울특별시,마포구,염리동,12864
서울특별시,마포구,신수동,23606
서울특별시,마포구,서교동,26981
서울특별시,마포구,합정동,18576
서울특별시,마포구,망원1동,21113
서울특별시,마포구,망원2동,19216
서울특별시,마포구,연남동,16682
서울특별시,마포구,성산1동,19679
서울특별시,마포구,성산2동,40669
서울특별시,마포구,상암동,31997
서울특별시,마포구,도화동,21998
서울특별시,마포구,서강동,25386
