시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄비율
강원도,강릉시,주문진읍,1.0,17085.0,8.0,0.0,1.0,0.0002580415152140271
강원도,강릉시,성산면,0.0,3393.0,3.0,0.0,1.0,5.1033280167676674e-05
강원도,강릉시,왕산면,0.0,1648.0,2.0,0.0,0.0,2.5157250786882868e-05
강원도,강릉시,구정면,0.0,4096.0,5.0,0.0,0.0,6.181495907634077e-05
강원도,강릉시,강동면,1.0,4690.0,3.0,0.0,0.0,7.115908079718298e-05
강원도,강릉시,옥계면,0.0,3857.0,4.0,0.0,1.0,5.822106610678607e-05
강원도,강릉시,사천면,0.0,4601.0,3.0,0.0,0.0,6.972152360936109e-05
강원도,강릉시,연곡면,0.0,6871.0,3.0,0.0,1.0,0.00010350411752317524
강원도,강릉시,홍제동,0.0,14729.0,2.0,0.0,0.0,0.00022210258551848017
강원도,강릉시,중앙동,0.0,5425.0,0.0,0.0,0.0,8.194075970584705e-05
강원도,강릉시,옥천동,0.0,3694.0,2.0,0.0,0.0,5.606473032505325e-05
강원도,강릉시,교1동,0.0,27236.0,3.0,0.0,0.0,0.00041114135571705717
강원도,강릉시,교2동,0.0,8284.0,4.0,0.0,0.0,0.0001250674753405034
강원도,강릉시,포남1동,0.0,11184.0,3.0,0.0,0.0,0.0001689129695690707
강원도,강릉시,포남2동,0.0,14191.0,4.0,0.0,0.0,0.00021419602098545986
강원도,강릉시,초당동,0.0,5146.0,1.0,0.0,0.0,7.762808814238142e-05
강원도,강릉시,송정동,0.0,7093.0,2.0,0.0,0.0,0.00010709801049272993
강원도,강릉시,내곡동,0.0,16059.0,2.0,0.0,0.0,0.00024222838614798648
강원도,강릉시,강남동,0.0,19111.0,0.0,0.0,0.0,0.0002882302161582866
강원도,강릉시,성덕동,0.0,29100.0,0.0,0.0,0.0,0.00043917372087958384
강원도,강릉시,경포동,0.0,7746.0,0.0,0.0,0.0,0.00011716091080748307
강원도,고성군,간성읍,0.0,7408.0,4.0,0.0,0.0,0.0007209349296926719
강원도,고성군,거진읍,0.0,6911.0,2.0,0.0,2.0,0.000672776763900639
강원도,고성군,현내면,0.0,2528.0,1.0,0.0,2.0,0.0002458222791175412
강원도,고성군,죽왕면,0.0,4004.0,2.0,0.0,1.0,0.000389577997899729
강원도,고성군,토성면,0.0,8267.0,3.0,0.0,0.0,0.0008043132465863408
강원도,동해시,천곡동,0.0,30768.0,11.0,0.0,0.0,0.00026882319412269124
강원도,동해시,송정동,0.0,4575.0,2.0,0.0,0.0,4.0251601259012594e-05
강원도,동해시,북삼동,0.0,20554.0,0.0,0.0,0.0,0.00017969464847773477
강원도,동해시,부곡동,0.0,5691.0,2.0,0.0,0.0,4.95957229798548e-05
강원도,동해시,동호동,0.0,4982.0,0.0,0.0,0.0,4.384549422856728e-05
강원도,동해시,발한동,0.0,4019.0,5.0,0.0,0.0,3.5220151101636017e-05
강원도,동해시,묵호동,0.0,3668.0,0.0,0.0,0.0,3.234503672599226e-05
강원도,동해시,북평동,0.0,10651.0,2.0,0.0,0.0,9.34412172084221e-05
강원도,동해시,망상동,0.0,4035.0,2.0,0.0,1.0,3.5220151101636017e-05
강원도,동해시,삼화동,0.0,3194.0,0.0,0.0,1.0,2.8032365162526626e-05
강원도,삼척시,도계읍,0.0,11507.0,5.0,0.0,0.0,0.0003838277691484415
강원도,삼척시,원덕읍,0.0,5412.0,2.0,0.0,0.0,0.00018041342707164572
강원도,삼척시,근덕면,0.0,5565.0,3.0,0.0,3.0,0.0001854448772290223
강원도,삼척시,하장면,0.0,1366.0,0.0,0.0,0.0,4.5283051416389165e-05
강원도,삼척시,노곡면,0.0,723.0,0.0,0.0,0.0,2.4438472192971934e-05
강원도,삼척시,미로면,0.0,1947.0,1.0,0.0,0.0,6.469007345198452e-05
강원도,삼척시,가곡면,0.0,735.0,1.0,0.0,0.0,2.4438472192971934e-05
강원도,삼척시,신기면,0.0,674.0,1.0,0.0,0.0,2.2282136411239114e-05
강원도,삼척시,남양동,0.0,8142.0,1.0,0.0,0.0,0.00027169830849833496
강원도,삼척시,교동,0.0,14802.0,1.0,0.0,0.0,0.0004930821154229042
강원도,삼척시,정라동,0.0,9616.0,0.0,0.0,0.0,0.00032057525288427887
