시군구명,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄비율
가평군,1,32493.0,20.0,0.0,2.0,0.1138538104968986
강남구,0,544055.0,94.0,495.0,0.0,0.0260255353283267
강동구,0,463998.0,180.0,269.0,0.0,0.0128201350009951
강릉시,1,215239.0,54.0,0.0,4.0,0.0032495980230706116
강북구,0,311569.0,76.0,186.0,0.0,0.0082221083357467
강서구,1,585901.0,79.0,309.0,4.0,0.0194983069170216
고성군,0,29118.0,12.0,0.0,5.0,0.0028334252171967
고창군,1,55424.0,37.0,0.0,1.0,0.0075744888226327006
관악구,0,509803.0,36.0,171.0,1.0,0.018075125301077296
광산구,1,418776.0,127.0,0.0,0.0,0.06508971435019761
광진구,1,360109.0,154.0,200.0,0.0,0.0096999171248277
구로구,0,432488.0,53.0,243.0,0.0,0.013966586858283198
금천구,0,247835.0,86.0,174.0,0.0,0.0052722409863366
남구,1,219613.0,37.0,0.0,0.0,0.017349158921227598
노원구,0,527032.0,208.0,279.0,0.0,0.015074224671499901
도봉구,0,327361.0,69.0,192.0,0.0,0.0047647832990354005
동구,0,100504.0,26.0,0.0,0.0,0.0077160882056333
동대문구,0,357014.0,146.0,179.0,0.0,0.0090666731835919
동작구,0,401572.0,118.0,208.0,0.0,0.0091133937921964
동해시,0,92137.0,24.0,0.0,2.0,0.0008064695823679479
마포구,0,381858.0,82.0,186.0,0.0,0.011962632138458999
무주군,1,24252.0,11.0,0.0,1.0,0.0014239003945373688
북구,0,438734.0,148.0,0.0,0.0,0.08063330144352192
삼척시,0,69115.0,15.0,0.0,3.0,0.0023036853934842567
서구,1,415287.0,94.0,0.0,11.0,0.1374750314285929
서대문구,1,322952.0,60.0,152.0,0.0,0.006441693758629401
서초구,0,493594.0,124.0,224.0,6.0,0.0175216657837667
성동구,0,300505.0,96.0,186.0,0.0,0.005151486182559001
성북구,0,447056.0,200.0,111.0,3.0,0.0087015336578853
속초시,0,82694.0,12.0,0.0,2.0,0.0017056616033503285
송파구,0,673926.0,184.0,312.0,0.0,0.026347548138398603
신안군,1,41102.0,30.0,0.0,1.0,0.033065252877090404
아산시,1,333074.0,55.0,0.0,2.0,0.1051573082891698
양구군,0,23666.0,10.0,0.0,3.0,0.0014203065015678815
양양군,0,27652.0,15.0,0.0,3.0,0.00019047632738639883
양천구,0,456390.0,136.0,244.0,0.0,0.0101527476389918
영등포구,0,407367.0,132.0,111.0,0.0,0.016039544323122098
영월군,0,39998.0,27.0,0.0,1.0,0.0003277630388233753
용산구,0,244645.0,52.0,131.0,0.0,0.0053620883105746
원주시,0,347421.0,69.0,0.0,1.0,0.0032941622958933547
은평구,0,484043.0,76.0,159.0,2.0,0.012856073930690297
인제군,1,32455.0,25.0,0.0,2.0,0.004644747273852101
정선군,0,37965.0,16.0,0.0,2.0,0.00022066502833065834
정읍시,0,111239.0,33.0,0.0,0.0,0.036267411512963504
종로구,0,159032.0,42.0,102.0,0.0,0.004134414472175227
중구,0,134635.0,52.0,109.0,0.0,0.004010065775428675
중랑구,0,399562.0,84.0,196.0,4.0,0.011892191836256201
진천군,1,84265.0,36.0,0.0,0.0,0.07044030220327159
철원군,0,47138.0,26.0,0.0,2.0,0.0009940707953786003
춘천시,1,285002.0,84.0,0.0,3.0,0.0024129397397585775
태백시,0,45112.0,9.0,0.0,0.0,0.004882662988436601
평창군,0,43021.0,23.0,0.0,6.0,0.000772686988454166
홍천군,0,70898.0,34.0,0.0,2.0,0.0007475297376673118
화천군,0,25342.0,28.0,0.0,0.0,0.0006957776789056848
횡성군,0,47340.0,19.0,0.0,3.0,0.000278886094437441
