광역,기초,,,,,MOTOCY_CNT,CYCLE_CNT,WALK_CNT,DRK
서울,강남구,수서역사거리,27,0,,,,,
서울,강남구,을지병원 앞 사거리,16,2,,0,1,0,0
서울,강남구,성수대교 남단 사거리,12,0,,0,0,0,2
서울,강남구,교수마을입구(자곡동 205-15),14,0,,0,0,0,2
서울,강남구,청담사거리,14,0,,0,0,0,1
서울,강남구,양재전화국입구,14,0,,0,0,0,2
서울,강남구,서울세관 사거리,12,1,,0,0,0,2
서울,강남구,신사역 오거리,15,0,,0,0,0,0
서울,강남구,신논현역 사거리,12,1,,0,0,0,2
서울,강남구,논현로얄팰리스 사거리(북서),11,0,,0,0,0,1
서울,강남구,현대백화점 앞(무역센터점 남서),10,0,,1,0,0,0
서울,강남구,영동대교  남단 삼거리,8,0,,0,0,0,2
서울,강남구,하나저축은행 강남지점(남쪽),13,0,,0,0,0,0
서울,강남구,대치우성아파트 사거리,10,0,,0,0,0,0
서울,강남구,리버뷰 오피스텔 앞 사거리,7,1,,0,0,0,0
서울,강남구,학여울역 사거리,11,0,,0,0,0,0
서울,강남구,수서역 부근 삼거리(북쪽),8,0,,0,0,0,0
서울,강남구,매봉터널 사거리,10,0,,0,0,0,0
서울,강남구,경복아파트 앞 사거리,11,0,,0,0,0,0
서울,강남구,양재역 사거리,9,0,,0,0,0,1
서울,강남구,삼성제일빌딩 앞 사거리,11,0,,0,0,0,0
서울,강남구,영동세브란스(강남세브란스),10,0,,0,0,0,2
서울,강남구,도곡1동 아이파크 앞(101동 북서),10,0,,0,0,0,0
서울,강남구,선릉역 사거리,10,0,,0,0,0,0
서울,강남구,차관아파트 사거리(경기고 남서),9,0,,0,0,0,0
서울,강남구,역삼역 부근(북쪽 사거리),10,0,,0,0,0,0
서울,강남구,일원1동주민센터 앞 삼거리,10,0,,0,0,0,0
서울,강남구,수서역사거리,3,0,,0,0,0,0
서울,강남구,신논현역 사거리,2,0,,0,0,0,0
서울,강남구,을지병원 앞 사거리,2,0,,0,0,0,0
서울,강동구,천호사거리(천호역 앞),20,0,,0,0,0,0
서울,강동구,올림픽공원북2문(체조관),14,1,,0,0,0,2
서울,강동구,길동 사거리(휴다임타워),15,1,,0,1,0,1
서울,강동구,강동성심병원 앞 사거리,15,0,,0,0,0,0
서울,강동구,생태공원앞(탐방객안내소),12,1,,0,0,0,0
서울,강동구,태영아파트 삼거리(105동),14,1,,1,0,0,0
서울,강동구,천호신사거리(현대백화점천호점),12,0,,0,0,0,0
서울,강동구,상일2교사거리(상일초 동쪽),7,0,,0,0,0,0
서울,강동구,천호역 삼거리(2번출구 북쪽),9,0,,0,0,0,0
서울,강동구,성덕여상 삼거리(북서),5,0,,0,0,0,0
서울,강동구,이마트사거리(명일점 북쪽),9,0,,0,0,0,0
서울,강동구,강동성심병원사거리(북쪽),8,0,,0,1,0,0
서울,강동구,주공6단지삼거리(620동 남쪽),7,0,,0,0,0,1
서울,강동구,천호신사거리(현대백화점천호점),10,0,,0,0,0,0
서울,강동구,천호동공원 사거리(북서),7,0,,0,0,0,0
서울,강동구,길동역 부근 사거리(남쪽),8,0,,0,0,0,0
서울,강동구,명일여고 앞 사거리,8,0,,0,1,0,0
서울,강동구,천호동성당 사거리(북쪽),9,0,,1,0,0,0
서울,강동구,천동초 입구 사거리,8,0,,2,0,0,1
서울,강동구,동신중 사거리(남서),7,1,,0,0,0,0
서울,강동구,천호시장 사거리(남쪽),9,0,,0,1,0,1
서울,강동구,광진교 남단(천호동우체국),8,0,,0,0,0,0
서울,강동구,길동역 사거리(3번출구 남쪽),8,0,,0,0,0,1
서울,강동구,길동 사거리(휴다임타워),4,0,,0,0,0,0
서울,강동구,천호신사거리(현대백화점천호점),8,0,,0,0,0,0
서울,강동구,천호동성당 사거리(북쪽),4,0,,0,0,0,0
서울,강동구,생태공원앞(탐방객안내소),4,0,,0,0,0,0
서울,강동구,천호시장 사거리(남쪽),4,0,,0,0,0,0
서울,강동구,길동역 부근 사거리(남쪽),2,0,,0,0,0,0
서울,강동구,천호사거리(천호역 앞),2,0,,0,0,0,0
서울,강북구,성화의료재단 대한병원(북쪽),24,0,,0,0,0,0
서울,강북구,수유역 사거리(2번출구),25,0,,1,0,0,0
서울,강북구,강북구청 사거리(동쪽),15,0,,0,0,0,0
서울,강북구,삼양입구 사거리(송중초),15,0,,0,0,0,1
서울,강북구,개신대학원대학교 앞 사거리,14,1,,0,0,0,0
서울,강북구,광산사거리(벽산 12동),12,0,,1,1,0,0
서울,강북구,번2치안센터 남쪽 사거리,8,2,,1,0,0,2
서울,강북구,경남아너스빌 앞(103동),10,0,,0,1,0,0
서울,강북구,수유3동우체국 앞 삼거리,9,1,,0,0,0,0
서울,강북구,미아삼거리역 앞(4번출구),14,0,,0,0,0,0
서울,강북구,미아사거리(숭곡중 북서),9,0,,0,1,0,0
서울,강북구,서울사이버대 부근(서쪽),9,0,,0,0,0,0
서울,강북구,삼양동 사거리(대지시장 동쪽),12,0,,0,0,0,1
서울,강북구,미아역 사거리(6번출구 서쪽),11,0,,2,1,0,0
서울,강북구,천주교번동성당 동쪽 삼거리,13,0,,0,0,0,0
서울,강북구,오패산터널 사거리(요진아파트),8,1,,2,1,0,0
서울,강북구,성화의료재단 대한병원(북쪽),14,0,,1,0,0,0
서울,강북구,한신대교차로,6,1,,0,0,0,1
서울,강북구,화계사입구 사거리(수유1동성당),10,0,,0,0,0,0
서울,강북구,삼양입구 사거리(송중초),8,0,,0,0,0,0
서울,강북구,근린공원 사거리,7,0,,0,0,0,0
서울,강북구,수유3동주민센터 앞 사거리,9,0,,0,0,0,0
서울,강북구,광산사거리(벽산 12동),8,0,,0,0,0,0
서울,강북구,미아역 사거리(6번출구 서쪽),5,0,,0,0,0,2
서울,강북구,개신대학원대학교 앞 사거리,7,0,,0,0,0,0
서울,강북구,삼양입구 사거리(송중초),3,0,,0,0,0,0
서울,강북구,강북구청 사거리(남서),5,0,,0,0,0,0
