,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
0,어린이집,구민회관어린이집,서울특별시 강남구 삼성로 154,강남구 대치동,37.493887,127.0642704,서울특별시 강남구청,수서경찰서,Y,1,30,2021-06-28,3220000,서울특별시 강남구
1,어린이집,신사어린이집,서울특별시 강남구 도산대로56길 14,강남구 청담동,37.52212074,127.0401134,서울특별시 강남구청,강남경찰서,Y,1,6,2021-06-28,3220000,서울특별시 강남구
2,어린이집,보미나어린이집,서울특별시 강남구 학동로20길 25,강남구 논현동,37.51150308,127.0285346,서울특별시 강남구청,강남경찰서,Y,1,8,2021-06-28,3220000,서울특별시 강남구
3,어린이집,청담어린이집,서울특별시 강남구 도산대로56길 14,강남구 청담동,37.52212074,127.0401134,서울특별시 강남구청,강남경찰서,Y,1,6,2021-06-28,3220000,서울특별시 강남구
4,어린이집,역삼어린이집,서울특별시 강남구 테헤란로22길 46,강남구 역삼동,37.497106,127.035679,서울특별시 강남구청,수서경찰서,Y,1,6,2021-06-28,3220000,서울특별시 강남구
5,어린이집,선우어린이집,서울특별시 강남구 도곡로18길 9,강남구 도곡동,37.490733,127.0385091,서울특별시 강남구청,수서경찰서,Y,1,6,2021-06-28,3220000,서울특별시 강남구
6,어린이집,수서어린이집,서울특별시 강남구 광평로 242,강남구 수서동,37.486135,127.099054,서울특별시 강남구청,수서경찰서,Y,1,8,2021-06-28,3220000,서울특별시 강남구
7,어린이집,일원어린이집,서울특별시 강남구 광평로3길 9,강남구 일원동,37.483221,127.078254,서울특별시 강남구청,수서경찰서,Y,2,8,2021-06-28,3220000,서울특별시 강남구
8,어린이집,압구정어린이집,서울특별시 강남구 언주로 157길 8,강남구 신사동,37.523923,127.0322635,서울특별시 강남구청,강남경찰서,Y,1,6,2021-06-28,3220000,서울특별시 강남구
9,어린이집,강남동산어린이집,서울특별시 강남구 개포로 257,강남구 개포동,37.47953691,127.0501412,서울특별시 강남구청,수서경찰서,Y,1,6,2021-06-28,3220000,서울특별시 강남구
10,특수학교,인강,서울특별시 도봉구 평화로15번길 9-25,도봉구 도봉동,37.6945202,127.0421215,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구
11,어린이집,배다리어린이집,서울특별시 강서구 곰달래로15길 25(화곡동),강서구 화곡동,37.5312782399,126.8395428403,서울특별시 강서구청,강서경찰서,N,,6,2021-02-15,3150000,서울특별시 강서구
12,어린이집,버클리어린이집,서울특별시 강서구 강서로47바길 21(발산1동),강서구 내발산동,37.5524728625,126.8301226269,서울특별시 강서구청,강서경찰서,Y,1,6,2021-02-15,3150000,서울특별시 강서구
13,어린이집,해맑은,서울특별시 도봉구 우이천로 487-1,도봉구 쌍문동,37.6565427,127.0152830,도봉구청,도봉경찰서,Y,1,8,2019-09-05,3090000,서울특별시 도봉구
14,어린이집,구립새하늘어린이집,서울특별시 강서구 강서로17다길 15-14(화곡동),강서구 화곡동,37.5333073893,126.8414154821,서울특별시 강서구청,강서경찰서,N,,6,2021-02-15,3150000,서울특별시 강서구
15,어린이집,꿈을여는어린이집,서울특별시 강서구 곰달래로53가길 6(화곡동),강서구 화곡동,37.5335337404,126.8592773413,서울특별시 강서구청,강서경찰서,N,,6,2021-02-15,3150000,서울특별시 강서구
16,학원,눈높이러닝센터,서울특별시 강서구 초록마을로40(화곡동),강서구 화곡동,37.5426205540,126.8471427290,서울특별시 강서구청,강서경찰서,N,,8,2021-02-15,3150000,서울특별시 강서구
17,어린이집,성산어린이집,서울특별시 강서구 개화동로23길 111(방화동),강서구 방화동,37.5652976414,126.8114272034,서울특별시 강서구청,강서경찰서,N,,10,2021-02-15,3150000,서울특별시 강서구
18,어린이집,구립엠밸리큰나무어린이집,서울특별시 강서구 마곡중앙8로1길 10(가양동),강서구 마곡동,37.5618618219,126.8360761252,서울특별시 강서구청,강서경찰서,N,,12,2021-02-15,3150000,서울특별시 강서구
19,어린이집,하늘숲어린이집,서울특별시 강서구 강서로45다길 102(화곡동),강서구 화곡동,37.5433686913,126.8344082107,서울특별시 강서구청,강서경찰서,N,,4,2021-02-15,3150000,서울특별시 강서구
20,학원,스터디플랜독서실,서울특별시 강서구 곰달래로49길 80(화곡동),강서구 화곡동,37.5349371679,126.8562350241,서울특별시 강서구청,강서경찰서,N,,6,2021-02-15,3150000,서울특별시 강서구
21,어린이집,쌍문삼성,서울특별시 도봉구 노해로 238,도봉구 쌍문동,37.6509601,127.0344914,도봉구청,도봉경찰서,Y,1,20,2019-09-05,3090000,서울특별시 도봉구
22,특수학교,서울정문학교,서울특별시 관악구 난향3길 31,관악구 신림동,37.461733,126.9169532,서울특별시 관악구청,서울관악경찰서,Y,1,6,2021-03-10,3200000,서울특별시 관악구
23,어린이집,구립선봉어린이집,서울특별시 관악구 봉천로27길 20,관악구 봉천동,37.485148,126.939675,서울특별시 관악구청,서울관악경찰서,Y,1,6,2021-03-10,3200000,서울특별시 관악구
24,어린이집,구립다원어린이집,서울특별시 관악구 미성길 123,관악구 신림동,37.47196653,126.9121893,서울특별시 관악구청,서울관악경찰서,Y,2,6,2021-03-10,3200000,서울특별시 관악구
25,어린이집,구립합실어린이집,서울특별시 관악구 광신길 113,관악구 신림동,37.464018,126.925415,서울특별시 관악구청,서울관악경찰서,Y,1,20,2021-03-10,3200000,서울특별시 관악구
26,어린이집,구립서원어린이집,서울특별시 관악구 서원3길 25,관악구 신림동,37.47692559,126.9342292,서울특별시 관악구청,서울관악경찰서,Y,1,6,2021-03-10,3200000,서울특별시 관악구
27,어린이집,예대어린이집,서울특별시 관악구 양녕로2가길 41,관악구 봉천동,37.4852990548,126.947208,서울특별시 관악구청,서울관악경찰서,Y,1,6,2021-03-10,3200000,서울특별시 관악구
28,어린이집,미라클어린이집,서울특별시 관악구 법원단지2길 15-4,관악구 신림동,37.473654,126.919802,서울특별시 관악구청,서울관악경찰서,Y,1,4~6,2021-03-10,3200000,서울특별시 관악구
29,유치원,예일유치원,서울특별시 관악구 낙성대역14길 6,관악구 봉천동,37.4739111,126.964244,서울특별시 관악구청,서울관악경찰서,Y,1,6,2021-03-10,3200000,서울특별시 관악구
30,유치원,신림유치원,서울특별시 관악구 난곡로 32길 12,관악구 신림동,37.472093,126.9202382,서울특별시 관악구청,서울관악경찰서,Y,2,4~6,2021-03-10,3200000,서울특별시 관악구
31,유치원,하늘유치원,서울특별시 관악구 양산길 18,관악구 신림동,37.47405927,126.9322556,서울특별시 관악구청,서울관악경찰서,Y,2,6~8,2021-03-10,3200000,서울특별시 관악구
32,유치원,한별유치원,서울특별시 관악구 남부순환로144길 65,관악구 신림동,37.47841871,126.9134662,서울특별시 관악구청,서울관악경찰서,Y,1,6,2021-03-10,3200000,서울특별시 관악구
33,유치원,은비유치원,서울특별시 관악구 청림5길 22,관악구 봉천동,37.489072,126.9601123,서울특별시 관악구청,서울관악경찰서,Y,1,12,2021-03-10,3200000,서울특별시 관악구
34,유치원,관악병설유치원,서울특별시 관악구 청룡4길 49,관악구 봉천동,37.48102412,126.942556,서울특별시 관악구청,서울관악경찰서,Y,1,6~20,2021-03-10,3200000,서울특별시 관악구
35,유치원,난곡병설유치원,서울특별시 관악구 난곡로35길 102,관악구 신림동,37.46912956,126.9163436,서울특별시 관악구청,서울관악경찰서,Y,1,4~8,2021-03-10,3200000,서울특별시 관악구
36,유치원,삼성병설유치원,서울특별시 관악구 대학7길 52,관악구 신림동,37.46852069,126.9404946,서울특별시 관악구청,서울관악경찰서,Y,1,6~8,2021-03-10,3200000,서울특별시 관악구
37,유치원,은천병설유치원,서울특별시 관악구 은천로 69,관악구 봉천동,37.4865852,126.9426783,서울특별시 관악구청,서울관악경찰서,Y,1,6~20,2021-03-10,3200000,서울특별시 관악구
38,유치원,청룡병설유치원,서울특별시 관악구 관악로5길 61,관악구 봉천동,37.47672482,126.9512177,서울특별시 관악구청,서울관악경찰서,Y,1,5~8,2021-03-10,3200000,서울특별시 관악구
39,특수학교,새롬학교,서울특별시 관악구 보라매로 44,관악구 봉천동,37.493126,126.927367,서울특별시 관악구청,서울관악경찰서,Y,2,20,2021-03-10,3200000,서울특별시 관악구
40,유치원,명성유치원,서울특별시 관악구 문성로 234,관악구 신림동,37.4787987761,126.929357,서울특별시 관악구청,서울관악경찰서,Y,1,8,2021-03-10,3200000,서울특별시 관악구
41,유치원,새소슬유치원,서울특별시 관악구 구암길 46,관악구 봉천동,37.489742,126.9484065,서울특별시 관악구청,서울관악경찰서,Y,1,12,2021-03-10,3200000,서울특별시 관악구
