,시도명,시군구명,읍/면/동,화재발생횟수
0,서울특별시,강남구,개포동,45
1,서울특별시,강남구,논현동,77
2,서울특별시,강남구,대치동,56
3,서울특별시,강남구,도곡동,21
4,서울특별시,강남구,삼성동,51
5,서울특별시,강남구,세곡동,6
6,서울특별시,강남구,수서동,10
7,서울특별시,강남구,신사동,47
8,서울특별시,강남구,압구정동,8
9,서울특별시,강남구,역삼동,121
10,서울특별시,강남구,율현동,4
11,서울특별시,강남구,일원동,19
12,서울특별시,강남구,자곡동,3
13,서울특별시,강남구,청담동,34
14,서울특별시,강동구,강일동,14
15,서울특별시,강동구,고덕동,19
16,서울특별시,강동구,길동,32
17,서울특별시,강동구,둔촌동,13
18,서울특별시,강동구,명일동,20
19,서울특별시,강동구,상일동,16
20,서울특별시,강동구,성내동,54
21,서울특별시,강동구,암사동,35
22,서울특별시,강동구,천호동,66
23,서울특별시,강북구,미아동,71
24,서울특별시,강북구,번동,39
25,서울특별시,강북구,수유동,71
26,서울특별시,강북구,우이동,5
27,서울특별시,강서구,가양동,31
28,서울특별시,강서구,개화동,12
29,서울특별시,강서구,공항동,13
30,서울특별시,강서구,과해동,1
31,서울특별시,강서구,내발산동,18
32,서울특별시,강서구,등촌동,54
33,서울특별시,강서구,마곡동,20
34,서울특별시,강서구,방화동,42
35,서울특별시,강서구,염창동,18
36,서울특별시,강서구,오곡동,4
37,서울특별시,강서구,외발산동,10
38,서울특별시,강서구,화곡동,141
39,서울특별시,관악구,남현동,19
40,서울특별시,관악구,봉천동,115
41,서울특별시,관악구,신림동,152
42,서울특별시,광진구,광장동,13
43,서울특별시,광진구,구의동,32
44,서울특별시,광진구,군자동,12
45,서울특별시,광진구,능동,6
46,서울특별시,광진구,자양동,54
47,서울특별시,광진구,중곡동,52
48,서울특별시,광진구,화양동,31
49,서울특별시,구로구,가리봉동,19
50,서울특별시,구로구,개봉동,44
51,서울특별시,구로구,고척동,27
52,서울특별시,구로구,구로동,114
53,서울특별시,구로구,궁동,6
54,서울특별시,구로구,신도림동,13
55,서울특별시,구로구,오류동,25
56,서울특별시,구로구,온수동,7
57,서울특별시,구로구,천왕동,4
58,서울특별시,구로구,항동,1
59,서울특별시,금천구,가산동,32
60,서울특별시,금천구,독산동,75
61,서울특별시,금천구,시흥동,67
62,서울특별시,노원구,공릉동,45
63,서울특별시,노원구,상계동,116
64,서울특별시,노원구,월계동,39
65,서울특별시,노원구,중계동,54
66,서울특별시,노원구,하계동,25
67,서울특별시,도봉구,도봉동,28
68,서울특별시,도봉구,방학동,63
69,서울특별시,도봉구,쌍문동,42
70,서울특별시,도봉구,창동,59
71,서울특별시,동대문구,답십리동,22
72,서울특별시,동대문구,신설동,5
73,서울특별시,동대문구,용두동,16
74,서울특별시,동대문구,이문동,19
75,서울특별시,동대문구,장안동,46
76,서울특별시,동대문구,전농동,24
77,서울특별시,동대문구,제기동,27
78,서울특별시,동대문구,청량리동,14
79,서울특별시,동대문구,회기동,7
80,서울특별시,동대문구,휘경동,20
81,서울특별시,동작구,노량진동,31
82,서울특별시,동작구,대방동,15
83,서울특별시,동작구,동작동,6
84,서울특별시,동작구,본동,8
85,서울특별시,동작구,사당동,53
86,서울특별시,동작구,상도1동,4
87,서울특별시,동작구,상도동,57
88,서울특별시,동작구,신대방동,26
89,서울특별시,동작구,흑석동,22
90,서울특별시,마포구,공덕동,6
91,서울특별시,마포구,노고산동,14
92,서울특별시,마포구,당인동,1
93,서울특별시,마포구,대흥동,11
94,서울특별시,마포구,도화동,11
95,서울특별시,마포구,동교동,10
96,서울특별시,마포구,마포동,3
97,서울특별시,마포구,망원동,17
98,서울특별시,마포구,상수동,8
99,서울특별시,마포구,상암동,27
100,서울특별시,마포구,서교동,44
101,서울특별시,마포구,성산동,27
102,서울특별시,마포구,신공덕동,4
103,서울특별시,마포구,신수동,8
104,서울특별시,마포구,신정동,2
105,서울특별시,마포구,아현동,8
106,서울특별시,마포구,연남동,11
107,서울특별시,마포구,염리동,3
108,서울특별시,마포구,용강동,1
109,서울특별시,마포구,중동,2
110,서울특별시,마포구,창전동,2
111,서울특별시,마포구,토정동,1
112,서울특별시,마포구,하중동,1
113,서울특별시,마포구,합정동,12
114,서울특별시,마포구,현석동,1
115,서울특별시,서대문구,남가좌동,23
116,서울특별시,서대문구,냉천동,5
117,서울특별시,서대문구,대신동,6
118,서울특별시,서대문구,대현동,10
119,서울특별시,서대문구,미근동,1
120,서울특별시,서대문구,북가좌동,27
121,서울특별시,서대문구,북아현동,9
122,서울특별시,서대문구,신촌동,4
123,서울특별시,서대문구,연희동,27
124,서울특별시,서대문구,영천동,2
125,서울특별시,서대문구,옥천동,2
126,서울특별시,서대문구,창천동,41
127,서울특별시,서대문구,천연동,1
128,서울특별시,서대문구,충정로2가,5
129,서울특별시,서대문구,충정로3가,4
130,서울특별시,서대문구,합동,2
131,서울특별시,서대문구,현저동,2
132,서울특별시,서대문구,홍은동,39
133,서울특별시,서대문구,홍제동,22
134,서울특별시,서초구,내곡동,9
135,서울특별시,서초구,반포동,34
136,서울특별시,서초구,방배동,59
137,서울특별시,서초구,서초동,72
138,서울특별시,서초구,신원동,2
139,서울특별시,서초구,양재동,39
140,서울특별시,서초구,염곡동,2
141,서울특별시,서초구,우면동,11
142,서울특별시,서초구,원지동,3
143,서울특별시,서초구,잠원동,11
144,서울특별시,성동구,금호동1가,4
145,서울특별시,성동구,금호동2가,3
146,서울특별시,성동구,금호동3가,7
