"읍면동별(1)","읍면동별(2)","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"읍면동별(1)","읍면동별(2)","총인구","총인구","총인구","세대 (세대)","내국인","내국인","내국인","등록외국인","등록외국인","등록외국인"
"읍면동별(1)","읍면동별(2)","계 (명)","계 (명)","계 (명)","소계","계 (명)","계 (명)","계 (명)","계 (명)","계 (명)","계 (명)"
"읍면동별(1)","읍면동별(2)","소계","남","여","소계","소계","남","여","소계","남","여"
"가평군","소계","63,462","32,493","30,969","30,768","62,415","32,042","30,373","1,047","451","596"
"가평군","가평읍","19,842","10,052","9,790","9,228","19,632","9,973","9,659","210","79","131"
"가평군","설악면","9,885","5,002","4,883","4,905","9,426","4,819","4,607","459","183","276"
"가평군","청평면(외서면)","14,335","7,270","7,065","7,264","14,161","7,197","6,964","174","73","101"
"가평군","상면","5,578","2,903","2,675","2,974","5,505","2,859","2,646","73","44","29"
"가평군","조종면","9,802","5,204","4,598","4,161","9,718","5,161","4,557","84","43","41"
"가평군","북면","4,020","2,062","1,958","2,236","3,973","2,033","1,940","47","29","18"
