시도명,시군구명,읍/면/동,어린이보호구역총계
서울특별시,도봉구,,2
서울특별시,도봉구,공릉1동,2
서울특별시,도봉구,공릉2동,7
서울특별시,도봉구,공릉3동,3
서울특별시,도봉구,공릉동,3
서울특별시,도봉구,상계10동,5
서울특별시,도봉구,상계1동,9
서울특별시,도봉구,상계2동,3
서울특별시,도봉구,상계3동,4
서울특별시,도봉구,상계4동,3
서울특별시,도봉구,상계5동,1
서울특별시,도봉구,상계6.7동,1
서울특별시,도봉구,상계6동,4
서울특별시,도봉구,상계7동,1
서울특별시,도봉구,상계8동,5
서울특별시,도봉구,상계9동,4
서울특별시,도봉구,월계1동,3
서울특별시,도봉구,월계2동,3
서울특별시,도봉구,월계3동,3
서울특별시,도봉구,월계4동,1
서울특별시,도봉구,월계동,5
서울특별시,도봉구,중계1동,2
서울특별시,도봉구,중계2동,2
서울특별시,도봉구,중계3동,5
서울특별시,도봉구,중계4동,4
서울특별시,도봉구,중계동,3
서울특별시,도봉구,중계본동,6
서울특별시,도봉구,하계1동,5
서울특별시,도봉구,하계2동,3
서울특별시,도봉구,하계동,4
