,Unnamed: 0,시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율,어린이보호구역수,어린이보호구역비율
0,0.0,서울특별시,강서구,염창동,0.0,18.0,0.0494505494505494,,
1,1.0,서울특별시,강서구,등촌1동,0.0,0.0,0.0,,
2,2.0,서울특별시,강서구,등촌2동,0.0,0.0,0.0,,
3,3.0,서울특별시,강서구,등촌3동,0.0,0.0,0.0,,
4,4.0,서울특별시,강서구,화곡본동,0.0,0.0,0.0,,
5,5.0,서울특별시,강서구,화곡1동,0.0,0.0,0.0,,
6,6.0,서울특별시,강서구,화곡2동,0.0,0.0,0.0,,
7,7.0,서울특별시,강서구,화곡3동,0.0,0.0,0.0,,
8,8.0,서울특별시,강서구,화곡4동,0.0,0.0,0.0,,
9,9.0,서울특별시,강서구,화곡6동,0.0,0.0,0.0,,
10,10.0,서울특별시,강서구,화곡8동,0.0,0.0,0.0,,
11,11.0,서울특별시,강서구,가양1동,0.0,0.0,0.0,,
12,12.0,서울특별시,강서구,가양2동,0.0,0.0,0.0,,
13,13.0,서울특별시,강서구,가양3동,0.0,0.0,0.0,,
14,14.0,서울특별시,강서구,발산1동,0.0,0.0,0.0,,
15,15.0,서울특별시,강서구,공항동,1.0,13.0,0.0357142857142857,,
16,16.0,서울특별시,강서구,방화1동,0.0,0.0,0.0,,
17,17.0,서울특별시,강서구,방화2동,0.0,0.0,0.0,,
18,18.0,서울특별시,강서구,방화3동,0.0,0.0,0.0,,
19,19.0,서울특별시,강서구,우장산동,0.0,0.0,0.0,,
20,20.0,서울특별시,강서구,가양동,1.0,31.0,0.0851648351648351,,
21,21.0,서울특별시,강서구,개화동,0.0,12.0,0.0329670329670329,,
22,22.0,서울특별시,강서구,과해동,0.0,1.0,0.0027472527472527,,
23,23.0,서울특별시,강서구,내발산동,0.0,18.0,0.0494505494505494,,
24,24.0,서울특별시,강서구,등촌동,0.0,54.0,0.1483516483516483,,
25,25.0,서울특별시,강서구,마곡동,1.0,20.0,0.0549450549450549,,
26,26.0,서울특별시,강서구,방화동,1.0,42.0,0.1153846153846153,,
27,27.0,서울특별시,강서구,오곡동,0.0,4.0,0.0109890109890109,,
28,28.0,서울특별시,강서구,외발산동,0.0,10.0,0.0274725274725274,,
29,29.0,서울특별시,강서구,화곡동,0.0,141.0,0.3873626373626374,,
30,30.0,서울특별시,광진구,중곡1동,0.0,0.0,0.0,,
31,31.0,서울특별시,광진구,중곡2동,0.0,0.0,0.0,,
32,32.0,서울특별시,광진구,중곡3동,0.0,0.0,0.0,,
33,33.0,서울특별시,광진구,중곡4동,0.0,0.0,0.0,,
34,34.0,서울특별시,광진구,능동,1.0,6.0,0.03,,
35,35.0,서울특별시,광진구,구의1동,0.0,0.0,0.0,,
36,36.0,서울특별시,광진구,구의2동,0.0,0.0,0.0,,
37,37.0,서울특별시,광진구,구의3동,0.0,0.0,0.0,,
38,38.0,서울특별시,광진구,광장동,1.0,13.0,0.065,,
39,39.0,서울특별시,광진구,자양1동,0.0,0.0,0.0,,
40,40.0,서울특별시,광진구,자양2동,0.0,0.0,0.0,,
41,41.0,서울특별시,광진구,자양3동,0.0,0.0,0.0,,
42,42.0,서울특별시,광진구,자양4동,0.0,0.0,0.0,,
43,43.0,서울특별시,광진구,화양동,1.0,31.0,0.155,,
44,44.0,서울특별시,광진구,군자동,1.0,12.0,0.06,,
45,45.0,서울특별시,광진구,구의동,1.0,32.0,0.16,,
46,46.0,서울특별시,광진구,자양동,1.0,54.0,0.27,,
47,47.0,서울특별시,광진구,중곡동,1.0,52.0,0.26,,
48,48.0,서울특별시,서대문구,충현동,0.0,0.0,0.0,,
49,49.0,서울특별시,서대문구,천연동,0.0,1.0,0.0043103448275862,,
50,50.0,서울특별시,서대문구,북아현동,0.0,9.0,0.0387931034482758,,
51,51.0,서울특별시,서대문구,신촌동,0.0,4.0,0.0172413793103448,,
52,52.0,서울특별시,서대문구,연희동,0.0,27.0,0.1163793103448275,,
53,53.0,서울특별시,서대문구,홍제1동,0.0,0.0,0.0,,
54,54.0,서울특별시,서대문구,홍제2동,0.0,0.0,0.0,,
55,55.0,서울특별시,서대문구,홍제3동,0.0,0.0,0.0,,
56,56.0,서울특별시,서대문구,홍은1동,0.0,0.0,0.0,,
57,57.0,서울특별시,서대문구,홍은2동,0.0,0.0,0.0,,
58,58.0,서울특별시,서대문구,남가좌1동,0.0,0.0,0.0,,
59,59.0,서울특별시,서대문구,남가좌2동,0.0,0.0,0.0,,
60,60.0,서울특별시,서대문구,북가좌1동,0.0,0.0,0.0,,
61,61.0,서울특별시,서대문구,북가좌2동,0.0,0.0,0.0,,
62,62.0,서울특별시,서대문구,남가좌동,0.0,23.0,0.0991379310344827,,
63,63.0,서울특별시,서대문구,냉천동,0.0,5.0,0.021551724137931,,
64,64.0,서울특별시,서대문구,대신동,0.0,6.0,0.0258620689655172,,
65,65.0,서울특별시,서대문구,대현동,0.0,10.0,0.043103448275862,,
66,66.0,서울특별시,서대문구,미근동,0.0,1.0,0.0043103448275862,,
67,67.0,서울특별시,서대문구,북가좌동,0.0,27.0,0.1163793103448275,,
68,68.0,서울특별시,서대문구,영천동,0.0,2.0,0.0086206896551724,,
69,69.0,서울특별시,서대문구,옥천동,0.0,2.0,0.0086206896551724,,
70,70.0,서울특별시,서대문구,창천동,0.0,41.0,0.1767241379310344,,
71,71.0,서울특별시,서대문구,충정로2가,0.0,5.0,0.021551724137931,,
72,72.0,서울특별시,서대문구,충정로3가,0.0,4.0,0.0172413793103448,,
73,73.0,서울특별시,서대문구,합동,0.0,2.0,0.0086206896551724,,
74,74.0,서울특별시,서대문구,현저동,0.0,2.0,0.0086206896551724,,
75,75.0,서울특별시,서대문구,홍은동,0.0,39.0,0.168103448275862,,
76,76.0,서울특별시,서대문구,홍제동,1.0,22.0,0.0948275862068965,,
77,,경기도,가평군,가평읍,1.0,45.0,0.2848101265822785,,
78,,경기도,가평군,설악면,1.0,27.0,0.170886075949367,,
79,,경기도,가평군,청평면,1.0,22.0,0.1392405063291139,,
80,,경기도,가평군,상면,1.0,23.0,0.1455696202531645,,
81,,경기도,가평군,조종면,1.0,9.0,0.0569620253164556,,
82,,경기도,가평군,북면,1.0,23.0,0.1455696202531645,,
83,,경기도,가평군,하면,0.0,9.0,0.0569620253164556,,
84,0.0,강원도,강릉시,주문진읍,1.0,26.0,0.0869565217391304,,
85,1.0,강원도,강릉시,성산면,0.0,19.0,0.0635451505016722,,
86,2.0,강원도,강릉시,왕산면,0.0,8.0,0.0267558528428093,,
87,3.0,강원도,강릉시,구정면,0.0,8.0,0.0267558528428093,,
88,4.0,강원도,강릉시,강동면,1.0,25.0,0.0836120401337792,,
89,5.0,강원도,강릉시,옥계면,0.0,13.0,0.0434782608695652,,
90,6.0,강원도,강릉시,사천면,0.0,19.0,0.0635451505016722,,
91,7.0,강원도,강릉시,연곡면,0.0,12.0,0.040133779264214,,
92,8.0,강원도,강릉시,홍제동,0.0,9.0,0.0301003344481605,,
93,9.0,강원도,강릉시,중앙동,0.0,0.0,0.0,,
94,10.0,강원도,강릉시,옥천동,0.0,11.0,0.0367892976588628,,
95,11.0,강원도,강릉시,교1동,0.0,0.0,0.0,,
96,12.0,강원도,강릉시,교2동,0.0,0.0,0.0,,
97,13.0,강원도,강릉시,포남1동,0.0,0.0,0.0,,
98,14.0,강원도,강릉시,포남2동,0.0,0.0,0.0,,
99,15.0,강원도,강릉시,초당동,0.0,3.0,0.0100334448160535,,
100,16.0,강원도,강릉시,송정동,0.0,3.0,0.0100334448160535,,
101,17.0,강원도,강릉시,내곡동,0.0,13.0,0.0434782608695652,,
102,18.0,강원도,강릉시,강남동,0.0,0.0,0.0,,
103,19.0,강원도,강릉시,성덕동,0.0,0.0,0.0,,
104,20.0,강원도,강릉시,경포동,0.0,0.0,0.0,,
105,21.0,강원도,강릉시,강문동,1.0,7.0,0.0234113712374581,,
106,22.0,강원도,강릉시,견소동,1.0,2.0,0.0066889632107023,,
107,23.0,강원도,강릉시,교동,0.0,24.0,0.0802675585284281,,
108,24.0,강원도,강릉시,금학동,0.0,7.0,0.0234113712374581,,
109,25.0,강원도,강릉시,난곡동,0.0,1.0,0.0033444816053511,,
110,26.0,강원도,강릉시,남문동,0.0,3.0,0.0100334448160535,,
111,27.0,강원도,강릉시,남항진동,0.0,1.0,0.0033444816053511,,
112,28.0,강원도,강릉시,노암동,0.0,13.0,0.0434782608695652,,
113,29.0,강원도,강릉시,담산동,0.0,2.0,0.0066889632107023,,
114,30.0,강원도,강릉시,대전동,0.0,1.0,0.0033444816053511,,
115,31.0,강원도,강릉시,두산동,0.0,5.0,0.0167224080267558,,
116,32.0,강원도,강릉시,박월동,0.0,3.0,0.0100334448160535,,
117,33.0,강원도,강릉시,병산동,0.0,2.0,0.0066889632107023,,
118,34.0,강원도,강릉시,성남동,0.0,2.0,0.0066889632107023,,
119,35.0,강원도,강릉시,신석동,0.0,1.0,0.0033444816053511,,
120,36.0,강원도,강릉시,안현동,1.0,6.0,0.020066889632107,,
121,37.0,강원도,강릉시,용강동,0.0,1.0,0.0033444816053511,,
122,38.0,강원도,강릉시,운정동,0.0,1.0,0.0033444816053511,,
