시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
전라북도,정읍시,신태인읍,0.0,11.0,0.07
전라북도,정읍시,북면,0.0,10.0,0.06
전라북도,정읍시,입암면,0.0,9.0,0.06
전라북도,정읍시,소성면,0.0,8.0,0.05
전라북도,정읍시,고부면,0.0,12.0,0.08
전라북도,정읍시,영원면,0.0,6.0,0.04
전라북도,정읍시,덕천면,0.0,5.0,0.03
전라북도,정읍시,이평면,0.0,8.0,0.05
전라북도,정읍시,정우면,0.0,10.0,0.06
전라북도,정읍시,태인면,0.0,4.0,0.03
전라북도,정읍시,감곡면,0.0,12.0,0.08
전라북도,정읍시,옹동면,0.0,3.0,0.02
전라북도,정읍시,칠보면,0.0,4.0,0.03
전라북도,정읍시,산내면,0.0,4.0,0.03
전라북도,정읍시,산외면,0.0,3.0,0.02
전라북도,정읍시,수성동,1.0,8.0,0.05
전라북도,정읍시,장명동,1.0,,
전라북도,정읍시,내장상동,0.0,,
전라북도,정읍시,시기동,1.0,6.0,0.04
전라북도,정읍시,초산동,0.0,,
전라북도,정읍시,연지동,1.0,5.0,0.03
전라북도,정읍시,농소동,0.0,3.0,0.02
전라북도,정읍시,상교동,0.0,,
전라북도,정읍시,공평동,0.0,2.0,0.01
전라북도,정읍시,과교동,0.0,1.0,0.01
전라북도,정읍시,교암동,0.0,1.0,0.01
전라북도,정읍시,금붕동,0.0,1.0,0.01
전라북도,정읍시,망제동,0.0,2.0,0.01
전라북도,정읍시,부전동,0.0,2.0,0.01
전라북도,정읍시,상동,0.0,3.0,0.02
전라북도,정읍시,상평동,0.0,1.0,0.01
전라북도,정읍시,신월동,0.0,3.0,0.02
전라북도,정읍시,신정동,0.0,3.0,0.02
전라북도,정읍시,쌍암동,0.0,2.0,0.01
전라북도,정읍시,용계동,0.0,1.0,0.01
전라북도,정읍시,하모동,0.0,1.0,0.01
전라북도,정읍시,하북동,0.0,3.0,0.02
전라북도,정읍시,흑암동,0.0,1.0,0.01
