스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치년도,관리기관명,관리기관전화번호,데이터기준일자
01,11,진천군,바들말길,,충청북도 진천군 광혜원면 광혜원리 120-1,36.9931433 ,127.4470328 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,바들말4길,,충청북도 진천군 광혜원면 광혜원리 178-11,36.9930715 ,127.4470783 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,바들말4길,,충청북도 진천군 광혜원면 광혜원리 178-11,36.9930443 ,127.4470448 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,바들말4길,,충청북도 진천군 광혜원면 광혜원리 182-2,36.9914902 ,127.4481008 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,바들말4길,,충청북도 진천군 광혜원면 광혜원리 183-1,36.9914986 ,127.4479771 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,월성길,,충청북도 진천군 광혜원면 광혜원리 353-3,36.9874135 ,127.4454116 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,바들말2길,,충청북도 진천군 광혜원면 광혜원리 787,36.9922544 ,127.4457922 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,화랑길,,충청북도 진천군 광혜원면 광혜원리 795-87,36.9908262 ,127.4371749 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,만디1길,,충청북도 진천군 광혜원면 죽현리 1273,36.9597308 ,127.4265780 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,용소2길,,충청북도 진천군 광혜원면 죽현리 1278 ,36.9556344 ,127.4292699 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
