제공기관명,국제학교,대안학교,어린이집,외국인교육기관,외국인학교,유치원,초등학교,특수학교,학원
강남구,0,0,45,0,0,21,32,3,0
강동구,0,0,29,0,0,30,28,2,1
강북구,0,0,14,0,0,6,15,3,0
강서구,0,0,21,0,0,29,35,1,2
관악구,0,0,13,0,0,29,22,2,0
광진구,0,0,22,0,2,30,22,1,0
구로구,0,1,15,0,0,18,26,2,0
금천구,0,0,21,0,0,4,18,0,0
노원구,0,0,14,0,0,48,42,2,0
도봉구,0,0,23,0,0,23,23,1,0
동대문구,0,0,35,0,0,19,20,0,0
동작구,0,0,17,0,0,21,21,1,5
마포구,0,0,10,0,0,19,23,0,0
서대문구,0,0,4,0,0,16,19,1,0
서초구,0,0,32,0,0,16,24,1,0
성동구,0,0,10,0,0,20,21,0,0
성북구,0,0,31,0,0,41,29,1,0
송파구,0,0,23,0,0,26,40,1,0
양천구,0,0,24,0,0,12,29,0,3
영등포구,0,0,15,0,0,28,23,0,0
용산구,1,0,7,1,0,9,15,0,0
은평구,0,0,15,0,0,23,37,1,0
종로구,1,0,16,0,0,9,12,2,0
중구,0,0,15,0,0,7,11,0,0
중랑구,0,0,6,0,0,13,23,0,0
