,시도명,시군구명,읍/면/동,화재발생횟수
0,강원도,강릉시,주문진읍,0
1,강원도,강릉시,성산면,19
2,강원도,강릉시,왕산면,0
3,강원도,강릉시,구정면,8
4,강원도,강릉시,강동면,25
5,강원도,강릉시,옥계면,0
6,강원도,강릉시,사천면,19
7,강원도,강릉시,연곡면,0
8,강원도,강릉시,홍제동,0
9,강원도,강릉시,중앙동,0
10,강원도,강릉시,옥천동,0
11,강원도,강릉시,교1동,0
12,강원도,강릉시,교2동,0
13,강원도,강릉시,포남1동,0
14,강원도,강릉시,포남2동,0
15,강원도,강릉시,초당동,0
16,강원도,강릉시,송정동,3
17,강원도,강릉시,내곡동,13
18,강원도,강릉시,강남동,0
19,강원도,강릉시,성덕동,0
20,강원도,강릉시,경포동,0
21,강원도,인제군,인제읍,19
22,강원도,인제군,남면,8
23,강원도,인제군,북면,15
24,강원도,인제군,기린면,14
25,강원도,인제군,서화면,11
26,강원도,인제군,상남면,11
27,강원도,춘천시,신북읍,33
28,강원도,춘천시,동면,17
29,강원도,춘천시,동산면,11
30,강원도,춘천시,신동면,7
31,강원도,춘천시,남면,7
32,강원도,춘천시,서면,20
33,강원도,춘천시,사북면,9
34,강원도,춘천시,북산면,7
35,강원도,춘천시,동내면,24
36,강원도,춘천시,남산면,18
37,강원도,춘천시,교동,3
38,강원도,춘천시,조운동,0
39,강원도,춘천시,약사명동,0
40,강원도,춘천시,근화동,6
41,강원도,춘천시,소양동,0
42,강원도,춘천시,후평1동,0
43,강원도,춘천시,후평2동,0
44,강원도,춘천시,후평3동,0
45,강원도,춘천시,효자1동,0
46,강원도,춘천시,효자2동,0
47,강원도,춘천시,효자3동,0
48,강원도,춘천시,석사동,16
49,강원도,춘천시,퇴계동,0
50,강원도,춘천시,강남동,0
51,강원도,춘천시,신사우동,0
52,경기도,가평군,가평읍,45
53,경기도,가평군,설악면,27
54,경기도,가평군,청평면(외서면),0
55,경기도,가평군,상면,23
56,경기도,가평군,조종면,9
57,경기도,가평군,북면,23
58,광주광역시,광산구,송정1동,0
59,광주광역시,광산구,송정2동,0
60,광주광역시,광산구,도산동,8
61,광주광역시,광산구,신흥동,0
62,광주광역시,광산구,어룡동,0
63,광주광역시,광산구,우산동,0
64,광주광역시,광산구,월곡1동,0
65,광주광역시,광산구,월곡2동,0
66,광주광역시,광산구,비아동,6
67,광주광역시,광산구,첨단1동,0
68,광주광역시,광산구,첨단2동,0
69,광주광역시,광산구,신가동,0
