시도명,시군구명,읍/면/동,설치유무,화재발생횟수
강원도,강릉시,주문진읍,1,0
강원도,강릉시,성산면,0,19
강원도,강릉시,왕산면,0,0
강원도,강릉시,구정면,0,8
강원도,강릉시,강동면,1,25
강원도,강릉시,옥계면,0,0
강원도,강릉시,사천면,0,19
강원도,강릉시,연곡면,0,0
강원도,강릉시,홍제동,0,0
강원도,강릉시,중앙동,0,0
강원도,강릉시,옥천동,0,0
강원도,강릉시,교1동,0,0
강원도,강릉시,교2동,0,0
강원도,강릉시,포남1동,0,0
강원도,강릉시,포남2동,0,0
강원도,강릉시,초당동,0,0
강원도,강릉시,송정동,0,3
강원도,강릉시,내곡동,0,13
강원도,강릉시,강남동,0,0
강원도,강릉시,성덕동,0,0
강원도,강릉시,경포동,0,0
강원도,인제군,인제읍,1,19
강원도,인제군,남면,1,8
강원도,인제군,북면,1,15
강원도,인제군,기린면,1,14
강원도,인제군,서화면,1,11
강원도,인제군,상남면,1,11
강원도,춘천시,신북읍,1,33
강원도,춘천시,동면,1,17
강원도,춘천시,동산면,1,11
강원도,춘천시,신동면,1,7
강원도,춘천시,남면,0,7
강원도,춘천시,서면,1,20
강원도,춘천시,사북면,1,9
강원도,춘천시,북산면,0,7
강원도,춘천시,동내면,1,24
강원도,춘천시,남산면,0,18
강원도,춘천시,교동,1,3
강원도,춘천시,조운동,0,0
강원도,춘천시,약사명동,0,0
강원도,춘천시,근화동,1,6
강원도,춘천시,소양동,0,0
강원도,춘천시,후평1동,0,0
강원도,춘천시,후평2동,0,0
강원도,춘천시,후평3동,0,0
강원도,춘천시,효자1동,0,0
강원도,춘천시,효자2동,0,0
강원도,춘천시,효자3동,0,0
강원도,춘천시,석사동,1,16
강원도,춘천시,퇴계동,1,0
강원도,춘천시,강남동,0,0
강원도,춘천시,신사우동,0,0
경기도,가평군,가평읍,1,45
경기도,가평군,설악면,1,27
경기도,가평군,청평면(외서면),0,0
경기도,가평군,상면,1,23
경기도,가평군,조종면,1,9
경기도,가평군,북면,1,23
광주광역시,광산구,송정1동,0,0
광주광역시,광산구,송정2동,0,0
광주광역시,광산구,도산동,1,8
광주광역시,광산구,신흥동,0,0
광주광역시,광산구,어룡동,0,0
광주광역시,광산구,우산동,1,0
광주광역시,광산구,월곡1동,0,0
광주광역시,광산구,월곡2동,0,0
광주광역시,광산구,비아동,1,6
광주광역시,광산구,첨단1동,0,0
광주광역시,광산구,첨단2동,0,0
광주광역시,광산구,신가동,1,0
광주광역시,광산구,운남동,1,0
광주광역시,광산구,신창동,1,0
광주광역시,광산구,수완동,0,0
광주광역시,광산구,하남동,0,0
광주광역시,광산구,임곡동,0,0
광주광역시,광산구,동곡동,0,0
광주광역시,광산구,평동,0,0
광주광역시,광산구,삼도동,0,1
광주광역시,광산구,본량동,0,0
광주광역시,남구,양림동,0,5
광주광역시,남구,방림1동,0,0
광주광역시,남구,방림2동,0,0
광주광역시,남구,봉선1동,0,0
광주광역시,남구,봉선2동,0,0
광주광역시,남구,사동,1,0
광주광역시,남구,월산동,0,0
광주광역시,남구,월산4동,0,0
광주광역시,남구,월산5동,0,0
