시도명,시군구명,읍/면/동,설치유무,등록인구수
광주광역시,북구,중흥1동,0,4978
광주광역시,북구,중흥2동,0,7074
광주광역시,북구,중흥3동,0,4814
광주광역시,북구,중앙동,0,3387
광주광역시,북구,임동,0,8362
광주광역시,북구,신안동,0,11009
광주광역시,북구,용봉동,0,40651
광주광역시,북구,운암1동,0,20146
광주광역시,북구,운암2동,0,12985
광주광역시,북구,운암3동,0,15042
광주광역시,북구,동림동,0,22990
광주광역시,북구,우산동,0,11272
광주광역시,북구,풍향동,0,6190
광주광역시,북구,문화동,0,19346
광주광역시,북구,문흥1동,0,17010
광주광역시,북구,문흥2동,0,16835
광주광역시,북구,두암1동,0,8228
광주광역시,북구,두암2동,0,17055
광주광역시,북구,두암3동,0,14476
광주광역시,북구,삼각동,0,14801
광주광역시,북구,일곡동,0,31397
광주광역시,북구,매곡동,0,14558
광주광역시,북구,오치1동,0,12203
광주광역시,북구,오치2동,0,13113
광주광역시,북구,석곡동,0,2767
광주광역시,북구,건국동,0,51598
광주광역시,북구,양산동,0,36447
