시도명,시군구명,읍/면/동,설치유무,등록인구수
서울특별시,중구,소공동,0,3011
서울특별시,중구,회현동1가,0,5757
서울특별시,중구,명동1가,0,1843
서울특별시,중구,명동2가,0,1842
서울특별시,중구,필동2가,0,2377
서울특별시,중구,필동3가,0,2377
서울특별시,중구,장충동1가,0,2734
서울특별시,중구,장충동2가,0,2734
서울특별시,중구,광희1가,0,3208
서울특별시,중구,광희2가,0,3208
서울특별시,중구,을지로1가,0,281
서울특별시,중구,을지로2가,0,281
서울특별시,중구,을지로3가,0,281
서울특별시,중구,을지로4가,0,281
서울특별시,중구,을지로5가,0,281
서울특별시,중구,을지로6가,0,281
서울특별시,중구,을지로7가,0,281
서울특별시,중구,황학동,0,13531
서울특별시,중구,중림동,0,12801
서울특별시,중구,신당동,0,20058
서울특별시,중구,다산동,0,14725
서울특별시,중구,약수동,0,17354
서울특별시,중구,청구동,0,14281
서울특별시,중구,동화동,0,10827
