시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
강원도,강릉시,강남동,19111.0,0.012240339,0.0
강원도,강릉시,강동면,4690.0,0.003003882,5.0
강원도,강릉시,경포동,7746.0,0.004961209,0.0
강원도,강릉시,교1동,27236.0,0.017444292,3.0
강원도,강릉시,교2동,8284.0,0.005305791,4.0
강원도,강릉시,구정면,4096.0,0.002623433,5.0
강원도,강릉시,내곡동,16059.0,0.010285574,2.0
강원도,강릉시,사천면,4601.0,0.002946879,3.0
강원도,강릉시,성덕동,29100.0,0.018638159,0.0
강원도,강릉시,성산면,3393.0,0.002173171,3.0
강원도,강릉시,송정동,7093.0,0.004542971,2.0
강원도,강릉시,연곡면,6871.0,0.004400783,3.0
강원도,강릉시,옥계면,3857.0,0.002470357,4.0
강원도,강릉시,옥천동,3694.0,0.002365957,2.0
강원도,강릉시,왕산면,1648.0,0.001055522,2.0
강원도,강릉시,주문진읍,17085.0,0.010942713,8.0
강원도,강릉시,중앙동,5425.0,0.00347464,0.0
강원도,강릉시,초당동,5146.0,0.003295944,1.0
강원도,강릉시,포남1동,11184.0,0.007163202,3.0
강원도,강릉시,포남2동,14191.0,0.009089145,4.0
강원도,강릉시,홍제동,14729.0,0.009433727,2.0
강원도,인제군,인제읍,9716.0,0.0062229674639229,6.0
강원도,인제군,남면,4283.0,0.0027432039571821,5.0
강원도,인제군,북면,8740.0,0.0055978525766454,6.0
강원도,인제군,기린면,5180.0,0.0033177204058379,2.0
강원도,인제군,서화면,2984.0,0.0019112119094633,3.0
강원도,인제군,상남면,1552.0,0.0009940351486217,3.0
강원도,춘천시,강남동,17944.0,0.011492891,0.0
강원도,춘천시,교동,4369.0,0.002798286,2.0
강원도,춘천시,근화동,9196.0,0.005889914,1.0
강원도,춘천시,남면,1123.0,0.000719266,0.0
강원도,춘천시,남산면,3742.0,0.002396701,6.0
강원도,춘천시,동내면,17901.0,0.01146535,6.0
강원도,춘천시,동면,20120.0,0.01288659,8.0
강원도,춘천시,동산면,1560.0,0.000999159,1.0
강원도,춘천시,북산면,992.0,0.000635363,2.0
강원도,춘천시,사북면,2674.0,0.001712661,4.0
강원도,춘천시,서면,4071.0,0.002607421,6.0
강원도,춘천시,석사동,38051.0,0.024371154,6.0
강원도,춘천시,소양동,10931.0,0.007001159,1.0
강원도,춘천시,신동면,2594.0,0.001661422,3.0
강원도,춘천시,신북읍,8080.0,0.005175131,10.0
강원도,춘천시,신사우동,20868.0,0.013365674,0.0
강원도,춘천시,약사명동,2758.0,0.001766462,0.0
강원도,춘천시,조운동,3231.0,0.002069412,0.0
강원도,춘천시,퇴계동,44442.0,0.028464504,9.0
강원도,춘천시,효자1동,5073.0,0.003249188,2.0
강원도,춘천시,효자2동,12918.0,0.008273805,2.0
강원도,춘천시,효자3동,5335.0,0.003416996,2.0
강원도,춘천시,후평1동,13013.0,0.008334652,3.0
강원도,춘천시,후평2동,15730.0,0.010074854,4.0
강원도,춘천시,후평3동,18286.0,0.011711937,4.0
경기도,가평군,가평읍,10052.0,0.309358939,6.0
경기도,가평군,설악면,5002.0,0.153940849,4.0
경기도,가평군,청평면(외서면),7270.0,0.223740498,4.0
경기도,가평군,상면,2903.0,0.08934232,3.0
경기도,가평군,조종면,5204.0,0.160157572,1.0
경기도,가평군,북면,2062.0,0.063459822,2.0
광주광역시,광산구,도산동,16382.0,0.011066728,14.0
광주광역시,광산구,동곡동,2063.0,0.001393643,0.0
광주광역시,광산구,본량동,2117.0,0.001430122,0.0
광주광역시,광산구,비아동,7905.0,0.005340159,11.0
광주광역시,광산구,삼도동,2354.0,0.001590226,1.0
광주광역시,광산구,송정1동,11615.0,0.00784642,2.0
광주광역시,광산구,송정2동,6870.0,0.004640973,3.0
광주광역시,광산구,수완동,79513.0,0.053714366,13.0
광주광역시,광산구,신가동,22049.0,0.014895024,18.0
광주광역시,광산구,신창동,34769.0,0.023487918,15.0
광주광역시,광산구,신흥동,4972.0,0.003358795,0.0
광주광역시,광산구,어룡동,34436.0,0.023262962,0.0
광주광역시,광산구,우산동,24767.0,0.016731147,8.0
광주광역시,광산구,운남동,31745.0,0.021445079,21.0
광주광역시,광산구,월곡1동,13198.0,0.008915802,7.0
광주광역시,광산구,월곡2동,20417.0,0.01379254,8.0
광주광역시,광산구,임곡동,2239.0,0.001512538,2.0
광주광역시,광산구,첨단1동,26073.0,0.017613405,0.0
광주광역시,광산구,첨단2동,44762.0,0.030238608,0.0
광주광역시,광산구,평동,5412.0,0.003656033,0.0
광주광역시,광산구,하남동,25118.0,0.016968262,4.0
광주광역시,남구,대촌동,5769.0,0.003897201,0.0
광주광역시,남구,방림1동,7274.0,0.004913892,2.0
광주광역시,남구,방림2동,9421.0,0.006364281,3.0
광주광역시,남구,백운1동,13019.0,0.00879488,1.0
광주광역시,남구,백운2동,6311.0,0.004263345,2.0
광주광역시,남구,봉선1동,15122.0,0.010215545,6.0
광주광역시,남구,봉선2동,29602.0,0.019997392,6.0
광주광역시,남구,사직동,5669.0,0.003829647,0.0
광주광역시,남구,송암동,19302.0,0.01303931,0.0
광주광역시,남구,양림동,7592.0,0.005128714,2.0
광주광역시,남구,월산4동,9225.0,0.006231874,1.0
광주광역시,남구,월산5동,6830.0,0.004613951,1.0
광주광역시,남구,월산동,8005.0,0.005407713,1.0
광주광역시,남구,주월1동,20184.0,0.013635138,6.0
광주광역시,남구,주월2동,8698.0,0.005875864,6.0
광주광역시,남구,효덕동,47590.0,0.032149041,0.0
부산광역시,서구,남부민1동,5412.0,0.048054981,2.0
부산광역시,서구,남부민2동,10544.0,0.093623747,3.0
부산광역시,서구,동대신1동,4769.0,0.042345566,1.0
부산광역시,서구,동대신2동,8225.0,0.073032561,0.0
부산광역시,서구,동대신3동,6956.0,0.06176468,2.0
부산광역시,서구,부민동,8337.0,0.074027046,4.0
부산광역시,서구,서대신1동,12051.0,0.10700491,0.0
부산광역시,서구,서대신3동,8991.0,0.079834134,4.0
부산광역시,서구,서대신4동,8250.0,0.073254544,0.0
부산광역시,서구,아미동,8071.0,0.071665142,2.0
부산광역시,서구,암남동,15471.0,0.137372249,3.0
부산광역시,서구,초장동,5109.0,0.045364541,0.0
부산광역시,서구,충무동,10435.0,0.092655899,0.0
부산광역시,서구,남부민1동,5412.0,0.048054981,2.0
부산광역시,서구,남부민2동,10544.0,0.093623747,3.0
부산광역시,서구,동대신1동,4769.0,0.042345566,1.0
부산광역시,서구,동대신2동,8225.0,0.073032561,0.0
부산광역시,서구,동대신3동,6956.0,0.06176468,2.0
부산광역시,서구,부민동,8337.0,0.074027046,4.0
부산광역시,서구,서대신1동,12051.0,0.10700491,0.0
부산광역시,서구,서대신3동,8991.0,0.079834134,4.0
부산광역시,서구,서대신4동,8250.0,0.073254544,0.0
부산광역시,서구,아미동,8071.0,0.071665142,2.0
부산광역시,서구,암남동,15471.0,0.137372249,3.0
부산광역시,서구,초장동,5109.0,0.045364541,0.0
부산광역시,서구,충무동,10435.0,0.092655899,0.0
서울특별시,강동구,강일동,35778.0,0.003587018,8.0
서울특별시,강동구,고덕동,48671.0,0.00487964,20.0
서울특별시,강동구,길동,46868.0,0.004698875,22.0
서울특별시,강동구,둔촌동,26675.0,0.002674373,18.0
서울특별시,강동구,명일동,43932.0,0.004404519,18.0
서울특별시,강동구,상일동,33345.0,0.003343091,20.0
서울특별시,강동구,성내동,68993.0,0.006917076,18.0
서울특별시,강동구,암사동,69655.0,0.006983446,28.0
서울특별시,강동구,천호동,90081.0,0.009031309,28.0
서울특별시,강북구,미아동,22723.0,0.002278154,28.0
서울특별시,강북구,번동,53590.0,0.005372807,16.0
서울특별시,강북구,삼각산동,32118.0,0.003220075,0.0
서울특별시,강북구,삼양동,24742.0,0.002480575,0.0
서울특별시,강북구,송중동,30934.0,0.00310137,0.0
서울특별시,강북구,송천동,27871.0,0.002794281,0.0
서울특별시,강북구,수유동,66970.0,0.006714254,28.0
서울특별시,강북구,우이동,21076.0,0.00211303,4.0
서울특별시,강북구,인수동,31545.0,0.003162627,0.0
서울특별시,강서구,염창동,42017.0,0.004212525,6.0
서울특별시,강서구,등촌동,77214.0,0.007741294,13.0
서울특별시,강서구,화곡동,201246.0,0.020176449,33.0
서울특별시,강서구,가양동,64711.0,0.006487772,4.0
서울특별시,강서구,외발산동,37530.0,0.003762669,8.0
서울특별시,강서구,공항동,27627.0,0.002769818,3.0
서울특별시,강서구,방화동,91569.0,0.009180492,12.0
서울특별시,강서구,우장산동,43987.0,0.004410033,0.0
서울특별시,강서구,염창동,42017.0,0.004212525,6.0
서울특별시,강서구,등촌동,77214.0,0.007741294,13.0
서울특별시,강서구,화곡동,201246.0,0.020176449,33.0
서울특별시,강서구,가양동,64711.0,0.006487772,4.0
서울특별시,강서구,외발산동,37530.0,0.003762669,8.0
서울특별시,강서구,공항동,27627.0,0.002769818,3.0
서울특별시,강서구,방화동,91569.0,0.009180492,12.0
서울특별시,강서구,우장산동,43987.0,0.004410033,0.0
0,광진구,광장동,35619.0,0.003571077,20.0
1,광진구,구의동,79732.0,0.007993742,36.0
2,광진구,군자동,21903.0,0.002195943,14.0
3,광진구,능동,11913.0,0.001194369,10.0
4,광진구,자양동,100209.0,0.010046718,44.0
5,광진구,중곡동,85192.0,0.008541149,24.0
6,광진구,화양동,25541.0,0.00256068,6.0
서울특별시,구로구,신도림동,36494.0,0.0036588023903828,4.0
서울특별시,구로구,구로동,137774.0,0.0138128963811202,16.0
서울특별시,구로구,고척동,51400.0,0.005153242803356,7.0
서울특별시,구로구,개봉동,88741.0,0.0088969634165879,9.0
서울특별시,구로구,오류동,63115.0,0.0063277610804244,12.0
