시도명,시군구명,읍/면/동,등록인구수,인구밀도,관광지개수
강원도,강릉시,주문진읍,17085.0,0.0109427129601815,1.0
강원도,강릉시,성산면,3393.0,0.0021731709144803,1.0
강원도,강릉시,왕산면,1648.0,0.0010555218588457,
강원도,강릉시,구정면,4096.0,0.0026234329695583,
강원도,강릉시,강동면,4690.0,0.0030038819890694,
강원도,강릉시,옥계면,3857.0,0.002470356680563,1.0
강원도,강릉시,사천면,4601.0,0.0029468786847992,
강원도,강릉시,연곡면,6871.0,0.0044007831869714,1.0
강원도,강릉시,홍제동,14729.0,0.0094337266134336,
강원도,강릉시,중앙동,5425.0,0.0034746396142221,
강원도,강릉시,옥천동,3694.0,0.0023659573704952,
강원도,강릉시,교1동,27236.0,0.0174442920798071,
강원도,강릉시,교2동,8284.0,0.0053057907030813,
강원도,강릉시,포남1동,11184.0,0.0071632017410986,
강원도,강릉시,포남2동,14191.0,0.0090891448415532,
강원도,강릉시,초당동,5146.0,0.0032959438626335,
강원도,강릉시,송정동,7093.0,0.0045429712043645,
강원도,강릉시,내곡동,16059.0,0.0102855737446623,
강원도,강릉시,강남동,19111.0,0.0122403387405344,
강원도,강릉시,성덕동,29100.0,0.0186381590366569,
강원도,강릉시,경포동,7746.0,0.0049612089312008,
