,시도명,시군구명,읍/면/동,어린이보호구역총계
0,강원도,강릉시,강동면,3
1,강원도,강릉시,강동면정동,2
2,강원도,강릉시,강문동,1
3,강원도,강릉시,교동,7
4,강원도,강릉시,구정면,5
5,강원도,강릉시,내곡동,2
6,강원도,강릉시,노암동,2
7,강원도,강릉시,두산동,1
8,강원도,강릉시,사천면,3
9,강원도,강릉시,성산면,3
10,강원도,강릉시,송정동,2
11,강원도,강릉시,안현동,2
12,강원도,강릉시,연곡면,3
13,강원도,강릉시,옥계면,4
14,강원도,강릉시,옥천동,2
15,강원도,강릉시,왕산면,2
16,강원도,강릉시,유천동,1
17,강원도,강릉시,입암동,4
18,강원도,강릉시,장현동,2
19,강원도,강릉시,주문진읍,8
20,강원도,강릉시,초당동,1
21,강원도,강릉시,포남동,7
22,강원도,강릉시,홍제동,2
23,강원도,강릉시,회산동,3
24,강원도,인제군,기린면,2
25,강원도,인제군,기린면방동,1
26,강원도,인제군,기린면진동,1
27,강원도,인제군,남면,5
28,강원도,인제군,북면,6
29,강원도,인제군,상남면,3
30,강원도,인제군,서화면,3
31,강원도,인제군,인제읍,6
32,강원도,인제군,인제읍상동,4
33,강원도,춘천시,교동,2
34,강원도,춘천시,근화동,1
35,강원도,춘천시,낙원동,1
36,강원도,춘천시,남산면,6
37,강원도,춘천시,동내면,6
38,강원도,춘천시,동면,8
39,강원도,춘천시,동산면,1
40,강원도,춘천시,봉의동,1
41,강원도,춘천시,북산면,2
42,강원도,춘천시,사북면,4
43,강원도,춘천시,서면,6
44,강원도,춘천시,석사동,6
45,강원도,춘천시,소양로1가,1
46,강원도,춘천시,신동,3
47,강원도,춘천시,신동면,3
48,강원도,춘천시,신북읍,10
49,강원도,춘천시,약사동,2
50,강원도,춘천시,온의동,2
51,강원도,춘천시,우두동,5
52,강원도,춘천시,죽림동,1
53,강원도,춘천시,중앙로3가,2
54,강원도,춘천시,칠전동,2
55,강원도,춘천시,퇴계동,9
56,강원도,춘천시,효자동,6
57,강원도,춘천시,후평동,11
58,경기도,가평군,가평읍,6
59,경기도,가평군,북면,2
60,경기도,가평군,상면,3
61,경기도,가평군,설악면,4
62,경기도,가평군,조종면,1
63,경기도,가평군,청평면,4
64,부산광역시,서구,남부민동,5
65,부산광역시,서구,동대신동1가,1
66,부산광역시,서구,동대신동3가,2
67,부산광역시,서구,부민동1가,1
68,부산광역시,서구,부민동3가,1
69,부산광역시,서구,부용동2가,2
70,부산광역시,서구,서대신동2가,1
71,부산광역시,서구,서대신동3가,4
72,부산광역시,서구,아미동2가,2
73,부산광역시,서구,암남동,3
74,부산광역시,서구,토성동2가,2
75,서울특별시,강남구,개포2동,2
76,서울특별시,강남구,개포동,15
77,서울특별시,강남구,논현동,7
78,서울특별시,강남구,대치동,16
79,서울특별시,강남구,도곡동,5
80,서울특별시,강남구,삼성동,10
81,서울특별시,강남구,세곡동,3
82,서울특별시,강남구,수서동,7
83,서울특별시,강남구,신사동,3
84,서울특별시,강남구,압구정동,3
85,서울특별시,강남구,역삼동,6
86,서울특별시,강남구,율현동,1
87,서울특별시,강남구,일원동,10
88,서울특별시,강남구,자곡동,4
89,서울특별시,강남구,청담동,9
90,서울특별시,강동구,강동강일동,4
91,서울특별시,강동구,강동고덕1동,5
92,서울특별시,강동구,강동고덕2동,4
93,서울특별시,강동구,강동고덕동,1
94,서울특별시,강동구,강동길동,11
95,서울특별시,강동구,강동둔촌1동,3
96,서울특별시,강동구,강동둔촌2동,6
97,서울특별시,강동구,강동명일1동,3
98,서울특별시,강동구,강동명일2동,6
99,서울특별시,강동구,강동상일동,10
100,서울특별시,강동구,강동성내1동,4
101,서울특별시,강동구,강동성내2동,1
102,서울특별시,강동구,강동성내3동,2
103,서울특별시,강동구,강동성내동,2
104,서울특별시,강동구,강동암사1동,5
105,서울특별시,강동구,강동암사2동,5
106,서울특별시,강동구,강동암사동,4
107,서울특별시,강동구,강동천호1동,3
108,서울특별시,강동구,강동천호2동,6
109,서울특별시,강동구,강동천호3동,4
110,서울특별시,강동구,강동천호동,1
111,서울특별시,강북구,미아동,14
112,서울특별시,강북구,번동,8
113,서울특별시,강북구,수유동,14
114,서울특별시,강북구,우이동,2
115,서울특별시,강서구,가양동,4
116,서울특별시,강서구,공항동,3
117,서울특별시,강서구,내발산동,8
118,서울특별시,강서구,등촌동,13
119,서울특별시,강서구,마곡동,9
120,서울특별시,강서구,방화동,12
121,서울특별시,강서구,염창동,6
122,서울특별시,강서구,화곡동,33
123,서울특별시,관악구,남현동,2
124,서울특별시,관악구,봉천동,30
125,서울특별시,관악구,신림동,34
126,서울특별시,광진구,광장동,10
127,서울특별시,광진구,구의1동,3
128,서울특별시,광진구,구의2동,6
129,서울특별시,광진구,구의3동,6
130,서울특별시,광진구,구의동,3
131,서울특별시,광진구,군자동,7
132,서울특별시,광진구,능동,5
133,서울특별시,광진구,자양1동,5
134,서울특별시,광진구,자양2동,8
135,서울특별시,광진구,자양3동,7
136,서울특별시,광진구,자양4동,1
137,서울특별시,광진구,자양동,1
138,서울특별시,광진구,중곡2동,2
139,서울특별시,광진구,중곡3동,8
140,서울특별시,광진구,중곡4동,2
141,서울특별시,광진구,화양동,3
142,서울특별시,구로구,가리봉동,2
143,서울특별시,구로구,개봉동,9
144,서울특별시,구로구,고척동,7
145,서울특별시,구로구,구로동,16
146,서울특별시,구로구,궁동,4
147,서울특별시,구로구,신도림동,4
148,서울특별시,구로구,오류동,12
149,서울특별시,구로구,온수동,2
150,서울특별시,구로구,천왕동,3
151,서울특별시,구로구,항동,3
152,서울특별시,도봉구,,2
153,서울특별시,도봉구,공릉1동,2
154,서울특별시,도봉구,공릉2동,7
155,서울특별시,도봉구,공릉3동,3
156,서울특별시,도봉구,공릉동,3
157,서울특별시,도봉구,상계10동,5
158,서울특별시,도봉구,상계1동,9
159,서울특별시,도봉구,상계2동,3
160,서울특별시,도봉구,상계3동,4
161,서울특별시,도봉구,상계4동,3
162,서울특별시,도봉구,상계5동,1
163,서울특별시,도봉구,상계6.7동,1
164,서울특별시,도봉구,상계6동,4
165,서울특별시,도봉구,상계7동,1
166,서울특별시,도봉구,상계8동,5
167,서울특별시,도봉구,상계9동,4
168,서울특별시,도봉구,월계1동,3
169,서울특별시,도봉구,월계2동,3
170,서울특별시,도봉구,월계3동,3
171,서울특별시,도봉구,월계4동,1
172,서울특별시,도봉구,월계동,5
173,서울특별시,도봉구,중계1동,2
174,서울특별시,도봉구,중계2동,2
175,서울특별시,도봉구,중계3동,5
176,서울특별시,도봉구,중계4동,4
177,서울특별시,도봉구,중계동,3
178,서울특별시,도봉구,중계본동,6
179,서울특별시,도봉구,하계1동,5
180,서울특별시,도봉구,하계2동,3
181,서울특별시,도봉구,하계동,4
182,서울특별시,도봉구,도봉1동,1
183,서울특별시,도봉구,도봉동,6
