,스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
1327,1,부산광역시,서구,고신의료원∼ 송도해수욕장입구( 477724 ),,부산광역시 서구 암남동 69-2,35.080189,129.017125,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
1328,1,부산광역시,서구,고신의료원∼ 동양시멘트간( 477724 ),,부산광역시 서구 암남동 34-4,35.081452,129.015475,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
1802,3,부산광역시,서구,송도곡각지 육교( TH141182531 ),,부산광역시 서구 암남동 219-6,35.078828,129.018595,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3021,1,부산광역시,서구,충무쇼핑~천마로간,부산광역시 서구 천마로 200-2,부산 서구 충무동3가 7-9,35.093393,129.022057,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3022,1,부산광역시,서구,보건소 ∼ 부용R간( KH141202188  ),,부산광역시 서구 서대신동1가 33-2,35.107714,129.018803,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3023,1,부산광역시,서구,서대신1동 연성맨션진입로(3047211),,부산광역시 서구 서대신동2가 510-26,35.108497,129.011301,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3024,1,부산광역시,서구,부산대학병원 뒷길( 8117099),,부산광역시 서구 아미동2가 45-1,35.101279,129.017483,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3025,1,부산광역시,서구,동아대 부민캠퍼스주변(임시수도),,부산광역시 서구 부민동3가 36-1,35.103343,129.017743,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3026,1,부산광역시,서구,송도암남어항내,,부산광역시 서구 암남동 135-10,35.070589,129.019075,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3027,1,부산광역시,서구,덕수빌라,,부산광역시 서구 암남동 388-4,35.078357,129.014384,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
