시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
강원도,춘천시,신북읍,1,33.0,0.11418685121107267
강원도,춘천시,동면,1,17.0,0.058823529411764705
강원도,춘천시,동산면,1,11.0,0.03806228373702422
강원도,춘천시,신동면,1,7.0,0.02422145328719723
강원도,춘천시,남면,0,7.0,0.02422145328719723
강원도,춘천시,서면,1,20.0,0.06920415224913495
강원도,춘천시,사북면,1,9.0,0.031141868512110725
강원도,춘천시,북산면,0,7.0,0.02422145328719723
강원도,춘천시,동내면,1,24.0,0.08304498269896193
강원도,춘천시,남산면,0,18.0,0.06228373702422145
강원도,춘천시,교동,1,3.0,0.010380622837370242
강원도,춘천시,조운동,0,0.0,0.0
강원도,춘천시,약사명동,0,0.0,0.0
강원도,춘천시,근화동,1,6.0,0.020761245674740483
강원도,춘천시,소양동,0,0.0,0.0
강원도,춘천시,후평동,1,24.0,0.08304498269896193
강원도,춘천시,효자1동,0,0.0,0.0
강원도,춘천시,효자2동,0,0.0,0.0
강원도,춘천시,효자3동,0,0.0,0.0
강원도,춘천시,석사동,1,16.0,0.05536332179930796
강원도,춘천시,퇴계동,1,19.0,0.0657439446366782
강원도,춘천시,강남동,0,0.0,0.0
강원도,춘천시,신사우동,0,0.0,0.0
강원도,춘천시,낙원동,0,1.0,0.0034602076124567475
강원도,춘천시,사농동,1,3.0,0.010380622837370242
강원도,춘천시,삼천동,0,7.0,0.02422145328719723
강원도,춘천시,소양로1가,0,3.0,0.010380622837370242
강원도,춘천시,송암동,0,3.0,0.010380622837370242
강원도,춘천시,신동,1,6.0,0.020761245674740483
강원도,춘천시,약사동,1,5.0,0.01730103806228374
강원도,춘천시,옥천동,1,1.0,0.0034602076124567475
강원도,춘천시,온의동,0,8.0,0.02768166089965398
강원도,춘천시,우두동,1,7.0,0.02422145328719723
강원도,춘천시,조양동,1,3.0,0.010380622837370242
강원도,춘천시,중도동,0,1.0,0.0034602076124567475
강원도,춘천시,중앙로1가,0,1.0,0.0034602076124567475
강원도,춘천시,중앙로3가,0,1.0,0.0034602076124567475
강원도,춘천시,칠전동,0,3.0,0.010380622837370242
강원도,춘천시,효자동,1,15.0,0.05190311418685121
