시도명,시군구명,읍/면/동,등록인구수
전라북도,고창군,고창읍,21643
전라북도,고창군,고수면,2308
전라북도,고창군,아산면,2717
전라북도,고창군,무장면,2879
전라북도,고창군,공음면,2564
전라북도,고창군,상하면,2467
전라북도,고창군,해리면,2881
전라북도,고창군,성송면,1853
전라북도,고창군,대산면,3412
전라북도,고창군,심원면,2577
전라북도,고창군,흥덕면,3155
전라북도,고창군,성내면,1994
전라북도,고창군,신림면,2290
전라북도,고창군,부안면,2684
전라북도,무주군,무주읍,9551
전라북도,무주군,무풍면,2280
전라북도,무주군,설천면,4085
전라북도,무주군,적상면,2632
전라북도,무주군,안성면,4285
전라북도,무주군,부남면,1419
전라북도,정읍시,신태인읍,5664
전라북도,정읍시,북면,4533
전라북도,정읍시,입암면,2883
전라북도,정읍시,소성면,2160
전라북도,정읍시,고부면,2888
전라북도,정읍시,영원면,1838
전라북도,정읍시,덕천면,1877
전라북도,정읍시,이평면,2139
전라북도,정읍시,정우면,2622
전라북도,정읍시,태인면,3577
전라북도,정읍시,감곡면,2874
전라북도,정읍시,옹동면,1736
전라북도,정읍시,칠보면,2380
전라북도,정읍시,산내면,1231
전라북도,정읍시,산외면,2152
전라북도,정읍시,수성동,18063
전라북도,정읍시,장명동,3057
전라북도,정읍시,내장상동,20778
전라북도,정읍시,시기동,3471
전라북도,정읍시,초산동,11030
전라북도,정읍시,연지동,6130
전라북도,정읍시,농소동,4189
전라북도,정읍시,상교동,3967
