시군구,교육시설,기타,기타서비스,산업시설,생활서비스,운수자동차시설,"위험물,가스제조소","의료,복지시설",임야,"자동차,철도차량",주거,집합시설,"판매,업무시설"
강남구,7,67,12,2,109,3,0,17,0,32,160,2,91
강동구,4,35,0,8,34,2,0,7,3,20,123,2,31
강북구,1,36,2,1,17,1,0,2,0,8,100,1,17
강서구,3,39,8,9,37,4,0,3,4,38,183,5,31
관악구,9,25,0,4,60,3,1,2,9,13,127,1,32
광진구,3,16,4,6,36,2,0,3,0,12,110,1,7
구로구,1,26,2,10,39,2,0,1,4,18,117,3,37
금천구,2,13,0,15,20,1,0,0,1,14,90,1,17
노원구,7,28,3,2,28,1,0,7,3,23,154,5,18
도봉구,3,16,2,4,16,3,0,4,8,8,114,2,12
동대문구,7,15,5,14,40,1,0,4,1,11,82,2,18
동작구,5,45,4,1,33,1,0,5,1,13,103,2,9
마포구,1,24,4,3,63,1,0,5,5,28,74,1,26
서대문구,5,24,6,0,53,2,0,5,2,16,105,1,13
서초구,4,29,9,2,42,1,0,4,1,30,66,2,52
성동구,2,18,3,38,30,4,0,1,0,16,68,2,15
성북구,1,22,2,5,26,2,1,2,1,12,86,7,16
송파구,3,33,2,8,35,3,0,4,4,39,153,3,31
양천구,3,19,3,4,35,0,0,2,3,22,140,3,10
영등포구,1,23,1,14,59,1,0,4,0,31,64,1,40
용산구,1,31,1,8,38,1,0,5,1,6,57,3,15
은평구,4,11,3,1,22,1,0,6,2,15,84,1,9
종로구,2,39,14,21,42,1,0,3,1,16,63,6,26
중구,1,34,4,26,41,2,0,1,0,15,37,1,36
중랑구,2,25,2,6,32,0,0,1,3,12,97,4,12
