스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
1,충청남도,홍성군,남부순환로,,충청남도 홍성군 홍성읍 옥암리 872-2,36.599743,126.663126,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,남부순환로,,충청남도 홍성군 홍성읍 옥암리 872-2,36.599327,126.662999,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,남부순환로,,충청남도 홍성군 홍성읍 옥암리 872-2,36.598884,126.662850,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,남부순환로,,충청남도 홍성군 홍성읍 옥암리 872-2,36.594208,126.668597,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.592903,126.668765,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.593489,126.668721,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.594274,126.668853,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591780,126.668996,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591686,126.668674,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591592,126.668329,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591498,126.667984,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591404,126.667639,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591310,126.667295,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591216,126.666950,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.591122,126.666605,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.589656,126.670106,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.589153,126.670282,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.588660,126.670458,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.588193,126.670645,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.587494,126.670936,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.586758,126.671250,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.586301,126.671493,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.585827,126.671747,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.585415,126.671977,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.585891,126.671846,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,홍장북로,,충청남도 홍성군 홍성읍 남장리 102-17,36.586312,126.671616,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,의사로,,충청남도 홍성군 홍성읍 대교리 545,36.598478,126.662042,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,의사로,,충청남도 홍성군 홍성읍 대교리 545,36.598241,126.661722,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,의사로,,충청남도 홍성군 홍성읍 대교리 545,36.597985,126.661458,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,의사로,,충청남도 홍성군 홍성읍 대교리 545,36.597722,126.661272,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,내포로,,충청남도 홍성군 홍성읍 옥암리 887,36.580135,126.637709,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,내포로,,충청남도 홍성군 홍성읍 옥암리 887,36.580439,126.637469,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
1,충청남도,홍성군,내포로,,충청남도 홍성군 홍성읍 옥암리 887,36.580751,126.637251,01,Y,없음,,N,N,N,N,Y,N,,,,,홍성군,041-630-1582,2020-07-07,4600000,충청남도 홍성군
