시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,예상범죄비율
강원도,강릉시,주문진읍,1.0,0.08190289594201361,0.1,0.0,0.0002580415152140271
강원도,강릉시,성산면,0.0,0.0158285115890764,0.037500000000000006,0.0,5.1033280167676674e-05
강원도,강릉시,왕산면,0.0,0.007407550393058619,0.025,0.0,2.5157250786882868e-05
강원도,강릉시,구정면,0.0,0.019221024896125396,0.0625,0.0,6.181495907634077e-05
강원도,강릉시,강동면,1.0,0.022087529738781305,0.037500000000000006,0.0,7.115908079718298e-05
강원도,강릉시,옥계면,0.0,0.018067666887043303,0.05,0.0,5.822106610678607e-05
강원도,강릉시,사천면,0.0,0.021658036588955754,0.037500000000000006,0.0,6.972152360936109e-05
강원도,강릉시,연곡면,0.0,0.032612524792371436,0.037500000000000006,0.0,0.00010350411752317524
강원도,강릉시,홍제동,0.0,0.07053339188595752,0.025,0.0,0.00022210258551848017
강원도,강릉시,중앙동,0.0,0.025634467549138364,0.0,0.0,8.194075970584705e-05
강원도,강릉시,옥천동,0.0,0.017281067073317863,0.025,0.0,5.606473032505325e-05
강원도,강릉시,교1동,0.0,0.13088924385076803,0.037500000000000006,0.0,0.00041114135571705717
강원도,강릉시,교2동,0.0,0.039431331766568066,0.05,0.0,0.0001250674753405034
강원도,강릉시,포남1동,0.0,0.05342605237886122,0.037500000000000006,0.0,0.0001689129695690707
강원도,강릉시,포남2동,0.0,0.0679371299240907,0.05,0.0,0.00021419602098545986
강원도,강릉시,초당동,0.0,0.024288078910921194,0.0125,0.0,7.762808814238142e-05
강원도,강릉시,송정동,0.0,0.03368384478407112,0.025,0.0,0.00010709801049272993
강원도,강릉시,내곡동,0.0,0.07695166030469885,0.025,0.0,0.00024222838614798648
강원도,강릉시,강남동,0.0,0.09167989730770532,0.0,0.0,0.0002882302161582866
강원도,강릉시,성덕동,0.0,0.13988447116846264,0.0,0.0,0.00043917372087958384
강원도,강릉시,경포동,0.0,0.03683506980470127,0.0,0.0,0.00011716091080748307
강원도,고성군,간성읍,0.0,0.03520396098850986,0.05,0.0,0.0007209349296926719
강원도,고성군,거진읍,0.0,0.03280555542150651,0.025,0.0,0.000672776763900639
강원도,고성군,현내면,0.0,0.011654224234030336,0.0125,0.0,0.0002458222791175412
강원도,고성군,죽왕면,0.0,0.018777054449114716,0.025,0.0,0.000389577997899729
강원도,고성군,토성면,0.0,0.03934929374918566,0.037500000000000006,0.0,0.0008043132465863408
강원도,동해시,천곡동,0.0,0.1479338484033954,0.1375,0.0,0.00026882319412269124
강원도,동해시,송정동,0.0,0.021532566680017955,0.025,0.0,4.0251601259012594e-05
강원도,동해시,북삼동,0.0,0.09864347725375325,0.0,0.0,0.00017969464847773477
강원도,동해시,부곡동,0.0,0.026918121232886633,0.025,0.0,4.95957229798548e-05
강원도,동해시,동호동,0.0,0.023496653331467374,0.0,0.0,4.384549422856728e-05
강원도,동해시,발한동,0.0,0.01884944093504037,0.0625,0.0,3.5220151101636017e-05
강원도,동해시,묵호동,0.0,0.01715559716438006,0.0,0.0,3.234503672599226e-05
