시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄발생횟수
강원도,강릉시,주문진읍,1.0,17085.0,8.0,0.0,1.0,3.589209850939562
강원도,강릉시,성산면,0.0,3393.0,3.0,0.0,1.0,0.7128000599495425
강원도,강릉시,왕산면,0.0,1648.0,2.0,0.0,0.0,0.34621116970139876
강원도,강릉시,구정면,0.0,4096.0,5.0,0.0,0.0,0.860486014015127
강원도,강릉시,강동면,1.0,4690.0,3.0,0.0,0.0,0.9852732924147817
강원도,강릉시,옥계면,0.0,3857.0,4.0,0.0,1.0,0.8102769912246935
강원도,강릉시,사천면,0.0,4601.0,3.0,0.0,0.0,0.96657620861416
강원도,강릉시,연곡면,0.0,6871.0,3.0,0.0,1.0,1.443456885326645
강원도,강릉시,홍제동,0.0,14729.0,2.0,0.0,0.0,3.094262329206251
강원도,강릉시,중앙동,0.0,5425.0,0.0,0.0,0.0,1.1396817934648593
강원도,강릉시,옥천동,0.0,3694.0,2.0,0.0,0.0,0.7760340175224315
강원도,강릉시,교1동,0.0,27236.0,3.0,0.0,0.0,5.721727802176758
강원도,강릉시,교2동,0.0,8284.0,4.0,0.0,0.0,1.7402993506106719
강원도,강릉시,포남1동,0.0,11184.0,3.0,0.0,0.0,2.3495301710803664
강원도,강릉시,포남2동,0.0,14191.0,4.0,0.0,0.0,2.9812395080294603
강원도,강릉시,초당동,0.0,5146.0,1.0,0.0,0.0,1.0810695869438096
강원도,강릉시,송정동,0.0,7093.0,2.0,0.0,0.0,1.4900945550315665
강원도,강릉시,내곡동,0.0,16059.0,2.0,0.0,0.0,3.373668188249249
강원도,강릉시,강남동,0.0,19111.0,0.0,0.0,0.0,4.014831106895286
강원도,강릉시,성덕동,0.0,29100.0,0.0,0.0,0.0,6.113316164023485
강원도,강릉시,경포동,0.0,7746.0,0.0,0.0,0.0,1.6272765294338805
강원도,고성군,간성읍,0.0,7408.0,4.0,0.0,0.0,10.030347534414945
강원도,고성군,거진읍,0.0,6911.0,2.0,0.0,2.0,9.357415201180032
강원도,고성군,현내면,0.0,2528.0,1.0,0.0,2.0,3.422883175891061
강원도,고성군,죽왕면,0.0,4004.0,2.0,0.0,1.0,5.421370346624925
강원도,고성군,토성면,0.0,8267.0,3.0,0.0,0.0,11.193423740146915
강원도,동해시,천곡동,0.0,30768.0,11.0,0.0,0.0,3.7442332190918797
강원도,동해시,송정동,0.0,4575.0,2.0,0.0,0.0,0.5567429464815831
강원도,동해시,북삼동,0.0,20554.0,0.0,0.0,0.0,2.5012665621819585
강원도,동해시,부곡동,0.0,5691.0,2.0,0.0,0.0,0.6925517176888939
강원도,동해시,동호동,0.0,4982.0,0.0,0.0,0.0,0.6062717725401633
강원도,동해시,발한동,0.0,4019.0,5.0,0.0,0.0,0.4890819457725645
강원도,동해시,묵호동,0.0,3668.0,0.0,0.0,0.0,0.4463678967638135
강원도,동해시,북평동,0.0,10651.0,2.0,0.0,0.0,1.2961462563880528
강원도,동해시,망상동,0.0,4035.0,2.0,0.0,1.0,0.49102902492965855
강원도,동해시,삼화동,0.0,3194.0,0.0,0.0,1.0,0.38868567673490195
강원도,삼척시,도계읍,0.0,11507.0,5.0,0.0,0.0,5.335937124714904
강원도,삼척시,원덕읍,0.0,5412.0,2.0,0.0,0.0,2.5096108211486103
강원도,삼척시,근덕면,0.0,5565.0,3.0,0.0,3.0,2.5805587989083545
강원도,삼척시,하장면,0.0,1366.0,0.0,0.0,0.0,0.6334309648353661
강원도,삼척시,노곡면,0.0,723.0,0.0,0.0,0.0,0.33526397333526337
강원도,삼척시,미로면,0.0,1947.0,1.0,0.0,0.0,0.9028477954132195
강원도,삼척시,가곡면,0.0,735.0,1.0,0.0,0.0,0.3408285206105374
강원도,삼척시,신기면,0.0,674.0,1.0,0.0,0.0,0.3125420719612275
강원도,삼척시,남양동,0.0,8142.0,1.0,0.0,0.0,3.775545326273463
강원도,삼척시,교동,0.0,14802.0,1.0,0.0,0.0,6.863869064050578
강원도,삼척시,정라동,0.0,9616.0,0.0,0.0,0.0,4.459057216586296
강원도,삼척시,성내동,0.0,8626.0,0.0,0.0,0.0,3.9999820663761847
강원도,속초시,영랑동,0.0,5026.0,2.0,0.0,0.0,1.4421502927343846
강원도,속초시,동명동,0.0,4312.0,0.0,0.0,0.0,1.23727657426794
강원도,속초시,금호동,0.0,6862.0,0.0,0.0,0.0,1.9689684259338136
강원도,속초시,교동,0.0,10357.0,1.0,0.0,0.0,2.9718166696876285
강원도,속초시,노학동,0.0,22790.0,3.0,0.0,1.0,6.539316588025591
강원도,속초시,조양동,0.0,25042.0,4.0,0.0,1.0,7.185500921339924
강원도,속초시,청호동,0.0,4879.0,1.0,0.0,0.0,1.3999704095207046
강원도,속초시,대포동,0.0,3426.0,1.0,0.0,0.0,0.9830495230616796
강원도,양구군,양구읍,0.0,15009.0,3.0,0.0,0.0,12.525820895617983
강원도,양구군,남면,0.0,3565.0,3.0,0.0,0.0,2.975184988532088
강원도,양구군,동면,0.0,2265.0,2.0,0.0,0.0,1.8902647963604993
강원도,양구군,방산면,0.0,1465.0,1.0,0.0,1.0,1.222621601177983
강원도,양구군,해안면,0.0,1362.0,1.0,0.0,2.0,1.136662539798234
강원도,양양군,양양읍,0.0,11944.0,2.0,0.0,0.0,1.147495729555829
강원도,양양군,서면,0.0,3017.0,4.0,0.0,1.0,0.28985219491543335
강원도,양양군,손양면,0.0,2485.0,2.0,0.0,1.0,0.23874136704171425
강원도,양양군,현북면,0.0,2648.0,2.0,0.0,0.0,0.25440126355189513
강원도,양양군,현남면,0.0,3135.0,3.0,0.0,1.0,0.3011888071129876
강원도,양양군,강현면,0.0,4423.0,2.0,0.0,0.0,0.4249308114388338
강원도,영월군,영월읍,0.0,21767.0,9.0,0.0,0.0,2.4815818480983634
강원도,영월군,상동읍,0.0,1143.0,2.0,0.0,0.0,0.13030955356164972
강원도,영월군,중동면,0.0,1544.0,3.0,0.0,0.0,0.1760262035863405
강원도,영월군,김삿갓면,0.0,1801.0,0.0,0.0,1.0,0.20532590198121708
강원도,영월군,북면,0.0,2265.0,2.0,0.0,0.0,0.25822496834395153
강원도,영월군,남면,0.0,2316.0,2.0,0.0,0.0,0.2640393053795107
강원도,영월군,한반도면,0.0,3139.0,4.0,0.0,0.0,0.3578667442082401
강원도,영월군,주천면,0.0,3965.0,3.0,0.0,0.0,0.45203620286259066
강원도,영월군,수주면,0.0,2058.0,2.0,0.0,0.0,0.23462560037609373
강원도,원주시,문막읍,0.0,19728.0,7.0,0.0,0.0,2.602916903913565
강원도,원주시,소초면,0.0,9420.0,4.0,0.0,0.0,1.2428769887908446
강원도,원주시,호저면,0.0,4088.0,4.0,0.0,0.0,0.5393716698701669
강원도,원주시,지정면,0.0,9638.0,5.0,0.0,1.0,1.2716399594443908
강원도,원주시,부론면,0.0,2391.0,1.0,0.0,0.0,0.31546909556251695
강원도,원주시,귀래면,0.0,2209.0,1.0,0.0,0.0,0.29145597327377665
강원도,원주시,흥업면,0.0,9701.0,2.0,0.0,0.0,1.279952194082801
강원도,원주시,판부면,0.0,7616.0,4.0,0.0,0.0,1.004856809621133
강원도,원주시,신림면,0.0,3804.0,2.0,0.0,0.0,0.5019006438811436
강원도,원주시,중앙동,0.0,3014.0,0.0,0.0,0.0,0.397667860320128
강원도,원주시,원인동,0.0,5870.0,0.0,0.0,0.0,0.7744891639280528
강원도,원주시,개운동,0.0,13886.0,3.0,0.0,0.0,1.8321220664914721
강원도,원주시,명륜1동,0.0,9494.0,0.0,0.0,0.0,1.2526405659851676
강원도,원주시,명륜2동,0.0,17143.0,0.0,0.0,0.0,2.261851403274039
강원도,원주시,단구동,0.0,46006.0,8.0,0.0,0.0,6.0700423297570705
강원도,원주시,일산동,0.0,8436.0,3.0,0.0,0.0,1.1130478001528201
강원도,원주시,학성동,0.0,5370.0,2.0,0.0,0.0,0.7085190477501949
강원도,원주시,단계동,0.0,26439.0,8.0,0.0,0.0,3.4883678032527747
강원도,원주시,우산동,0.0,14745.0,2.0,0.0,0.0,1.9454587260850325
강원도,원주시,태장1동,0.0,10620.0,0.0,0.0,0.0,1.4012052676177038
강원도,원주시,태장2동,0.0,24159.0,0.0,0.0,0.0,3.1875440734817424
강원도,원주시,봉산동,0.0,9059.0,4.0,0.0,0.0,1.1952465649104311
강원도,원주시,행구동,0.0,8026.0,1.0,0.0,0.0,1.0589523048869767
강원도,원주시,무실동,0.0,35048.0,8.0,0.0,0.0,4.624241263603134
강원도,원주시,반곡관설동,0.0,41511.0,0.0,0.0,0.0,5.476970985318126
강원도,인제군,인제읍,1.0,9716.0,6.0,0.0,0.0,19.347205845336585
강원도,인제군,남면,1.0,4283.0,5.0,0.0,0.0,8.528621102879436
강원도,인제군,북면,1.0,8740.0,6.0,0.0,1.0,17.40372366079063
강원도,인제군,기린면,1.0,5180.0,2.0,0.0,1.0,10.314792741750052
강원도,인제군,서화면,1.0,2984.0,3.0,0.0,0.0,5.941957826521652
강원도,인제군,상남면,1.0,1552.0,3.0,0.0,0.0,3.0904552770648803
강원도,정선군,정선읍,0.0,11066.0,4.0,0.0,0.0,0.8930406651324878
강원도,정선군,고한읍,0.0,4527.0,2.0,0.0,0.0,0.36533481755419955
강원도,정선군,사북읍,0.0,5141.0,2.0,0.0,0.0,0.4148854201559841
강원도,정선군,신동읍,0.0,3727.0,1.0,0.0,0.0,0.30077377181897547
강원도,정선군,남면,0.0,3442.0,2.0,0.0,0.0,0.2777738992758018
강원도,정선군,북평면,0.0,2606.0,2.0,0.0,0.0,0.2103076064824926
강원도,정선군,임계면,0.0,3693.0,0.0,0.0,0.0,0.29802992737522843
강원도,정선군,화암면,0.0,1702.0,2.0,0.0,1.0,0.13735362480168933
강원도,정선군,여량면,0.0,2061.0,1.0,0.0,1.0,0.1663253940753712
강원도,철원군,철원읍,0.0,5244.0,3.0,0.0,0.0,1.5382898880621632
강원도,철원군,김화읍,0.0,3947.0,3.0,0.0,0.0,1.1578242159003351
강원도,철원군,갈말읍,0.0,12813.0,7.0,0.0,1.0,3.758601894687356
강원도,철원군,동송읍,0.0,16361.0,7.0,0.0,1.0,4.799382314756875
강원도,철원군,서면,0.0,6183.0,5.0,0.0,0.0,1.8137388211076189
강원도,철원군,근남면,0.0,2477.0,1.0,0.0,0.0,0.726610231260484
강원도,철원군,근북면,0.0,113.0,0.0,0.0,0.0,0.033147741676396725
강원도,춘천시,신북읍,1.0,8080.0,10.0,0.0,0.0,0.9522241856693693
강원도,춘천시,동면,1.0,20120.0,8.0,0.0,0.0,2.371132501939073
