,Column1,시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
0,10,부산광역시,서구,남부민1동,5412,0.048054981,2
1,11,부산광역시,서구,남부민2동,10544,0.093623747,3
2,0,부산광역시,서구,동대신1동,4769,0.042345566,1
3,1,부산광역시,서구,동대신2동,8225,0.073032561,0
4,2,부산광역시,서구,동대신3동,6956,0.06176468,2
5,6,부산광역시,서구,부민동,8337,0.074027046,4
6,3,부산광역시,서구,서대신1동,12051,0.10700491,0
7,4,부산광역시,서구,서대신3동,8991,0.079834134,4
8,5,부산광역시,서구,서대신4동,8250,0.073254544,0
9,7,부산광역시,서구,아미동,8071,0.071665142,2
10,12,부산광역시,서구,암남동,15471,0.137372249,3
11,8,부산광역시,서구,초장동,5109,0.045364541,0
12,9,부산광역시,서구,충무동,10435,0.092655899,0
