시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
강원도,강릉시,강남동,19111,0.012240339,0
강원도,강릉시,강동면,4690,0.003003882,5
강원도,강릉시,경포동,7746,0.004961209,0
강원도,강릉시,교1동,27236,0.017444292,3
강원도,강릉시,교2동,8284,0.005305791,4
강원도,강릉시,구정면,4096,0.002623433,5
강원도,강릉시,내곡동,16059,0.010285574,2
강원도,강릉시,사천면,4601,0.002946879,3
강원도,강릉시,성덕동,29100,0.018638159,0
강원도,강릉시,성산면,3393,0.002173171,3
강원도,강릉시,송정동,7093,0.004542971,2
강원도,강릉시,연곡면,6871,0.004400783,3
강원도,강릉시,옥계면,3857,0.002470357,4
강원도,강릉시,옥천동,3694,0.002365957,2
강원도,강릉시,왕산면,1648,0.001055522,2
강원도,강릉시,주문진읍,17085,0.010942713,8
강원도,강릉시,중앙동,5425,0.00347464,0
강원도,강릉시,초당동,5146,0.003295944,1
강원도,강릉시,포남1동,11184,0.007163202,3
강원도,강릉시,포남2동,14191,0.009089145,4
강원도,강릉시,홍제동,14729,0.009433727,2
