,시도명,시군구명,읍/면/동,등록인구수,어린이보호구역개수
0,강원도,원주시,문막읍,19728.0,
1,강원도,원주시,소초면,9420.0,4.0
2,강원도,원주시,호저면,4088.0,4.0
3,강원도,원주시,지정면,9638.0,5.0
4,강원도,원주시,부론면,2391.0,1.0
5,강원도,원주시,귀래면,2209.0,1.0
6,강원도,원주시,흥업면,9701.0,2.0
7,강원도,원주시,판부면,7616.0,4.0
8,강원도,원주시,신림면,3804.0,2.0
9,강원도,원주시,중앙동,3014.0,
10,강원도,원주시,원인동,5870.0,
11,강원도,원주시,개운동,13886.0,3.0
12,강원도,원주시,명륜1동,9494.0,
13,강원도,원주시,명륜2동,17143.0,
14,강원도,원주시,단구동,46006.0,8.0
15,강원도,원주시,일산동,8436.0,3.0
16,강원도,원주시,학성동,5370.0,2.0
17,강원도,원주시,단계동,26439.0,8.0
18,강원도,원주시,우산동,14745.0,2.0
19,강원도,원주시,태장1동,10620.0,
20,강원도,원주시,태장2동,24159.0,
21,강원도,원주시,봉산동,9059.0,4.0
22,강원도,원주시,행구동,8026.0,1.0
23,강원도,원주시,무실동,35048.0,8.0
24,강원도,원주시,반곡관설동,41511.0,
