,시도명,시군구명,읍/면/동,설치유무,어린이보호구역개수
0,강원도,춘천시,신북읍,1,10.0
1,강원도,춘천시,동면,1,8.0
2,강원도,춘천시,동산면,1,1.0
3,강원도,춘천시,신동면,1,3.0
4,강원도,춘천시,남면,0,0.0
5,강원도,춘천시,서면,1,6.0
6,강원도,춘천시,사북면,1,4.0
7,강원도,춘천시,북산면,0,2.0
8,강원도,춘천시,동내면,1,6.0
9,강원도,춘천시,남산면,0,6.0
10,강원도,춘천시,교동,1,2.0
11,강원도,춘천시,조운동,0,0.0
12,강원도,춘천시,약사명동,0,0.0
13,강원도,춘천시,근화동,1,1.0
14,강원도,춘천시,소양동,0,0.0
15,강원도,춘천시,후평1동,0,0.0
16,강원도,춘천시,후평2동,0,0.0
17,강원도,춘천시,후평3동,0,0.0
18,강원도,춘천시,효자1동,0,0.0
19,강원도,춘천시,효자2동,0,0.0
20,강원도,춘천시,효자3동,0,0.0
21,강원도,춘천시,석사동,1,6.0
22,강원도,춘천시,퇴계동,1,9.0
23,강원도,춘천시,강남동,0,0.0
24,강원도,춘천시,신사우동,0,0.0
