시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
광주광역시,남구,대촌동,5769,0.003897201,0
광주광역시,남구,방림1동,7274,0.004913892,2
광주광역시,남구,방림2동,9421,0.006364281,3
광주광역시,남구,백운1동,13019,0.00879488,1
광주광역시,남구,백운2동,6311,0.004263345,2
광주광역시,남구,봉선1동,15122,0.010215545,6
광주광역시,남구,봉선2동,29602,0.019997392,6
광주광역시,남구,사직동,5669,0.003829647,0
광주광역시,남구,송암동,19302,0.01303931,0
광주광역시,남구,양림동,7592,0.005128714,2
광주광역시,남구,월산4동,9225,0.006231874,1
광주광역시,남구,월산5동,6830,0.004613951,1
광주광역시,남구,월산동,8005,0.005407713,1
광주광역시,남구,주월1동,20184,0.013635138,6
광주광역시,남구,주월2동,8698,0.005875864,6
광주광역시,남구,효덕동,47590,0.032149041,0
