시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
서울특별시,성동구,금호동1가,15795,0.001583569,6
서울특별시,성동구,금호동2가,11792,0.001182238,4
서울특별시,성동구,금호동3가,11792,0.001182238,2
서울특별시,성동구,금호동4가,14842,0.001488024,8
서울특별시,성동구,마장동,23459,0.002351944,12
서울특별시,성동구,사근동,13512,0.001354681,8
서울특별시,성동구,성수동1가,30589,0.003066781,8
서울특별시,성동구,성수동2가,28603,0.002867669,6
서울특별시,성동구,송정동,11143,0.001117171,4
서울특별시,성동구,옥수동,26912,0.002698134,10
서울특별시,성동구,왕십리2동,17416,0.001746087,10
서울특별시,성동구,왕십리도선동,27588,0.002765908,0
서울특별시,성동구,용답동,12724,0.001275678,6
서울특별시,성동구,응봉동,15824,0.001586477,4
서울특별시,성동구,행당동,38514,0.003861323,8
