,시도명,시군구명,읍/면/동,등록인구수,인구밀도,범죄총계(구),범죄발생비율
0,서울특별시,종로구,사직동,9806.0,0.0,3608.0,3.55
1,서울특별시,종로구,삼청동,2909.0,0.0,3608.0,1.05
2,서울특별시,종로구,부암동,10333.0,0.0,3608.0,3.74
3,서울특별시,종로구,평창동,18582.0,0.0,3608.0,6.72
4,서울특별시,종로구,무악동,8592.0,0.0,3608.0,3.11
5,서울특별시,종로구,교남동,10634.0,0.0,3608.0,3.85
6,서울특별시,종로구,가회동,4418.0,0.0,3608.0,1.6
7,서울특별시,종로구,종로1가,2112.0,0.0,3608.0,0.76
8,서울특별시,종로구,종로2가,2112.0,0.0,3608.0,0.76
9,서울특별시,종로구,종로3가,2112.0,0.0,3608.0,0.76
10,서울특별시,종로구,종로4가,2113.0,0.0,3608.0,0.76
11,서울특별시,종로구,종로5가,2845.0,0.0,3608.0,1.03
12,서울특별시,종로구,종로6가,2846.0,0.0,3608.0,1.03
13,서울특별시,종로구,이화동,8111.0,0.0,3608.0,2.93
14,서울특별시,종로구,창신동,22574.0,0.0,3608.0,8.17
15,서울특별시,종로구,숭인동,16566.0,0.0,3608.0,5.99
16,서울특별시,종로구,청운동,12633.0,0.0,3608.0,4.57
17,서울특별시,종로구,혜화동,19734.0,0.0,3608.0,7.14
18,서울특별시,중구,소공동,3011.0,0.0,4132.0,1.25
19,서울특별시,중구,회현동1가,5757.0,0.0,4132.0,2.38
20,서울특별시,중구,명동1가,1843.0,0.0,4132.0,0.76
21,서울특별시,중구,명동2가,1842.0,0.0,4132.0,0.76
22,서울특별시,중구,필동2가,2377.0,0.0,4132.0,0.98
23,서울특별시,중구,필동3가,2377.0,0.0,4132.0,0.98
24,서울특별시,중구,장충동1가,2734.0,0.0,4132.0,1.13
25,서울특별시,중구,장충동2가,2734.0,0.0,4132.0,1.13
26,서울특별시,중구,광희1가,3208.0,0.0,4132.0,1.33
27,서울특별시,중구,광희2가,3208.0,0.0,4132.0,1.33
