시도명,시군구명,읍/면/동,설치유무,등록인구수
강원도,춘천시,신북읍,1,8080
강원도,춘천시,동면,1,20120
강원도,춘천시,동산면,1,1560
강원도,춘천시,신동면,1,2594
강원도,춘천시,남면,0,1123
강원도,춘천시,서면,1,4071
강원도,춘천시,사북면,1,2674
강원도,춘천시,북산면,0,992
강원도,춘천시,동내면,1,17901
강원도,춘천시,남산면,0,3742
강원도,춘천시,교동,1,4369
강원도,춘천시,조운동,0,3231
강원도,춘천시,약사명동,0,2758
강원도,춘천시,근화동,1,9196
강원도,춘천시,소양동,0,10931
강원도,춘천시,후평1동,0,13013
강원도,춘천시,후평2동,0,15730
강원도,춘천시,후평3동,0,18286
강원도,춘천시,효자1동,0,5073
강원도,춘천시,효자2동,0,12918
강원도,춘천시,효자3동,0,5335
강원도,춘천시,석사동,1,38051
강원도,춘천시,퇴계동,1,44442
강원도,춘천시,강남동,0,17944
강원도,춘천시,신사우동,0,20868
