시도명,시군구명,읍/면/동,위도,경도,설치유무
강원도,춘천시,후평동,37.8800815,127.7468269,1
강원도,춘천시,후평동,37.8797378,127.7461915,1
강원도,춘천시,효자동,37.8747961,127.7365363,1
강원도,춘천시,효자동,37.873751,127.7353874,1
강원도,춘천시,효자동,37.8690342,127.7326287,1
강원도,춘천시,효자동,37.8687999,127.732575,1
강원도,춘천시,효자동,37.8762979,127.7384645,1
강원도,춘천시,효자동,37.8763885,127.743609,1
강원도,춘천시,효자동,37.876577,127.7437186,1
강원도,춘천시,효자동,37.8764153,127.7439135,1
강원도,춘천시,효자동,37.8767428,127.7441295,1
강원도,춘천시,후평동,37.8768145,127.7447556,1
강원도,춘천시,교동,37.8814641,127.7351336,1
강원도,춘천시,교동,37.8812763,127.7353514,1
강원도,춘천시,교동,37.8815179,127.7358052,1
강원도,춘천시,교동,37.881755,127.736054,1
강원도,춘천시,교동,37.8805894,127.734391,1
강원도,춘천시,교동,37.8805102,127.7348494,1
강원도,춘천시,옥천동,37.8848481,127.7328961,1
강원도,춘천시,옥천동,37.8845255,127.7326068,1
강원도,춘천시,옥천동,37.8842366,127.7323589,1
강원도,춘천시,옥천동,37.8837992,127.732166,1
강원도,춘천시,옥천동,37.8835705,127.7318645,1
강원도,춘천시,옥천동,37.8831646,127.7316465,1
강원도,춘천시,옥천동,37.8829194,127.7312098,1
강원도,춘천시,옥천동,37.8824701,127.731333,1
강원도,춘천시,교동,37.8820528,127.7360841,1
강원도,춘천시,교동,37.8838774,127.7389333,1
강원도,춘천시,교동,37.8832609,127.7396506,1
강원도,춘천시,,37.875891,127.721681,1
강원도,춘천시,,37.875949,127.721621,1
강원도,춘천시,,37.876127,127.721798,1
강원도,춘천시,,37.8760634,127.7222342,1
강원도,춘천시,약사동,37.8734557,127.7225736,1
강원도,춘천시,약사동,37.873644,127.7221853,1
강원도,춘천시,후평동,37.8918453,127.7523259,1
강원도,춘천시,후평동,37.8915142,127.7512696,1
강원도,춘천시,후평동,37.877937,127.745095,1
