시도명,시군구명,읍/면/동,설치유무,등록인구수
강원도,강릉시,주문진읍,1.0,17085
강원도,강릉시,성산면,0.0,3393
강원도,강릉시,왕산면,0.0,1648
강원도,강릉시,구정면,0.0,4096
강원도,강릉시,강동면,1.0,4690
강원도,강릉시,옥계면,0.0,3857
강원도,강릉시,사천면,0.0,4601
강원도,강릉시,연곡면,0.0,6871
강원도,강릉시,홍제동,0.0,14729
강원도,강릉시,중앙동,0.0,5425
강원도,강릉시,옥천동,0.0,3694
강원도,강릉시,교1동,0.0,27236
강원도,강릉시,교2동,0.0,8284
강원도,강릉시,포남1동,0.0,11184
강원도,강릉시,포남2동,0.0,14191
강원도,강릉시,초당동,0.0,5146
강원도,강릉시,송정동,0.0,7093
강원도,강릉시,내곡동,0.0,16059
강원도,강릉시,강남동,0.0,19111
강원도,강릉시,성덕동,0.0,29100
강원도,강릉시,경포동,0.0,7746
강원도,고성군,간성읍,0.0,7408
강원도,고성군,거진읍,0.0,6911
강원도,고성군,현내면,0.0,2528
강원도,고성군,죽왕면,0.0,4004
강원도,고성군,토성면,0.0,8267
강원도,동해시,천곡동,0.0,30768
강원도,동해시,송정동,0.0,4575
강원도,동해시,북삼동,0.0,20554
강원도,동해시,부곡동,0.0,5691
강원도,동해시,동호동,0.0,4982
강원도,동해시,발한동,0.0,4019
강원도,동해시,묵호동,0.0,3668
강원도,동해시,북평동,0.0,10651
강원도,동해시,망상동,0.0,4035
강원도,동해시,삼화동,0.0,3194
강원도,삼척시,도계읍,0.0,11507
강원도,삼척시,원덕읍,0.0,5412
강원도,삼척시,근덕면,0.0,5565
강원도,삼척시,하장면,0.0,1366
강원도,삼척시,노곡면,0.0,723
강원도,삼척시,미로면,0.0,1947
강원도,삼척시,가곡면,0.0,735
강원도,삼척시,신기면,0.0,674
강원도,삼척시,남양동,0.0,8142
강원도,삼척시,교동,0.0,14802
강원도,삼척시,정라동,0.0,9616
강원도,삼척시,성내동,0.0,8626
강원도,속초시,영랑동,0.0,5026
강원도,속초시,동명동,0.0,4312
강원도,속초시,금호동,0.0,6862
강원도,속초시,교동,0.0,10357
강원도,속초시,노학동,0.0,22790
강원도,속초시,조양동,0.0,25042
강원도,속초시,청호동,0.0,4879
강원도,속초시,대포동,0.0,3426
강원도,양구군,양구읍,0.0,15009
강원도,양구군,남면,0.0,3565
강원도,양구군,동면,0.0,2265
강원도,양구군,방산면,0.0,1465
강원도,양구군,해안면,0.0,1362
강원도,양양군,양양읍,0.0,11944
강원도,양양군,서면,0.0,3017
강원도,양양군,손양면,0.0,2485
강원도,양양군,현북면,0.0,2648
강원도,양양군,현남면,0.0,3135
강원도,양양군,강현면,0.0,4423
강원도,영월군,영월읍,0.0,21767
강원도,영월군,상동읍,0.0,1143
강원도,영월군,중동면,0.0,1544
강원도,영월군,김삿갓면,0.0,1801
강원도,영월군,북면,0.0,2265
강원도,영월군,남면,0.0,2316
강원도,영월군,한반도면,0.0,3139
강원도,영월군,주천면,0.0,3965
강원도,영월군,수주면,0.0,2058
강원도,원주시,문막읍,0.0,19728
강원도,원주시,소초면,0.0,9420
강원도,원주시,호저면,0.0,4088
강원도,원주시,지정면,0.0,9638
강원도,원주시,부론면,0.0,2391
강원도,원주시,귀래면,0.0,2209
강원도,원주시,흥업면,0.0,9701
강원도,원주시,판부면,0.0,7616
강원도,원주시,신림면,0.0,3804
강원도,원주시,중앙동,0.0,3014
강원도,원주시,원인동,0.0,5870
강원도,원주시,개운동,0.0,13886
강원도,원주시,명륜1동,0.0,9494
강원도,원주시,명륜2동,0.0,17143
강원도,원주시,단구동,0.0,46006
강원도,원주시,일산동,0.0,8436
강원도,원주시,학성동,0.0,5370
강원도,원주시,단계동,0.0,26439
강원도,원주시,우산동,0.0,14745
강원도,원주시,태장1동,0.0,10620
강원도,원주시,태장2동,0.0,24159
강원도,원주시,봉산동,0.0,9059
강원도,원주시,행구동,0.0,8026
강원도,원주시,무실동,0.0,35048
강원도,원주시,반곡관설동,0.0,41511
강원도,인제군,인제읍,1.0,9716
강원도,인제군,남면,1.0,4283
강원도,인제군,북면,1.0,8740
강원도,인제군,기린면,1.0,5180
강원도,인제군,서화면,1.0,2984
강원도,인제군,상남면,1.0,1552
강원도,정선군,정선읍,0.0,11066
강원도,정선군,고한읍,0.0,4527
강원도,정선군,사북읍,0.0,5141
강원도,정선군,신동읍,0.0,3727
강원도,정선군,남면,0.0,3442
강원도,정선군,북평면,0.0,2606
강원도,정선군,임계면,0.0,3693
강원도,정선군,화암면,0.0,1702
강원도,정선군,여량면,0.0,2061
강원도,철원군,철원읍,0.0,5244
강원도,철원군,김화읍,0.0,3947
강원도,철원군,갈말읍,0.0,12813
강원도,철원군,동송읍,0.0,16361
강원도,철원군,서면,0.0,6183
강원도,철원군,근남면,0.0,2477
강원도,철원군,근북면,0.0,113
강원도,춘천시,신북읍,1.0,8080
강원도,춘천시,동면,1.0,20120
강원도,춘천시,동산면,1.0,1560
강원도,춘천시,신동면,1.0,2594
강원도,춘천시,남면,0.0,1123
강원도,춘천시,서면,1.0,4071
강원도,춘천시,사북면,1.0,2674
강원도,춘천시,북산면,0.0,992
강원도,춘천시,동내면,1.0,17901
강원도,춘천시,남산면,0.0,3742
강원도,춘천시,교동,1.0,4369
강원도,춘천시,조운동,0.0,3231
강원도,춘천시,약사명동,0.0,2758
강원도,춘천시,근화동,1.0,9196
강원도,춘천시,소양동,0.0,10931
강원도,춘천시,후평1동,0.0,13013
강원도,춘천시,후평2동,0.0,15730
강원도,춘천시,후평3동,0.0,18286
강원도,춘천시,효자1동,0.0,5073
강원도,춘천시,효자2동,0.0,12918
강원도,춘천시,효자3동,0.0,5335
강원도,춘천시,석사동,1.0,38051
강원도,춘천시,퇴계동,1.0,44442
강원도,춘천시,강남동,0.0,17944
강원도,춘천시,신사우동,0.0,20868
강원도,태백시,황지동,0.0,6759
강원도,태백시,황연동,0.0,4825
강원도,태백시,삼수동,0.0,6364
강원도,태백시,상장동,0.0,14295
강원도,태백시,문곡소도동,0.0,4053
강원도,태백시,장성동,0.0,3561
강원도,태백시,구문소동,0.0,2917
강원도,태백시,철암동,0.0,2338
강원도,평창군,평창읍,0.0,8834
강원도,평창군,미탄면,0.0,1747
강원도,평창군,방림면,0.0,2512
강원도,평창군,대화면,0.0,5537
강원도,평창군,봉평면,0.0,5916
강원도,평창군,용평면,0.0,3261
강원도,평창군,진부면,0.0,9278
강원도,평창군,대관령면,0.0,5936
강원도,홍천군,홍천읍,0.0,35919
강원도,홍천군,화촌면,0.0,4736
강원도,홍천군,두촌면,0.0,2425
강원도,홍천군,내촌면,0.0,2447
강원도,홍천군,서석면,0.0,3945
강원도,홍천군,동면,0.0,3872
강원도,홍천군,남면,0.0,6169
강원도,홍천군,서면,0.0,3886
강원도,홍천군,북방면,0.0,4014
강원도,홍천군,내면,0.0,3485
강원도,화천군,화천읍,0.0,8664
강원도,화천군,간동면,0.0,2827
강원도,화천군,하남면,0.0,2875
강원도,화천군,상서면,0.0,4236
강원도,화천군,사내면,0.0,6740
강원도,횡성군,횡성읍,0.0,21273
강원도,횡성군,우천면,0.0,4703
강원도,횡성군,안흥면,0.0,3153
강원도,횡성군,둔내면,0.0,5872
강원도,횡성군,갑천면,0.0,2362
강원도,횡성군,청일면,0.0,2431
강원도,횡성군,공근면,0.0,3626
강원도,횡성군,서원면,0.0,2165
강원도,횡성군,강림면,0.0,1755
경기도,가평군,가평읍,1.0,"10,052"
경기도,가평군,설악면,1.0,"5,002"
경기도,가평군,청평면(외서면),0.0,"7,270"
경기도,가평군,상면,1.0,"2,903"
경기도,가평군,조종면,1.0,"5,204"
경기도,가평군,북면,1.0,"2,062"
광주광역시,광산구,송정1동,0.0,11615
광주광역시,광산구,송정2동,0.0,6870
광주광역시,광산구,도산동,1.0,16382
광주광역시,광산구,신흥동,0.0,4972
광주광역시,광산구,어룡동,0.0,34436
광주광역시,광산구,우산동,1.0,24767
광주광역시,광산구,월곡1동,0.0,13198
광주광역시,광산구,월곡2동,0.0,20417
광주광역시,광산구,비아동,1.0,7905
광주광역시,광산구,첨단1동,0.0,26073
광주광역시,광산구,첨단2동,0.0,44762
광주광역시,광산구,신가동,1.0,22049
광주광역시,광산구,운남동,1.0,31745
광주광역시,광산구,신창동,1.0,34769
광주광역시,광산구,수완동,0.0,79513
광주광역시,광산구,하남동,0.0,25118
광주광역시,광산구,임곡동,0.0,2239
광주광역시,광산구,동곡동,0.0,2063
광주광역시,광산구,평동,0.0,5412
광주광역시,광산구,삼도동,0.0,2354
광주광역시,광산구,본량동,0.0,2117
광주광역시,남구,양림동,0.0,7592
광주광역시,남구,방림1동,0.0,7274
광주광역시,남구,방림2동,0.0,9421
광주광역시,남구,봉선1동,0.0,15122
광주광역시,남구,봉선2동,0.0,29602
광주광역시,남구,사직동,1.0,5669
광주광역시,남구,월산동,0.0,8005
광주광역시,남구,월산4동,0.0,9225
광주광역시,남구,월산5동,0.0,6830
광주광역시,남구,백운1동,0.0,13019
광주광역시,남구,백운2동,0.0,6311
광주광역시,남구,주월1동,0.0,20184
광주광역시,남구,주월2동,0.0,8698
광주광역시,남구,효덕동,1.0,47590
광주광역시,남구,송암동,0.0,19302
광주광역시,남구,대촌동,1.0,5769
광주광역시,동구,충장동,0.0,4502
광주광역시,동구,동명동,0.0,4066
광주광역시,동구,계림1동,0.0,6108
광주광역시,동구,계림2동,0.0,8271
광주광역시,동구,산수1동,0.0,8900
광주광역시,동구,산수2동,0.0,10764
광주광역시,동구,지산1동,0.0,4818
광주광역시,동구,지산2동,0.0,5086
광주광역시,동구,서남동,0.0,3787
광주광역시,동구,학동,0.0,8629
광주광역시,동구,학운동,0.0,12387
광주광역시,동구,지원1동,0.0,8266
광주광역시,동구,지원2동,0.0,14920
광주광역시,북구,중흥1동,0.0,4978
광주광역시,북구,중흥2동,0.0,7074
광주광역시,북구,중흥3동,0.0,4814
광주광역시,북구,중앙동,0.0,3387
광주광역시,북구,임동,0.0,8362
광주광역시,북구,신안동,0.0,11009
광주광역시,북구,용봉동,0.0,40651
광주광역시,북구,운암1동,0.0,20146
광주광역시,북구,운암2동,0.0,12985
광주광역시,북구,운암3동,0.0,15042
광주광역시,북구,동림동,0.0,22990
광주광역시,북구,우산동,0.0,11272
광주광역시,북구,풍향동,0.0,6190
광주광역시,북구,문화동,0.0,19346
광주광역시,북구,문흥1동,0.0,17010
광주광역시,북구,문흥2동,0.0,16835
광주광역시,북구,두암1동,0.0,8228
광주광역시,북구,두암2동,0.0,17055
광주광역시,북구,두암3동,0.0,14476
광주광역시,북구,삼각동,0.0,14801
광주광역시,북구,일곡동,0.0,31397
광주광역시,북구,매곡동,0.0,14558
광주광역시,북구,오치1동,0.0,12203
광주광역시,북구,오치2동,0.0,13113
광주광역시,북구,석곡동,0.0,2767
광주광역시,북구,건국동,0.0,51598
광주광역시,북구,양산동,0.0,36447
광주광역시,서구,양동,0.0,4214
광주광역시,서구,양3동,0.0,4905
광주광역시,서구,농성1동,0.0,11049
광주광역시,서구,농성2동,0.0,5338
광주광역시,서구,광천동,0.0,8600
광주광역시,서구,유덕동,0.0,11155
광주광역시,서구,치평동,0.0,31302
광주광역시,서구,상무1동,0.0,25407
광주광역시,서구,상무2동,0.0,24698
광주광역시,서구,화정1동,0.0,15626
광주광역시,서구,화정2동,0.0,21373
광주광역시,서구,화정3동,0.0,10675
광주광역시,서구,화정4동,0.0,16243
광주광역시,서구,서창동,0.0,5321
광주광역시,서구,금호1동,0.0,21383
광주광역시,서구,금호2동,0.0,29651
광주광역시,서구,풍암동,0.0,38587
광주광역시,서구,동천동,0.0,17139
부산광역시,서구,동대신1동,1.0,4769
부산광역시,서구,동대신2동,1.0,8225
부산광역시,서구,동대신3동,1.0,6956
부산광역시,서구,서대신1동,1.0,12051
부산광역시,서구,서대신3동,1.0,8991
부산광역시,서구,서대신4동,0.0,8250
부산광역시,서구,부민동,1.0,8337
부산광역시,서구,아미동,1.0,8071
부산광역시,서구,초장동,1.0,5109
부산광역시,서구,충무동,1.0,10435
부산광역시,서구,남부민1동,0.0,5412
부산광역시,서구,남부민2동,0.0,10544
부산광역시,서구,암남동,1.0,15471
서울특별시,강남구,신사동,0.0,16914
서울특별시,강남구,논현동,0.0,45731
서울특별시,강남구,삼성동,0.0,43968
서울특별시,강남구,대치동,0.0,83418
서울특별시,강남구,역삼동,0.0,74062
서울특별시,강남구,도곡동,0.0,56269
서울특별시,강남구,개포동,0.0,51732
서울특별시,강남구,일원동,0.0,57481
서울특별시,강남구,수서동,0.0,15299
서울특별시,강남구,세곡동,0.0,44475
서울특별시,강남구,압구정동,0.0,27440
서울특별시,강남구,청담동,0.0,27266
서울특별시,강동구,강일동,0.0,35778
서울특별시,강동구,상일동,0.0,33345
서울특별시,강동구,명일동,0.0,43932
서울특별시,강동구,고덕동,0.0,48671
서울특별시,강동구,암사동,0.0,69655
서울특별시,강동구,성내동,0.0,68993
서울특별시,강동구,둔촌동,0.0,26675
서울특별시,강동구,천호동,0.0,90081
서울특별시,강동구,길동,0.0,46868
서울특별시,강북구,번동,0.0,53590
서울특별시,강북구,수유동,0.0,66970
서울특별시,강북구,삼양동,0.0,24742
서울특별시,강북구,미아동,0.0,22723
서울특별시,강북구,송중동,0.0,30934
서울특별시,강북구,송천동,0.0,27871
서울특별시,강북구,삼각산동,0.0,32118
서울특별시,강북구,우이동,0.0,21076
서울특별시,강북구,인수동,0.0,31545
서울특별시,강서구,염창동,0.0,42017
서울특별시,강서구,등촌동,0.0,77214
서울특별시,강서구,화곡동,0.0,201246
서울특별시,강서구,가양동,1.0,64711
서울특별시,강서구,외발산동,0.0,37530
서울특별시,강서구,공항동,1.0,27627
서울특별시,강서구,방화동,1.0,91569
서울특별시,강서구,우장산동,0.0,43987
서울특별시,관악구,보라매동,0.0,25278
서울특별시,관악구,청림동,0.0,15711
서울특별시,관악구,행운동,0.0,29799
서울특별시,관악구,낙성대동,0.0,17579
서울특별시,관악구,중앙동,0.0,15758
서울특별시,관악구,인헌동,0.0,26500
서울특별시,관악구,남현동,0.0,18598
서울특별시,관악구,서원동,0.0,23565
서울특별시,관악구,신원동,0.0,19290
서울특별시,관악구,서림동,0.0,24410
서울특별시,관악구,신사동,0.0,25426
서울특별시,관악구,신림동,0.0,22667
서울특별시,관악구,난향동,0.0,15915
서울특별시,관악구,조원동,0.0,19232
서울특별시,관악구,대학동,0.0,24907
서울특별시,관악구,은천동,0.0,34595
서울특별시,관악구,성현동,0.0,30472
서울특별시,관악구,청룡동,0.0,36325
서울특별시,관악구,난곡동,0.0,28054
서울특별시,관악구,삼성동,0.0,23935
서울특별시,관악구,미성동,0.0,31787
서울특별시,광진구,화양동,1.0,25541
서울특별시,광진구,군자동,1.0,21903
서울특별시,광진구,중곡동,1.0,85192
서울특별시,광진구,능동,1.0,11913
서울특별시,광진구,구의동,1.0,79732
서울특별시,광진구,광장동,1.0,35619
서울특별시,광진구,자양동,1.0,100209
서울특별시,구로구,신도림동,0.0,36494
서울특별시,구로구,구로동,0.0,137774
서울특별시,구로구,고척동,0.0,51400
서울특별시,구로구,개봉동,0.0,88741
서울특별시,구로구,오류동,0.0,63115
서울특별시,구로구,수궁동,0.0,24297
서울특별시,구로구,가리봉동,0.0,14263
서울특별시,구로구,항동,0.0,16404
서울특별시,금천구,가산동,0.0,25973
서울특별시,금천구,독산동,0.0,110856
서울특별시,금천구,시흥동,0.0,111006
서울특별시,노원구,월계동,0.0,81490
서울특별시,노원구,공릉동,0.0,78684
서울특별시,노원구,하계동,0.0,50688
서울특별시,노원구,중계동,0.0,108836
서울특별시,노원구,상계동,0.0,207334
서울특별시,도봉구,쌍문동,0.0,77641
서울특별시,도봉구,방학동,0.0,77682
서울특별시,도봉구,창동,0.0,122308
서울특별시,도봉구,도봉동,0.0,49730
서울특별시,동대문구,회기동,0.0,12663
서울특별시,동대문구,휘경동,0.0,40354
서울특별시,동대문구,청량리동,0.0,20432
서울특별시,동대문구,용신동,0.0,32602
서울특별시,동대문구,제기동,0.0,27017
서울특별시,동대문구,전농동,0.0,50171
서울특별시,동대문구,답십리동,0.0,58997
서울특별시,동대문구,장안동,0.0,72626
서울특별시,동대문구,이문동,0.0,42152
서울특별시,동작구,노량진동,0.0,45899
서울특별시,동작구,상도1동,0.0,46840
서울특별시,동작구,상도동,0.0,82884
서울특별시,동작구,사당동,0.0,105944
서울특별시,동작구,대방동,0.0,39172
서울특별시,동작구,신대방동,0.0,46289
서울특별시,동작구,흑석동,0.0,34544
서울특별시,마포구,용강동,0.0,22257
서울특별시,마포구,대흥동,0.0,15863
서울특별시,마포구,염리동,0.0,12864
서울특별시,마포구,신수동,0.0,23606
서울특별시,마포구,서교동,0.0,26981
서울특별시,마포구,합정동,0.0,18576
서울특별시,마포구,망원동,0.0,40329
서울특별시,마포구,연남동,0.0,16682
서울특별시,마포구,성산동,0.0,60348
서울특별시,마포구,상암동,0.0,31997
서울특별시,마포구,도화동,0.0,21998
서울특별시,마포구,서강동,0.0,25386
서울특별시,마포구,공덕동,0.0,38750
서울특별시,마포구,아현동,0.0,26221
서울특별시,서대문구,천연동,0.0,18049
서울특별시,서대문구,홍제동,1.0,54921
서울특별시,서대문구,홍은동,0.0,51000
서울특별시,서대문구,남가좌동,0.0,47137
서울특별시,서대문구,북가좌동,0.0,51504
서울특별시,서대문구,충현동,0.0,21229
서울특별시,서대문구,북아현동,0.0,16956
서울특별시,서대문구,신촌동,0.0,23051
서울특별시,서대문구,연희동,0.0,39105
서울특별시,서초구,서초동,0.0,171512
서울특별시,서초구,잠원동,0.0,28532
서울특별시,서초구,반포동,0.0,103250
서울특별시,서초구,방배동,0.0,104555
서울특별시,서초구,양재동,0.0,67599
서울특별시,서초구,내곡동,0.0,18146
서울특별시,성동구,왕십리2동,0.0,17416
서울특별시,성동구,마장동,0.0,23459
서울특별시,성동구,사근동,0.0,13512
서울특별시,성동구,행당동,0.0,38514
서울특별시,성동구,응봉동,0.0,15824
서울특별시,성동구,금호동1가,0.0,15795
서울특별시,성동구,금호동4가,0.0,14842
서울특별시,성동구,성수동1가,0.0,30589
서울특별시,성동구,성수동2가,0.0,28603
서울특별시,성동구,송정동,0.0,11143
서울특별시,성동구,용답동,0.0,12724
서울특별시,성동구,왕십리도선동,0.0,27588
서울특별시,성동구,금호동2가,0.0,11792
