시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,인구밀도,범죄총계(구),범죄발생비율
강원도,강릉시,주문진읍,1.0,17085.0,8.0,0.0,0.01,328.0,3.59
강원도,강릉시,성산면,0.0,3393.0,3.0,0.0,0.0,328.0,0.71
강원도,강릉시,왕산면,0.0,1648.0,2.0,0.0,0.0,328.0,0.35
강원도,강릉시,구정면,0.0,4096.0,5.0,0.0,0.0,328.0,0.86
강원도,강릉시,강동면,1.0,4690.0,3.0,0.0,0.0,328.0,0.99
강원도,강릉시,옥계면,0.0,3857.0,4.0,0.0,0.0,328.0,0.81
강원도,강릉시,사천면,0.0,4601.0,3.0,0.0,0.0,328.0,0.97
강원도,강릉시,연곡면,0.0,6871.0,3.0,0.0,0.0,328.0,1.44
강원도,강릉시,홍제동,0.0,14729.0,2.0,0.0,0.01,328.0,3.09
강원도,강릉시,중앙동,0.0,5425.0,0.0,0.0,0.0,328.0,1.14
강원도,강릉시,옥천동,0.0,3694.0,2.0,0.0,0.0,328.0,0.78
강원도,강릉시,교1동,0.0,27236.0,3.0,0.0,0.02,328.0,5.72
강원도,강릉시,교2동,0.0,8284.0,4.0,0.0,0.01,328.0,1.74
강원도,강릉시,포남1동,0.0,11184.0,3.0,0.0,0.01,328.0,2.35
강원도,강릉시,포남2동,0.0,14191.0,4.0,0.0,0.01,328.0,2.98
강원도,강릉시,초당동,0.0,5146.0,1.0,0.0,0.0,328.0,1.08
강원도,강릉시,송정동,0.0,7093.0,2.0,0.0,0.0,328.0,1.49
강원도,강릉시,내곡동,0.0,16059.0,2.0,0.0,0.01,328.0,3.37
강원도,강릉시,강남동,0.0,19111.0,0.0,0.0,0.01,328.0,4.01
강원도,강릉시,성덕동,0.0,29100.0,0.0,0.0,0.02,328.0,6.11
강원도,강릉시,경포동,0.0,7746.0,0.0,0.0,0.0,328.0,1.63
강원도,고성군,간성읍,0.0,7408.0,4.0,0.0,0.0,2114.0,10.03
강원도,고성군,거진읍,0.0,6911.0,2.0,0.0,0.0,2114.0,9.36
강원도,고성군,현내면,0.0,2528.0,1.0,0.0,0.0,2114.0,3.42
강원도,고성군,죽왕면,0.0,4004.0,2.0,0.0,0.0,2114.0,5.42
강원도,고성군,토성면,0.0,8267.0,3.0,0.0,0.01,2114.0,11.19
강원도,동해시,천곡동,0.0,30768.0,11.0,0.0,0.02,190.0,3.74
강원도,동해시,송정동,0.0,4575.0,2.0,0.0,0.0,190.0,0.56
강원도,동해시,북삼동,0.0,20554.0,0.0,0.0,0.01,190.0,2.5
강원도,동해시,부곡동,0.0,5691.0,2.0,0.0,0.0,190.0,0.69
강원도,동해시,동호동,0.0,4982.0,0.0,0.0,0.0,190.0,0.61
강원도,동해시,발한동,0.0,4019.0,5.0,0.0,0.0,190.0,0.49
강원도,동해시,묵호동,0.0,3668.0,0.0,0.0,0.0,190.0,0.45
강원도,동해시,북평동,0.0,10651.0,2.0,0.0,0.01,190.0,1.3
강원도,동해시,망상동,0.0,4035.0,2.0,0.0,0.0,190.0,0.49
강원도,동해시,삼화동,0.0,3194.0,0.0,0.0,0.0,190.0,0.39
강원도,삼척시,도계읍,0.0,11507.0,5.0,0.0,0.01,724.0,5.34
강원도,삼척시,원덕읍,0.0,5412.0,2.0,0.0,0.0,724.0,2.51
강원도,삼척시,근덕면,0.0,5565.0,3.0,0.0,0.0,724.0,2.58
강원도,삼척시,하장면,0.0,1366.0,0.0,0.0,0.0,724.0,0.63
강원도,삼척시,노곡면,0.0,723.0,0.0,0.0,0.0,724.0,0.34
강원도,삼척시,미로면,0.0,1947.0,1.0,0.0,0.0,724.0,0.9
강원도,삼척시,가곡면,0.0,735.0,1.0,0.0,0.0,724.0,0.34
강원도,삼척시,신기면,0.0,674.0,1.0,0.0,0.0,724.0,0.31
강원도,삼척시,남양동,0.0,8142.0,1.0,0.0,0.01,724.0,3.78
강원도,삼척시,교동,0.0,14802.0,1.0,0.0,0.01,724.0,6.86
강원도,삼척시,정라동,0.0,9616.0,0.0,0.0,0.01,724.0,4.46
강원도,삼척시,성내동,0.0,8626.0,0.0,0.0,0.01,724.0,4.0
강원도,속초시,영랑동,0.0,5026.0,2.0,0.0,0.0,448.0,1.44
강원도,속초시,동명동,0.0,4312.0,0.0,0.0,0.0,448.0,1.24
강원도,속초시,금호동,0.0,6862.0,0.0,0.0,0.0,448.0,1.97
강원도,속초시,교동,0.0,10357.0,1.0,0.0,0.01,448.0,2.97
강원도,속초시,노학동,0.0,22790.0,3.0,0.0,0.01,448.0,6.54
강원도,속초시,조양동,0.0,25042.0,4.0,0.0,0.02,448.0,7.19
강원도,속초시,청호동,0.0,4879.0,1.0,0.0,0.0,448.0,1.4
