시도명,시군구명,읍/면/동,등록인구수,인구밀도,관광지개수
강원도,삼척시,도계읍,11507.0,0.0073700789015399,
강원도,삼척시,원덕읍,5412.0,0.0034663132888792,
강원도,삼척시,근덕면,5565.0,0.0035643077332988,3.0
강원도,삼척시,하장면,1366.0,0.0008749046475626,
강원도,삼척시,노곡면,723.0,0.0004630717863746,
강원도,삼척시,미로면,1947.0,0.0012470273417309,
강원도,삼척시,가곡면,735.0,0.0004707576251526,
강원도,삼척시,신기면,674.0,0.0004316879446978,
강원도,삼척시,남양동,8142.0,0.0052148416108749,
강원도,삼척시,교동,14802.0,0.0094804821326665,
강원도,삼척시,정라동,9616.0,0.0061589188074396,
강원도,삼척시,성내동,8626.0,0.0055248371082543,
