시도명,시군구명,읍/면/동,등록인구수,인구밀도,관광지개수
강원도,원주시,문막읍,19728.0,0.0126355189510367,
강원도,원주시,소초면,9420.0,0.0060333834407322,
강원도,원주시,호저면,4088.0,0.0026183090770396,
강원도,원주시,지정면,9638.0,0.0061730095118659,1.0
강원도,원주시,부론면,2391.0,0.001531403376517,
강원도,원주시,귀래면,2209.0,0.0014148348217173,
강원도,원주시,흥업면,9701.0,0.0062133601654504,
강원도,원주시,판부면,7616.0,0.0048779456777724,
강원도,원주시,신림면,3804.0,0.0024364108926269,
강원도,원주시,중앙동,3014.0,0.0019304265064083,
강원도,원주시,원인동,5870.0,0.003759656135573,
강원도,원주시,개운동,13886.0,0.0088937964392789,
강원도,원주시,명륜1동,9494.0,0.0060807794465299,
강원도,원주시,명륜2동,17143.0,0.0109798611809419,
강원도,원주시,단구동,46006.0,0.0294662249017333,
강원도,원주시,일산동,8436.0,0.005403144660936,
강원도,원주시,학성동,5370.0,0.0034394128531562,
강원도,원주시,단계동,26439.0,0.0169338242876348,
강원도,원주시,우산동,14745.0,0.009443974398471,
강원도,원주시,태장1동,10620.0,0.0068019673185325,
강원도,원주시,태장2동,24159.0,0.0154735149198142,
강원도,원주시,봉산동,9059.0,0.0058021677908273,
강원도,원주시,행구동,8026.0,0.0051405451693542,
강원도,원주시,무실동,35048.0,0.022447773124287,
강원도,원주시,반곡관설동,41511.0,0.0265872377928064,
