시도명,시군구명,읍/면/동,등록인구수,인구밀도,관광지개수
광주광역시,남구,양림동,7592.0,0.0051287143828958,
광주광역시,남구,방림1동,7274.0,0.0049138920470474,
광주광역시,남구,방림2동,9421.0,0.0063642805849922,
광주광역시,남구,봉선1동,15122.0,0.0102155451657205,
광주광역시,남구,봉선2동,29602.0,0.0199973924081246,
광주광역시,남구,사직동,5669.0,0.0038296472387561,
광주광역시,남구,월산동,8005.0,0.005407713202724,
광주광역시,남구,월산4동,9225.0,0.0062318743654127,
광주광역시,남구,월산5동,6830.0,0.0046139514271836,
광주광역시,남구,백운1동,13019.0,0.0087948804729874,
광주광역시,남구,백운2동,6311.0,0.0042633451620726,
광주광역시,남구,주월1동,20184.0,0.0136351384489422,
광주광역시,남구,주월2동,8698.0,0.0058758637648087,
광주광역시,남구,효덕동,47590.0,0.032149040764227,
광주광역시,남구,송암동,19302.0,0.0130393104608344,
광주광역시,남구,대촌동,5769.0,0.0038972014324191,
