시도명,시군구명,읍/면/동,등록인구수,인구밀도,관광지개수
광주광역시,서구,양동,4214.0,0.0028467337209592,
광주광역시,서구,양3동,4905.0,0.0033135331991707,
광주광역시,서구,농성1동,11049.0,0.0074640628578261,
광주광역시,서구,농성2동,5338.0,0.0036060428577315,
광주광역시,서구,광천동,8600.0,0.0058096606550189,
광주광역시,서구,유덕동,11155.0,0.0075356703031089,
광주광역시,서구,치평동,31302.0,0.0211458137003958,
광주광역시,서구,상무1동,25407.0,0.0171634939839612,
광주광역시,서구,상무2동,24698.0,0.0166845347508905,
광주광역시,서구,화정1동,15626.0,0.0105560183017821,
광주광역시,서구,화정2동,21373.0,0.0144383578115954,
광주광역시,서구,화정3동,10675.0,0.0072114101735264,
광주광역시,서구,화정4동,16243.0,0.0109728276766829,
광주광역시,서구,서창동,5321.0,0.0035945586448088,
광주광역시,서구,금호1동,21383.0,0.0144451132309617,
광주광역시,서구,금호2동,29651.0,0.0200304939630194,
광주광역시,서구,풍암동,38587.0,0.0260671367087461,
광주광역시,서구,동천동,17139.0,0.0115781132519035,
부산광역시,서구,동대신1동,4769.0,0.0423455661022367,
부산광역시,서구,동대신2동,8225.0,0.0730325605348913,
부산광역시,서구,동대신3동,6956.0,0.0617646797666509,
부산광역시,서구,서대신1동,12051.0,0.1070049102742827,
부산광역시,서구,서대신3동,8991.0,0.0798341339537031,
부산광역시,서구,서대신4동,8250.0,0.0732545440015627,
부산광역시,서구,부민동,8337.0,0.0740270464655792,
부산광역시,서구,아미동,8071.0,0.0716651423801955,
부산광역시,서구,초장동,5109.0,0.0453645412489677,
부산광역시,서구,충무동,10435.0,0.0926558989886433,
부산광역시,서구,남부민1동,5412.0,0.0480549808650251,
부산광역시,서구,남부민2동,10544.0,0.0936237469033306,
부산광역시,서구,암남동,15471.0,0.1373722485149306,
