,시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율,어린이보호구역수,어린이보호구역비율
0,강원도,강릉시,주문진읍,1.0,26.0,0.0869565217391304,,
1,강원도,강릉시,성산면,0.0,19.0,0.0635451505016722,,
2,강원도,강릉시,왕산면,0.0,8.0,0.0267558528428093,,
3,강원도,강릉시,구정면,0.0,8.0,0.0267558528428093,,
4,강원도,강릉시,강동면,1.0,25.0,0.0836120401337792,,
5,강원도,강릉시,옥계면,0.0,13.0,0.0434782608695652,,
6,강원도,강릉시,사천면,0.0,19.0,0.0635451505016722,,
7,강원도,강릉시,연곡면,0.0,12.0,0.040133779264214,,
8,강원도,강릉시,홍제동,0.0,9.0,0.0301003344481605,,
9,강원도,강릉시,중앙동,0.0,0.0,0.0,,
10,강원도,강릉시,옥천동,0.0,11.0,0.0367892976588628,,
11,강원도,강릉시,교1동,0.0,0.0,0.0,,
12,강원도,강릉시,교2동,0.0,0.0,0.0,,
13,강원도,강릉시,포남1동,0.0,0.0,0.0,,
14,강원도,강릉시,포남2동,0.0,0.0,0.0,,
15,강원도,강릉시,초당동,0.0,3.0,0.0100334448160535,,
16,강원도,강릉시,송정동,0.0,3.0,0.0100334448160535,,
17,강원도,강릉시,내곡동,0.0,13.0,0.0434782608695652,,
18,강원도,강릉시,강남동,0.0,0.0,0.0,,
19,강원도,강릉시,성덕동,0.0,0.0,0.0,,
20,강원도,강릉시,경포동,0.0,0.0,0.0,,
21,강원도,강릉시,강문동,1.0,7.0,0.0234113712374581,,
22,강원도,강릉시,견소동,1.0,2.0,0.0066889632107023,,
23,강원도,강릉시,교동,0.0,24.0,0.0802675585284281,,
24,강원도,강릉시,금학동,0.0,7.0,0.0234113712374581,,
25,강원도,강릉시,난곡동,0.0,1.0,0.0033444816053511,,
26,강원도,강릉시,남문동,0.0,3.0,0.0100334448160535,,
27,강원도,강릉시,남항진동,0.0,1.0,0.0033444816053511,,
28,강원도,강릉시,노암동,0.0,13.0,0.0434782608695652,,
29,강원도,강릉시,담산동,0.0,2.0,0.0066889632107023,,
30,강원도,강릉시,대전동,0.0,1.0,0.0033444816053511,,
31,강원도,강릉시,두산동,0.0,5.0,0.0167224080267558,,
32,강원도,강릉시,박월동,0.0,3.0,0.0100334448160535,,
33,강원도,강릉시,병산동,0.0,2.0,0.0066889632107023,,
34,강원도,강릉시,성남동,0.0,2.0,0.0066889632107023,,
35,강원도,강릉시,신석동,0.0,1.0,0.0033444816053511,,
36,강원도,강릉시,안현동,1.0,6.0,0.020066889632107,,
37,강원도,강릉시,용강동,0.0,1.0,0.0033444816053511,,
38,강원도,강릉시,운정동,0.0,1.0,0.0033444816053511,,
39,강원도,강릉시,유산동,0.0,2.0,0.0066889632107023,,
40,강원도,강릉시,유천동,0.0,3.0,0.0100334448160535,,
41,강원도,강릉시,임당동,0.0,7.0,0.0234113712374581,,
42,강원도,강릉시,입암동,0.0,6.0,0.020066889632107,,
43,강원도,강릉시,저동,0.0,2.0,0.0066889632107023,,
44,강원도,강릉시,죽헌동,0.0,1.0,0.0033444816053511,,
45,강원도,강릉시,지변동,0.0,5.0,0.0167224080267558,,
46,강원도,강릉시,청량동,0.0,1.0,0.0033444816053511,,
47,강원도,강릉시,포남동,0.0,20.0,0.0668896321070234,,
48,강원도,강릉시,학동,0.0,1.0,0.0033444816053511,,
49,강원도,인제군,인제읍,1.0,19.0,0.2435897435897435,,
50,강원도,인제군,남면,1.0,8.0,0.1025641025641025,,
51,강원도,인제군,북면,1.0,15.0,0.1923076923076923,,
52,강원도,인제군,기린면,1.0,14.0,0.1794871794871795,,
53,강원도,인제군,서화면,1.0,11.0,0.141025641025641,,
54,강원도,인제군,상남면,1.0,11.0,0.141025641025641,,
55,강원도,춘천시,신북읍,1.0,33.0,0.1141868512110726,,
56,강원도,춘천시,동면,1.0,17.0,0.0588235294117647,,
57,강원도,춘천시,동산면,1.0,11.0,0.0380622837370242,,
58,강원도,춘천시,신동면,1.0,7.0,0.0242214532871972,,
59,강원도,춘천시,남면,0.0,7.0,0.0242214532871972,,
60,강원도,춘천시,서면,1.0,20.0,0.0692041522491349,,
61,강원도,춘천시,사북면,1.0,9.0,0.0311418685121107,,
62,강원도,춘천시,북산면,0.0,7.0,0.0242214532871972,,
63,강원도,춘천시,동내면,1.0,24.0,0.0830449826989619,,
64,강원도,춘천시,남산면,0.0,18.0,0.0622837370242214,,
65,강원도,춘천시,교동,1.0,3.0,0.0103806228373702,,
66,강원도,춘천시,조운동,0.0,0.0,0.0,,
67,강원도,춘천시,약사명동,0.0,0.0,0.0,,
68,강원도,춘천시,근화동,1.0,6.0,0.0207612456747404,,
69,강원도,춘천시,소양동,0.0,0.0,0.0,,
70,강원도,춘천시,후평1동,0.0,0.0,0.0,,
71,강원도,춘천시,후평2동,0.0,0.0,0.0,,
72,강원도,춘천시,후평3동,0.0,0.0,0.0,,
73,강원도,춘천시,효자1동,0.0,0.0,0.0,,
74,강원도,춘천시,효자2동,0.0,0.0,0.0,,
75,강원도,춘천시,효자3동,0.0,0.0,0.0,,
76,강원도,춘천시,석사동,1.0,16.0,0.0553633217993079,,
77,강원도,춘천시,퇴계동,1.0,19.0,0.0657439446366782,,
78,강원도,춘천시,강남동,0.0,0.0,0.0,,
79,강원도,춘천시,신사우동,0.0,0.0,0.0,,
80,강원도,춘천시,낙원동,0.0,1.0,0.0034602076124567,,
81,강원도,춘천시,사농동,1.0,3.0,0.0103806228373702,,
82,강원도,춘천시,삼천동,0.0,7.0,0.0242214532871972,,
83,강원도,춘천시,소양로1가,0.0,3.0,0.0103806228373702,,
84,강원도,춘천시,송암동,0.0,3.0,0.0103806228373702,,
85,강원도,춘천시,신동,1.0,6.0,0.0207612456747404,,
86,강원도,춘천시,약사동,1.0,5.0,0.0173010380622837,,
87,강원도,춘천시,옥천동,1.0,1.0,0.0034602076124567,,
88,강원도,춘천시,온의동,0.0,8.0,0.0276816608996539,,
89,강원도,춘천시,우두동,1.0,7.0,0.0242214532871972,,
90,강원도,춘천시,조양동,1.0,3.0,0.0103806228373702,,
91,강원도,춘천시,중도동,0.0,1.0,0.0034602076124567,,
92,강원도,춘천시,중앙로1가,0.0,1.0,0.0034602076124567,,
93,강원도,춘천시,중앙로3가,0.0,1.0,0.0034602076124567,,
94,강원도,춘천시,칠전동,0.0,3.0,0.0103806228373702,,
95,강원도,춘천시,효자동,1.0,15.0,0.0519031141868512,,
96,강원도,춘천시,후평동,1.0,24.0,0.0830449826989619,,
97,경기도,가평군,가평읍,1.0,45.0,0.2848101265822785,,
98,경기도,가평군,설악면,1.0,27.0,0.170886075949367,,
99,경기도,가평군,청평면,1.0,22.0,0.1392405063291139,,
100,경기도,가평군,상면,1.0,23.0,0.1455696202531645,,
101,경기도,가평군,조종면,1.0,9.0,0.0569620253164556,,
102,경기도,가평군,북면,1.0,23.0,0.1455696202531645,,
103,경기도,가평군,하면,0.0,9.0,0.0569620253164556,,
104,광주광역시,광산구,송정1동,0.0,0.0,0.0,,
105,광주광역시,광산구,송정2동,0.0,0.0,0.0,,
106,광주광역시,광산구,도산동,1.0,8.0,0.0272108843537414,,
107,광주광역시,광산구,신흥동,0.0,0.0,0.0,,
108,광주광역시,광산구,어룡동,0.0,0.0,0.0,,
109,광주광역시,광산구,우산동,1.0,16.0,0.0544217687074829,,
110,광주광역시,광산구,월곡1동,0.0,0.0,0.0,,
111,광주광역시,광산구,월곡2동,0.0,0.0,0.0,,
112,광주광역시,광산구,비아동,1.0,6.0,0.0204081632653061,,
113,광주광역시,광산구,첨단1동,0.0,0.0,0.0,,
114,광주광역시,광산구,첨단2동,0.0,0.0,0.0,,
115,광주광역시,광산구,신가동,1.0,21.0,0.0714285714285714,,
116,광주광역시,광산구,운남동,1.0,11.0,0.0374149659863945,,
117,광주광역시,광산구,수완동,0.0,18.0,0.0612244897959183,,
118,광주광역시,광산구,하남동,0.0,10.0,0.0340136054421768,,
119,광주광역시,광산구,임곡동,0.0,2.0,0.0068027210884353,,
120,광주광역시,광산구,동곡동,0.0,0.0,0.0,,
121,광주광역시,광산구,평동,0.0,0.0,0.0,,
122,광주광역시,광산구,삼도동,0.0,1.0,0.0034013605442176,,
123,광주광역시,광산구,본량동,0.0,0.0,0.0,,
124,광주광역시,광산구,신창동,1.0,16.0,0.0544217687074829,,
125,광주광역시,광산구,고룡동,0.0,3.0,0.010204081632653,,
126,광주광역시,광산구,광산동,0.0,1.0,0.0034013605442176,,
127,광주광역시,광산구,남산동,0.0,3.0,0.010204081632653,,
128,광주광역시,광산구,대산동,0.0,1.0,0.0034013605442176,,
129,광주광역시,광산구,도덕동,0.0,2.0,0.0068027210884353,,
130,광주광역시,광산구,도천동,0.0,7.0,0.0238095238095238,,
131,광주광역시,광산구,동산동,0.0,2.0,0.0068027210884353,,
132,광주광역시,광산구,명화동,0.0,1.0,0.0034013605442176,,
133,광주광역시,광산구,박호동,0.0,2.0,0.0068027210884353,,
134,광주광역시,광산구,복룡동,1.0,4.0,0.0136054421768707,,
135,광주광역시,광산구,본덕동,1.0,4.0,0.0136054421768707,,
136,광주광역시,광산구,북산동,0.0,1.0,0.0034013605442176,,
137,광주광역시,광산구,사호동,0.0,1.0,0.0034013605442176,,
138,광주광역시,광산구,산막동,0.0,2.0,0.0068027210884353,,
139,광주광역시,광산구,산수동,0.0,1.0,0.0034013605442176,,
140,광주광역시,광산구,산월동,0.0,2.0,0.0068027210884353,,
141,광주광역시,광산구,산정동,1.0,4.0,0.0136054421768707,,
142,광주광역시,광산구,선암동,0.0,2.0,0.0068027210884353,,
143,광주광역시,광산구,소촌동,1.0,7.0,0.0238095238095238,,
144,광주광역시,광산구,송대동,0.0,1.0,0.0034013605442176,,
145,광주광역시,광산구,송산동,0.0,3.0,0.010204081632653,,
146,광주광역시,광산구,송정동,1.0,6.0,0.0204081632653061,,
147,광주광역시,광산구,송촌동,0.0,3.0,0.010204081632653,,
148,광주광역시,광산구,송치동,0.0,2.0,0.0068027210884353,,
149,광주광역시,광산구,송학동,0.0,1.0,0.0034013605442176,,
150,광주광역시,광산구,신동,0.0,2.0,0.0068027210884353,,
151,광주광역시,광산구,신룡동,0.0,1.0,0.0034013605442176,,
152,광주광역시,광산구,신촌동,1.0,8.0,0.0272108843537414,,
153,광주광역시,광산구,쌍암동,0.0,5.0,0.0170068027210884,,
154,광주광역시,광산구,안청동,0.0,7.0,0.0238095238095238,,
155,광주광역시,광산구,연산동,1.0,4.0,0.0136054421768707,,
156,광주광역시,광산구,오산동,0.0,2.0,0.0068027210884353,,
157,광주광역시,광산구,오선동,0.0,3.0,0.010204081632653,,
158,광주광역시,광산구,오운동,0.0,1.0,0.0034013605442176,,
159,광주광역시,광산구,옥동,1.0,5.0,0.0170068027210884,,
160,광주광역시,광산구,요기동,0.0,1.0,0.0034013605442176,,
161,광주광역시,광산구,용곡동,0.0,1.0,0.0034013605442176,,
162,광주광역시,광산구,용동,1.0,3.0,0.010204081632653,,
163,광주광역시,광산구,용봉동,0.0,2.0,0.0068027210884353,,
164,광주광역시,광산구,운수동,1.0,3.0,0.010204081632653,,
165,광주광역시,광산구,월계동,1.0,15.0,0.0510204081632653,,
166,광주광역시,광산구,월곡동,1.0,11.0,0.0374149659863945,,
167,광주광역시,광산구,월전동,0.0,4.0,0.0136054421768707,,
168,광주광역시,광산구,유계동,0.0,4.0,0.0136054421768707,,
169,광주광역시,광산구,장덕동,0.0,13.0,0.0442176870748299,,
170,광주광역시,광산구,장록동,0.0,3.0,0.010204081632653,,
171,광주광역시,광산구,장수동,0.0,2.0,0.0068027210884353,,
172,광주광역시,광산구,지정동,0.0,4.0,0.0136054421768707,,
173,광주광역시,광산구,지죽동,0.0,1.0,0.0034013605442176,,
174,광주광역시,광산구,지평동,0.0,3.0,0.010204081632653,,
175,광주광역시,광산구,진곡동,0.0,7.0,0.0238095238095238,,
176,광주광역시,광산구,하산동,0.0,3.0,0.010204081632653,,
177,광주광역시,광산구,흑석동,0.0,1.0,0.0034013605442176,,
178,부산광역시,서구,동대신1동,0.0,0.0,0.0,,
179,부산광역시,서구,동대신2동,0.0,0.0,0.0,,
180,부산광역시,서구,동대신3동,0.0,0.0,0.0,,
181,부산광역시,서구,서대신1동,0.0,0.0,0.0,,
182,부산광역시,서구,서대신3동,0.0,0.0,0.0,,
183,부산광역시,서구,서대신4동,0.0,0.0,0.0,,
184,부산광역시,서구,부민동,1.0,0.0,0.0,,
185,부산광역시,서구,아미동,1.0,0.0,0.0,,
186,부산광역시,서구,초장동,1.0,3.0,0.0394736842105263,,
187,부산광역시,서구,충무동,1.0,0.0,0.0,,
188,부산광역시,서구,남부민1동,0.0,0.0,0.0,,
189,부산광역시,서구,남부민2동,0.0,0.0,0.0,,
190,부산광역시,서구,암남동,1.0,17.0,0.2236842105263158,,
191,부산광역시,서구,남부민동,1.0,11.0,0.1447368421052631,,
192,부산광역시,서구,동대신동2가,0.0,4.0,0.0526315789473684,,
193,부산광역시,서구,동대신동3가,0.0,7.0,0.0921052631578947,,
194,부산광역시,서구,부민동1가,0.0,2.0,0.0263157894736842,,
195,부산광역시,서구,부민동3가,0.0,1.0,0.0131578947368421,,
196,부산광역시,서구,부용동1가,0.0,1.0,0.0131578947368421,,
197,부산광역시,서구,부용동2가,0.0,3.0,0.0394736842105263,,
198,부산광역시,서구,서대신동1가,0.0,1.0,0.0131578947368421,,
199,부산광역시,서구,서대신동2가,0.0,1.0,0.0131578947368421,,
200,부산광역시,서구,서대신동3가,0.0,13.0,0.1710526315789473,,
201,부산광역시,서구,아미동2가,0.0,1.0,0.0131578947368421,,
202,부산광역시,서구,충무동1가,0.0,4.0,0.0526315789473684,,
203,부산광역시,서구,충무동2가,0.0,2.0,0.0263157894736842,,
204,부산광역시,서구,충무동3가,0.0,1.0,0.0131578947368421,,
205,부산광역시,서구,토성동1가,0.0,2.0,0.0263157894736842,,
206,부산광역시,서구,토성동2가,0.0,2.0,0.0263157894736842,,
207,서울특별시,강남구,개포동,0.0,45.0,0.0896414342629482,,
208,서울특별시,강남구,논현동,0.0,77.0,0.1533864541832669,,
209,서울특별시,강남구,대치동,0.0,56.0,0.1115537848605577,,
210,서울특별시,강남구,도곡동,0.0,21.0,0.0418326693227091,,
211,서울특별시,강남구,삼성동,0.0,51.0,0.1015936254980079,,
212,서울특별시,강남구,세곡동,0.0,6.0,0.0119521912350597,,
213,서울특별시,강남구,수서동,0.0,10.0,0.0199203187250996,,
214,서울특별시,강남구,신사동,0.0,47.0,0.0936254980079681,,
215,서울특별시,강남구,압구정동,0.0,8.0,0.0159362549800796,,
216,서울특별시,강남구,역삼동,0.0,121.0,0.2410358565737052,,
217,서울특별시,강남구,율현동,0.0,4.0,0.0079681274900398,,
218,서울특별시,강남구,일원동,0.0,19.0,0.0378486055776892,,
219,서울특별시,강남구,자곡동,0.0,3.0,0.0059760956175298,,
220,서울특별시,강남구,청담동,0.0,34.0,0.0677290836653386,,
221,서울특별시,강동구,강일동,0.0,14.0,0.0520446096654275,,
222,서울특별시,강동구,고덕동,0.0,19.0,0.070631970260223,,
223,서울특별시,강동구,길동,0.0,32.0,0.1189591078066914,,
224,서울특별시,강동구,둔촌동,0.0,13.0,0.0483271375464684,,
225,서울특별시,강동구,명일동,0.0,20.0,0.0743494423791821,,
226,서울특별시,강동구,상일동,0.0,16.0,0.0594795539033457,,
227,서울특별시,강동구,성내동,0.0,54.0,0.2007434944237918,,
228,서울특별시,강동구,암사동,0.0,35.0,0.1301115241635687,,
229,서울특별시,강동구,천호동,0.0,66.0,0.2453531598513011,,
230,서울특별시,강북구,미아동,0.0,71.0,0.3817204301075269,,
231,서울특별시,강북구,번동,0.0,39.0,0.2096774193548387,,
232,서울특별시,강북구,수유동,0.0,71.0,0.3817204301075269,,
233,서울특별시,강북구,우이동,0.0,5.0,0.0268817204301075,,
234,서울특별시,강서구,염창동,0.0,18.0,0.0494505494505494,,
235,서울특별시,강서구,등촌1동,0.0,0.0,0.0,,
236,서울특별시,강서구,등촌2동,0.0,0.0,0.0,,
237,서울특별시,강서구,등촌3동,0.0,0.0,0.0,,
238,서울특별시,강서구,화곡본동,0.0,0.0,0.0,,
239,서울특별시,강서구,화곡1동,0.0,0.0,0.0,,
240,서울특별시,강서구,화곡2동,0.0,0.0,0.0,,
241,서울특별시,강서구,화곡3동,0.0,0.0,0.0,,
242,서울특별시,강서구,화곡4동,0.0,0.0,0.0,,
243,서울특별시,강서구,화곡6동,0.0,0.0,0.0,,
244,서울특별시,강서구,화곡8동,0.0,0.0,0.0,,
245,서울특별시,강서구,가양1동,0.0,0.0,0.0,,
246,서울특별시,강서구,가양2동,0.0,0.0,0.0,,
247,서울특별시,강서구,가양3동,0.0,0.0,0.0,,
248,서울특별시,강서구,발산1동,0.0,0.0,0.0,,
249,서울특별시,강서구,공항동,1.0,13.0,0.0357142857142857,,
250,서울특별시,강서구,방화1동,0.0,0.0,0.0,,
251,서울특별시,강서구,방화2동,0.0,0.0,0.0,,
252,서울특별시,강서구,방화3동,0.0,0.0,0.0,,
253,서울특별시,강서구,우장산동,0.0,0.0,0.0,,
254,서울특별시,강서구,가양동,1.0,31.0,0.0851648351648351,,
255,서울특별시,강서구,개화동,0.0,12.0,0.0329670329670329,,
256,서울특별시,강서구,과해동,0.0,1.0,0.0027472527472527,,
257,서울특별시,강서구,내발산동,0.0,18.0,0.0494505494505494,,
258,서울특별시,강서구,등촌동,0.0,54.0,0.1483516483516483,,
259,서울특별시,강서구,마곡동,1.0,20.0,0.0549450549450549,,
260,서울특별시,강서구,방화동,1.0,42.0,0.1153846153846153,,
261,서울특별시,강서구,오곡동,0.0,4.0,0.0109890109890109,,
262,서울특별시,강서구,외발산동,0.0,10.0,0.0274725274725274,,
263,서울특별시,강서구,화곡동,0.0,141.0,0.3873626373626374,,
264,서울특별시,관악구,남현동,0.0,19.0,0.0664335664335664,,
265,서울특별시,관악구,봉천동,0.0,115.0,0.4020979020979021,,
266,서울특별시,관악구,신림동,0.0,152.0,0.5314685314685315,,
267,서울특별시,광진구,중곡1동,0.0,0.0,0.0,,
268,서울특별시,광진구,중곡2동,0.0,0.0,0.0,,
269,서울특별시,광진구,중곡3동,0.0,0.0,0.0,,
270,서울특별시,광진구,중곡4동,0.0,0.0,0.0,,
271,서울특별시,광진구,능동,1.0,6.0,0.03,,
272,서울특별시,광진구,구의1동,0.0,0.0,0.0,,
273,서울특별시,광진구,구의2동,0.0,0.0,0.0,,
274,서울특별시,광진구,구의3동,0.0,0.0,0.0,,
275,서울특별시,광진구,광장동,1.0,13.0,0.065,,
276,서울특별시,광진구,자양1동,0.0,0.0,0.0,,
277,서울특별시,광진구,자양2동,0.0,0.0,0.0,,
278,서울특별시,광진구,자양3동,0.0,0.0,0.0,,
279,서울특별시,광진구,자양4동,0.0,0.0,0.0,,
280,서울특별시,광진구,화양동,1.0,31.0,0.155,,
