시도명,시군구명,읍/면/동,어린이보호구역총계,Unnamed: 0,Unnamed: 0.1,설치유무,화재발생횟수,화재발생비율,어린이보호구역수,어린이보호구역비율
강원도,강릉시,강동면,3.0,,,,,,,
강원도,강릉시,강동면정동,2.0,,,,,,,
강원도,강릉시,강문동,1.0,,,,,,,
강원도,강릉시,교동,7.0,,,,,,,
강원도,강릉시,구정면,5.0,,,,,,,
강원도,강릉시,내곡동,2.0,,,,,,,
강원도,강릉시,노암동,2.0,,,,,,,
강원도,강릉시,두산동,1.0,,,,,,,
강원도,강릉시,사천면,3.0,,,,,,,
강원도,강릉시,성산면,3.0,,,,,,,
강원도,강릉시,송정동,2.0,,,,,,,
강원도,강릉시,안현동,2.0,,,,,,,
강원도,강릉시,연곡면,3.0,,,,,,,
강원도,강릉시,옥계면,4.0,,,,,,,
강원도,강릉시,옥천동,2.0,,,,,,,
강원도,강릉시,왕산면,2.0,,,,,,,
강원도,강릉시,유천동,1.0,,,,,,,
강원도,강릉시,입암동,4.0,,,,,,,
강원도,강릉시,장현동,2.0,,,,,,,
강원도,강릉시,주문진읍,8.0,,,,,,,
강원도,강릉시,초당동,1.0,,,,,,,
강원도,강릉시,포남동,7.0,,,,,,,
강원도,강릉시,홍제동,2.0,,,,,,,
강원도,강릉시,회산동,3.0,,,,,,,
강원도,인제군,기린면,2.0,,,,,,,
강원도,인제군,기린면방동,1.0,,,,,,,
강원도,인제군,기린면진동,1.0,,,,,,,
강원도,인제군,남면,5.0,,,,,,,
강원도,인제군,북면,6.0,,,,,,,
강원도,인제군,상남면,3.0,,,,,,,
강원도,인제군,서화면,3.0,,,,,,,
강원도,인제군,인제읍,6.0,,,,,,,
강원도,인제군,인제읍상동,4.0,,,,,,,
강원도,춘천시,교동,2.0,,,,,,,
강원도,춘천시,근화동,1.0,,,,,,,
강원도,춘천시,낙원동,1.0,,,,,,,
강원도,춘천시,남산면,6.0,,,,,,,
강원도,춘천시,동내면,6.0,,,,,,,
강원도,춘천시,동면,8.0,,,,,,,
강원도,춘천시,동산면,1.0,,,,,,,
강원도,춘천시,봉의동,1.0,,,,,,,
강원도,춘천시,북산면,2.0,,,,,,,
강원도,춘천시,사북면,4.0,,,,,,,
강원도,춘천시,서면,6.0,,,,,,,
강원도,춘천시,석사동,6.0,,,,,,,
강원도,춘천시,소양로1가,1.0,,,,,,,
강원도,춘천시,신동,3.0,,,,,,,
강원도,춘천시,신동면,3.0,,,,,,,
강원도,춘천시,신북읍,10.0,,,,,,,
강원도,춘천시,약사동,2.0,,,,,,,
강원도,춘천시,온의동,2.0,,,,,,,
강원도,춘천시,우두동,5.0,,,,,,,
강원도,춘천시,죽림동,1.0,,,,,,,
강원도,춘천시,중앙로3가,2.0,,,,,,,
강원도,춘천시,칠전동,2.0,,,,,,,
강원도,춘천시,퇴계동,9.0,,,,,,,
강원도,춘천시,효자동,6.0,,,,,,,
강원도,춘천시,후평동,11.0,,,,,,,
경기도,가평군,가평읍,6.0,,,,,,,
경기도,가평군,북면,2.0,,,,,,,
경기도,가평군,상면,3.0,,,,,,,
경기도,가평군,설악면,4.0,,,,,,,
경기도,가평군,조종면,1.0,,,,,,,
경기도,가평군,청평면,4.0,,,,,,,
부산광역시,서구,남부민동,5.0,,,,,,,
부산광역시,서구,동대신동1가,1.0,,,,,,,
부산광역시,서구,동대신동3가,2.0,,,,,,,
부산광역시,서구,부민동1가,1.0,,,,,,,
부산광역시,서구,부민동3가,1.0,,,,,,,
부산광역시,서구,부용동2가,2.0,,,,,,,
부산광역시,서구,서대신동2가,1.0,,,,,,,
부산광역시,서구,서대신동3가,4.0,,,,,,,
부산광역시,서구,아미동2가,2.0,,,,,,,
부산광역시,서구,암남동,3.0,,,,,,,
부산광역시,서구,토성동2가,2.0,,,,,,,
서울특별시,강남구,개포2동,2.0,,,,,,,
서울특별시,강남구,개포동,15.0,,,,,,,
서울특별시,강남구,논현동,7.0,,,,,,,
서울특별시,강남구,대치동,16.0,,,,,,,
서울특별시,강남구,도곡동,5.0,,,,,,,
서울특별시,강남구,삼성동,10.0,,,,,,,
서울특별시,강남구,세곡동,3.0,,,,,,,
서울특별시,강남구,수서동,7.0,,,,,,,
서울특별시,강남구,신사동,3.0,,,,,,,
