시도명,시군구명,읍/면/동,등록인구수
강원도,춘천시,신북읍,8080
강원도,춘천시,동면,20120
강원도,춘천시,동산면,1560
강원도,춘천시,신동면,2594
강원도,춘천시,남면,1123
강원도,춘천시,서면,4071
강원도,춘천시,사북면,2674
강원도,춘천시,북산면,992
강원도,춘천시,동내면,17901
강원도,춘천시,남산면,3742
강원도,춘천시,교동,4369
강원도,춘천시,조운동,3231
강원도,춘천시,약사명동,2758
강원도,춘천시,근화동,9196
강원도,춘천시,소양동,10931
강원도,춘천시,후평1동,13013
강원도,춘천시,후평2동,15730
강원도,춘천시,후평3동,18286
강원도,춘천시,효자1동,5073
강원도,춘천시,효자2동,12918
강원도,춘천시,효자3동,5335
강원도,춘천시,석사동,38051
강원도,춘천시,퇴계동,44442
강원도,춘천시,강남동,17944
강원도,춘천시,신사우동,20868
강원도,원주시,문막읍,19728
강원도,원주시,소초면,9420
강원도,원주시,호저면,4088
강원도,원주시,지정면,9638
강원도,원주시,부론면,2391
강원도,원주시,귀래면,2209
강원도,원주시,흥업면,9701
강원도,원주시,판부면,7616
강원도,원주시,신림면,3804
강원도,원주시,중앙동,3014
강원도,원주시,원인동,5870
강원도,원주시,개운동,13886
강원도,원주시,명륜1동,9494
강원도,원주시,명륜2동,17143
강원도,원주시,단구동,46006
강원도,원주시,일산동,8436
강원도,원주시,학성동,5370
강원도,원주시,단계동,26439
강원도,원주시,우산동,14745
강원도,원주시,태장1동,10620
강원도,원주시,태장2동,24159
강원도,원주시,봉산동,9059
강원도,원주시,행구동,8026
강원도,원주시,무실동,35048
강원도,원주시,반곡관설동,41511
강원도,강릉시,주문진읍,17085
강원도,강릉시,성산면,3393
강원도,강릉시,왕산면,1648
강원도,강릉시,구정면,4096
강원도,강릉시,강동면,4690
강원도,강릉시,옥계면,3857
강원도,강릉시,사천면,4601
강원도,강릉시,연곡면,6871
강원도,강릉시,홍제동,14729
강원도,강릉시,중앙동,5425
강원도,강릉시,옥천동,3694
강원도,강릉시,교1동,27236
강원도,강릉시,교2동,8284
강원도,강릉시,포남1동,11184
강원도,강릉시,포남2동,14191
강원도,강릉시,초당동,5146
강원도,강릉시,송정동,7093
강원도,강릉시,내곡동,16059
강원도,강릉시,강남동,19111
강원도,강릉시,성덕동,29100
강원도,강릉시,경포동,7746
강원도,동해시,천곡동,30768
강원도,동해시,송정동,4575
강원도,동해시,북삼동,20554
강원도,동해시,부곡동,5691
강원도,동해시,동호동,4982
강원도,동해시,발한동,4019
강원도,동해시,묵호동,3668
강원도,동해시,북평동,10651
강원도,동해시,망상동,4035
강원도,동해시,삼화동,3194
강원도,태백시,황지동,6759
강원도,태백시,황연동,4825
강원도,태백시,삼수동,6364
강원도,태백시,상장동,14295
강원도,태백시,문곡소도동,4053
강원도,태백시,장성동,3561
강원도,태백시,구문소동,2917
강원도,태백시,철암동,2338
강원도,속초시,영랑동,5026
강원도,속초시,동명동,4312
강원도,속초시,금호동,6862
강원도,속초시,교동,10357
강원도,속초시,노학동,22790
강원도,속초시,조양동,25042
강원도,속초시,청호동,4879
강원도,속초시,대포동,3426
강원도,삼척시,도계읍,11507
강원도,삼척시,원덕읍,5412
강원도,삼척시,근덕면,5565
강원도,삼척시,하장면,1366
강원도,삼척시,노곡면,723
강원도,삼척시,미로면,1947
강원도,삼척시,가곡면,735
강원도,삼척시,신기면,674
강원도,삼척시,남양동,8142
강원도,삼척시,교동,14802
강원도,삼척시,정라동,9616
강원도,삼척시,성내동,8626
강원도,홍천군,홍천읍,35919
강원도,홍천군,화촌면,4736
강원도,홍천군,두촌면,2425
강원도,홍천군,내촌면,2447
강원도,홍천군,서석면,3945
강원도,홍천군,동면,3872
강원도,홍천군,남면,6169
강원도,홍천군,서면,3886
강원도,홍천군,북방면,4014
강원도,홍천군,내면,3485
강원도,횡성군,횡성읍,21273
강원도,횡성군,우천면,4703
강원도,횡성군,안흥면,3153
강원도,횡성군,둔내면,5872
강원도,횡성군,갑천면,2362
강원도,횡성군,청일면,2431
강원도,횡성군,공근면,3626
강원도,횡성군,서원면,2165
강원도,횡성군,강림면,1755
강원도,영월군,영월읍,21767
강원도,영월군,상동읍,1143
강원도,영월군,중동면,1544
강원도,영월군,김삿갓면,1801
강원도,영월군,북면,2265
강원도,영월군,남면,2316
강원도,영월군,한반도면,3139
강원도,영월군,주천면,3965
강원도,영월군,수주면,2058
강원도,평창군,평창읍,8834
강원도,평창군,미탄면,1747
강원도,평창군,방림면,2512
강원도,평창군,대화면,5537
강원도,평창군,봉평면,5916
강원도,평창군,용평면,3261
강원도,평창군,진부면,9278
강원도,평창군,대관령면,5936
강원도,정선군,정선읍,11066
강원도,정선군,고한읍,4527
강원도,정선군,사북읍,5141
강원도,정선군,신동읍,3727
강원도,정선군,남면,3442
강원도,정선군,북평면,2606
강원도,정선군,임계면,3693
강원도,정선군,화암면,1702
강원도,정선군,여량면,2061
강원도,철원군,철원읍,5244
강원도,철원군,김화읍,3947
강원도,철원군,갈말읍,12813
강원도,철원군,동송읍,16361
강원도,철원군,서면,6183
강원도,철원군,근남면,2477
강원도,철원군,근북면,113
강원도,화천군,화천읍,8664
강원도,화천군,간동면,2827
강원도,화천군,하남면,2875
강원도,화천군,상서면,4236
강원도,화천군,사내면,6740
강원도,양구군,양구읍,15009
강원도,양구군,남면,3565
강원도,양구군,동면,2265
강원도,양구군,방산면,1465
강원도,양구군,해안면,1362
강원도,인제군,인제읍,9716
강원도,인제군,남면,4283
강원도,인제군,북면,8740
강원도,인제군,기린면,5180
강원도,인제군,서화면,2984
강원도,인제군,상남면,1552
강원도,고성군,간성읍,7408
강원도,고성군,거진읍,6911
강원도,고성군,현내면,2528
강원도,고성군,죽왕면,4004
강원도,고성군,토성면,8267
강원도,양양군,양양읍,11944
강원도,양양군,서면,3017
강원도,양양군,손양면,2485
강원도,양양군,현북면,2648
강원도,양양군,현남면,3135
강원도,양양군,강현면,4423
