시도명,시군구명,읍/면/동,등록인구수
서울특별시,종로구,사직동,9806
서울특별시,종로구,삼청동,2909
서울특별시,종로구,부암동,10333
서울특별시,종로구,평창동,18582
서울특별시,종로구,무악동,8592
서울특별시,종로구,교남동,10634
서울특별시,종로구,가회동,4418
서울특별시,종로구,종로1가,2112
서울특별시,종로구,종로2가,2112
서울특별시,종로구,종로3가,2112
서울특별시,종로구,종로4가,2113
서울특별시,종로구,종로5가,2845
서울특별시,종로구,종로6가,2846
서울특별시,종로구,이화동,8111
서울특별시,종로구,창신동,22574
서울특별시,종로구,숭인동,16566
서울특별시,종로구,청운동,12633
서울특별시,종로구,혜화동,19734
서울특별시,중구,소공동,3011
서울특별시,중구,회현동1가,5757
서울특별시,중구,명동1가,1843
서울특별시,중구,명동2가,1842
서울특별시,중구,필동2가,2377
서울특별시,중구,필동3가,2377
서울특별시,중구,장충동1가,2734
서울특별시,중구,장충동2가,2734
서울특별시,중구,광희1가,3208
서울특별시,중구,광희2가,3208
서울특별시,중구,을지로1가,281
서울특별시,중구,을지로2가,281
서울특별시,중구,을지로3가,281
서울특별시,중구,을지로4가,281
서울특별시,중구,을지로5가,281
서울특별시,중구,을지로6가,281
서울특별시,중구,을지로7가,281
서울특별시,중구,황학동,13531
서울특별시,중구,중림동,12801
서울특별시,중구,신당동,20058
서울특별시,중구,다산동,14725
서울특별시,중구,약수동,17354
서울특별시,중구,청구동,14281
서울특별시,중구,동화동,10827
서울특별시,용산구,후암동,18202
서울특별시,용산구,용산동2가,11272
서울특별시,용산구,남영동,8116
서울특별시,용산구,원효로2가,14331
서울특별시,용산구,효창동,10326
서울특별시,용산구,용문동,12455
서울특별시,용산구,이촌동,37769
서울특별시,용산구,이태원동,19559
서울특별시,용산구,서빙고동,14000
서울특별시,용산구,보광동,15531
서울특별시,용산구,청파동1가,6832
서울특별시,용산구,청파동2가,6832
서울특별시,용산구,청파동3가,6832
서울특별시,용산구,원효로1가,16730
서울특별시,용산구,한강로1가,7365
서울특별시,용산구,한강로2가,7366
서울특별시,용산구,한강로3가,7366
서울특별시,용산구,한남동,23761
서울특별시,성동구,왕십리2동,17416
서울특별시,성동구,마장동,23459
서울특별시,성동구,사근동,13512
서울특별시,성동구,행당동,38514
서울특별시,성동구,응봉동,15824
서울특별시,성동구,금호동1가,15795
서울특별시,성동구,금호동4가,14842
서울특별시,성동구,성수동1가,30589
서울특별시,성동구,성수동2가,28603
서울특별시,성동구,송정동,11143
서울특별시,성동구,용답동,12724
서울특별시,성동구,왕십리도선동,27588
서울특별시,성동구,금호동2가,11792
서울특별시,성동구,금호동3가,11792
서울특별시,성동구,옥수동,26912
서울특별시,광진구,화양동,25541
서울특별시,광진구,군자동,21903
서울특별시,광진구,중곡동,85192
서울특별시,광진구,능동,11913
서울특별시,광진구,구의동,79732
서울특별시,광진구,광장동,35619
서울특별시,광진구,자양동,100209
서울특별시,동대문구,회기동,12663
서울특별시,동대문구,휘경동,40354
서울특별시,동대문구,청량리동,20432
서울특별시,동대문구,용신동,32602
서울특별시,동대문구,제기동,27017
서울특별시,동대문구,전농동,50171
서울특별시,동대문구,답십리동,58997
서울특별시,동대문구,장안동,72626
서울특별시,동대문구,이문동,42152
서울특별시,중랑구,상봉동,45126
서울특별시,중랑구,중화동,46473
서울특별시,중랑구,묵동,55260
서울특별시,중랑구,신내동,61133
서울특별시,중랑구,면목동,143278
서울특별시,중랑구,망우동,48292
서울특별시,성북구,돈암동,40065
서울특별시,성북구,안암동,16580
서울특별시,성북구,보문동,16123
서울특별시,성북구,정릉동,85505
서울특별시,성북구,길음동,53735
서울특별시,성북구,월곡동,47504
서울특별시,성북구,장위동,51914
서울특별시,성북구,성북동,17404
서울특별시,성북구,삼선동,24144
서울특별시,성북구,동선동,16246
서울특별시,성북구,종암동,41353
서울특별시,성북구,석관동,36483
서울특별시,강북구,번동,53590
서울특별시,강북구,수유동,66970
서울특별시,강북구,삼양동,24742
서울특별시,강북구,미아동,22723
서울특별시,강북구,송중동,30934
서울특별시,강북구,송천동,27871
서울특별시,강북구,삼각산동,32118
서울특별시,강북구,우이동,21076
서울특별시,강북구,인수동,31545
서울특별시,도봉구,쌍문동,77641
서울특별시,도봉구,방학동,77682
서울특별시,도봉구,창동,122308
서울특별시,도봉구,도봉동,49730
서울특별시,노원구,월계동,81490
서울특별시,노원구,공릉동,78684
서울특별시,노원구,하계동,50688
서울특별시,노원구,중계동,108836
서울특별시,노원구,상계동,207334
서울특별시,은평구,녹번동,37815
서울특별시,은평구,불광동,68762
서울특별시,은평구,갈현동,52635
서울특별시,은평구,구산동,32997
서울특별시,은평구,대조동,27579
서울특별시,은평구,응암동,84594
서울특별시,은평구,신사동,48721
서울특별시,은평구,증산동,15487
서울특별시,은평구,수색동,11258
서울특별시,은평구,진관동,57256
서울특별시,은평구,역촌동,46939
서울특별시,서대문구,천연동,18049
서울특별시,서대문구,홍제동,54921
서울특별시,서대문구,홍은동,51000
서울특별시,서대문구,남가좌동,47137
서울특별시,서대문구,북가좌동,51504
서울특별시,서대문구,충현동,21229
서울특별시,서대문구,북아현동,16956
서울특별시,서대문구,신촌동,23051
서울특별시,서대문구,연희동,39105
서울특별시,마포구,용강동,22257
서울특별시,마포구,대흥동,15863
서울특별시,마포구,염리동,12864
서울특별시,마포구,신수동,23606
서울특별시,마포구,서교동,26981
서울특별시,마포구,합정동,18576
서울특별시,마포구,망원동,40329
서울특별시,마포구,연남동,16682
서울특별시,마포구,성산동,60348
서울특별시,마포구,상암동,31997
서울특별시,마포구,도화동,21998
서울특별시,마포구,서강동,25386
서울특별시,마포구,공덕동,38750
서울특별시,마포구,아현동,26221
서울특별시,양천구,목동,153553
서울특별시,양천구,신월동,125465
서울특별시,양천구,신정동,177372
서울특별시,강서구,염창동,42017
서울특별시,강서구,등촌동,77214
서울특별시,강서구,화곡동,201246
서울특별시,강서구,가양동,64711
서울특별시,강서구,외발산동,37530
서울특별시,강서구,공항동,27627
서울특별시,강서구,방화동,91569
서울특별시,강서구,우장산동,43987
서울특별시,구로구,신도림동,36494
서울특별시,구로구,구로동,137774
서울특별시,구로구,고척동,51400
서울특별시,구로구,개봉동,88741
서울특별시,구로구,오류동,63115
서울특별시,구로구,수궁동,24297
서울특별시,구로구,가리봉동,14263
서울특별시,구로구,항동,16404
서울특별시,금천구,가산동,25973
서울특별시,금천구,독산동,110856
서울특별시,금천구,시흥동,111006
서울특별시,영등포구,여의동,34463
서울특별시,영등포구,당산동,59208
서울특별시,영등포구,양평동,40305
서울특별시,영등포구,신길동,102288
서울특별시,영등포구,대림동,64500
서울특별시,영등포구,영등포동,52539
서울특별시,영등포구,도림동,20665
서울특별시,영등포구,문래동,33399
서울특별시,동작구,노량진동,45899
서울특별시,동작구,상도1동,46840
서울특별시,동작구,상도동,82884
서울특별시,동작구,사당동,105944
서울특별시,동작구,대방동,39172
서울특별시,동작구,신대방동,46289
서울특별시,동작구,흑석동,34544
서울특별시,관악구,보라매동,25278
서울특별시,관악구,청림동,15711
서울특별시,관악구,행운동,29799
서울특별시,관악구,낙성대동,17579
서울특별시,관악구,중앙동,15758
서울특별시,관악구,인헌동,26500
서울특별시,관악구,남현동,18598
서울특별시,관악구,서원동,23565
서울특별시,관악구,신원동,19290
서울특별시,관악구,서림동,24410
서울특별시,관악구,신사동,25426
서울특별시,관악구,신림동,22667
서울특별시,관악구,난향동,15915
서울특별시,관악구,조원동,19232
서울특별시,관악구,대학동,24907
서울특별시,관악구,은천동,34595
서울특별시,관악구,성현동,30472
서울특별시,관악구,청룡동,36325
서울특별시,관악구,난곡동,28054
서울특별시,관악구,삼성동,23935
