DSTRT_CD|SIDO_CD|SIDO_NM|ADM_GU_CD|ADM_GU_NM|EMD_NM|ZONE_CD|ETL_TYPE|ETL_DATE
4121065000|41|경기도|41210|광명시|소하2동||0602|2016-12-26 14:56:11
4122032000|41|경기도|41220|평택시|서탄면||0602|2016-12-26 14:56:11
4122058000|41|경기도|41220|평택시|신장2동||0602|2016-12-26 14:56:11
4127154000|41|경기도|41271|안산시상록구|본오1동||0602|2016-12-26 14:56:11
4127352000|41|경기도|41273|안산시단원구|고잔1동||0602|2016-12-26 14:56:11
4128154000|41|경기도|41281|고양시덕양구|성사1동||0602|2016-12-26 14:56:11
4150036000|41|경기도|41500|이천시|모가면||0602|2016-12-26 14:56:11
4150052000|41|경기도|41500|이천시|중리동||0602|2016-12-26 14:56:11
4155039000|41|경기도|41550|안성시|일죽면||0602|2016-12-26 14:56:11
4157035000|41|경기도|41570|김포시|월곶면||0602|2016-12-26 14:56:11
4146135000|41|경기도|41461|용인시처인구|백암면||0602|2016-12-26 14:56:11
4146355000|41|경기도|41463|용인시기흥구|서농동||0602|2016-12-26 14:56:11
4146553000|41|경기도|41465|용인시수지구|신봉동||0602|2016-12-26 14:56:11
4148038000|41|경기도|41480|파주시|군내면||0602|2016-12-26 14:56:11
4161025300|41|경기도|41610|광주시|초월읍||0602|2016-12-26 14:56:11
4180025000|41|경기도|41800|연천군|연천읍||0602|2016-12-26 14:56:11
4182032500|41|경기도|41820|가평군|청평면||0602|2016-12-26 14:56:11
4180033000|41|경기도|41800|연천군|백학면||0602|2016-12-26 14:56:11
4163056000|41|경기도|41630|양주시|회천4동||0602|2016-12-26 14:56:11
4165052000|41|경기도|41650|포천시|선단동||0602|2016-12-26 14:56:11
4215032000|42|강원도|42150|강릉시|왕산면||0602|2016-12-26 14:56:11
4221058000|42|강원도|42210|속초시|조양동||0602|2016-12-26 14:56:11
4223051000|42|강원도|42230|삼척시|남양동||0602|2016-12-26 14:56:11
4273033000|42|강원도|42730|횡성군|둔내면||0602|2016-12-26 14:56:11
4183040000|41|경기도|41830|양평군|용문면||0602|2016-12-26 14:56:11
4211066000|42|강원도|42110|춘천시|퇴계동||0602|2016-12-26 14:56:11
4213035000|42|강원도|42130|원주시|부론면||0602|2016-12-26 14:56:11
4129000000|41|경기도|41290|과천시|||0602|2016-12-26 14:56:11
4136000000|41|경기도|41360|남양주시|||0602|2016-12-26 14:56:11
4145053000|41|경기도|41450|하남시|신장2동||0602|2016-12-26 14:56:11
4145057000|41|경기도|41450|하남시|풍산동||0602|2016-12-26 14:56:11
4137057000|41|경기도|41370|오산시|대원동||0602|2016-12-26 14:56:11
4139052000|41|경기도|41390|시흥시|신천동||0602|2016-12-26 14:56:11
4139059200|41|경기도|41390|시흥시|정왕2동||0602|2016-12-26 14:56:11
4121064000|41|경기도|41210|광명시|소하1동||0602|2016-12-26 14:56:11
4122060000|41|경기도|41220|평택시|원평동||0602|2016-12-26 14:56:11
4127158000|41|경기도|41271|안산시상록구|월피동||0602|2016-12-26 14:56:11
4128162100|41|경기도|41281|고양시덕양구|화정1동||0602|2016-12-26 14:56:11
4150038000|41|경기도|41500|이천시|율면||0602|2016-12-26 14:56:11
4157000000|41|경기도|41570|김포시|||0602|2016-12-26 14:56:11
4159034000|41|경기도|41590|화성시|송산면||0602|2016-12-26 14:56:11
4157052000|41|경기도|41570|김포시|김포2동||0602|2016-12-26 14:56:11
4146353000|41|경기도|41463|용인시기흥구|상갈동||0602|2016-12-26 14:56:11
4148039000|41|경기도|41480|파주시|장단면||0602|2016-12-26 14:56:11
4150025300|41|경기도|41500|이천시|부발읍||0602|2016-12-26 14:56:11
4159053000|41|경기도|41590|화성시|병점1동||0602|2016-12-26 14:56:11
4180032000|41|경기도|41800|연천군|청산면||0602|2016-12-26 14:56:11
4183031000|41|경기도|41830|양평군|강상면||0602|2016-12-26 14:56:11
4163054000|41|경기도|41630|양주시|회천2동||0602|2016-12-26 14:56:11
4215051000|42|강원도|42150|강릉시|홍제동||0602|2016-12-26 14:56:11
4215060000|42|강원도|42150|강릉시|내곡동||0602|2016-12-26 14:56:11
4217000000|42|강원도|42170|동해시|||0602|2016-12-26 14:56:11
4272025000|42|강원도|42720|홍천군|홍천읍||0602|2016-12-26 14:56:11
4211032000|42|강원도|42110|춘천시|동산면||0602|2016-12-26 14:56:11
4211039000|42|강원도|42110|춘천시|동내면||0602|2016-12-26 14:56:11
4211063000|42|강원도|42110|춘천시|효자2동||0602|2016-12-26 14:56:11
4213053000|42|강원도|42130|원주시|개운동||0602|2016-12-26 14:56:11
4113367000|41|경기도|41133|성남시중원구|도촌동||0602|2016-12-26 14:56:11
4113563000|41|경기도|41135|성남시분당구|야탑2동||0602|2016-12-26 14:56:11
4115057600|41|경기도|41150|의정부시|송산2동||0602|2016-12-26 14:56:11
4111157100|41|경기도|41111|수원시장안구|정자1동||0602|2016-12-26 14:56:11
4111366000|41|경기도|41113|수원시권선구|금호동||0602|2016-12-26 14:56:11
4111700000|41|경기도|41117|수원시영통구|||0602|2016-12-26 14:56:11
2915551000|29|광주광역시|29155|남구|양림동||0602|2016-12-26 14:56:11
2915563000|29|광주광역시|29155|남구|월산4동||0602|2016-12-26 14:56:11
2917062000|29|광주광역시|29170|북구|우산동||0602|2016-12-26 14:56:11
2920062000|29|광주광역시|29200|광산구|비아동||0602|2016-12-26 14:56:11
2920063500|29|광주광역시|29200|광산구|운남동||0602|2016-12-26 14:56:11
2920065000|29|광주광역시|29200|광산구|임곡동||0602|2016-12-26 14:56:11
3011054500|30|대전광역시|30110|동구|신인동||0602|2016-12-26 14:56:11
3011062000|30|대전광역시|30110|동구|가양1동||0602|2016-12-26 14:56:11
3011074000|30|대전광역시|30110|동구|산내동||0602|2016-12-26 14:56:11
3014064000|30|대전광역시|30140|중구|부사동||0602|2016-12-26 14:56:11
3014074000|30|대전광역시|30140|중구|산성동||0602|2016-12-26 14:56:11
3017057500|30|대전광역시|30170|서구|내동||0602|2016-12-26 14:56:11
4115061000|41|경기도|41150|의정부시|가능3동||0602|2016-12-26 14:56:11
4117163000|41|경기도|41171|안양시만안구|박달2동||0602|2016-12-26 14:56:11
4117360000|41|경기도|41173|안양시동안구|호계3동||0602|2016-12-26 14:56:11
4119566000|41|경기도|41195|부천시원미구|중4동||0602|2016-12-26 14:56:11
4119951000|41|경기도|41199|부천시오정구|성곡동||0602|2016-12-26 14:56:11
4128751000|41|경기도|41287|고양시일산서구|일산1동||0602|2016-12-26 14:56:11
4131052000|41|경기도|41310|구리시|동구동||0602|2016-12-26 14:56:11
4143051000|41|경기도|41430|의왕시|고천동||0602|2016-12-26 14:56:11
4136051000|41|경기도|41360|남양주시|호평동||0602|2016-12-26 14:56:11
4137000000|41|경기도|41370|오산시|||0602|2016-12-26 14:56:11
4139055000|41|경기도|41390|시흥시|매화동||0602|2016-12-26 14:56:11
4139064000|41|경기도|41390|시흥시|능곡동||0602|2016-12-26 14:56:11
4121063400|41|경기도|41210|광명시|하안4동||0602|2016-12-26 14:56:11
4122035000|41|경기도|41220|평택시|청북면||0602|2016-12-26 14:56:11
4125058000|41|경기도|41250|동두천시|소요동||0602|2016-12-26 14:56:11
4127151000|41|경기도|41271|안산시상록구|일동||0602|2016-12-26 14:56:11
4127300000|41|경기도|41273|안산시단원구|||0602|2016-12-26 14:56:11
4128158000|41|경기도|41281|고양시덕양구|창릉동||0602|2016-12-26 14:56:11
4128551000|41|경기도|41285|고양시일산동구|식사동||0602|2016-12-26 14:56:11
4150035000|41|경기도|41500|이천시|대월면||0602|2016-12-26 14:56:11
4157025000|41|경기도|41570|김포시|통진읍||0602|2016-12-26 14:56:11
4159033000|41|경기도|41590|화성시|마도면||0602|2016-12-26 14:56:11
4146300000|41|경기도|41463|용인시기흥구|||0602|2016-12-26 14:56:11
4146555000|41|경기도|41465|용인시수지구|죽전2동||0602|2016-12-26 14:56:11
4146559000|41|경기도|41465|용인시수지구|성복동||0602|2016-12-26 14:56:11
4148051000|41|경기도|41480|파주시|금촌1동||0602|2016-12-26 14:56:11
4182025000|41|경기도|41820|가평군|가평읍||0602|2016-12-26 14:56:11
4165038000|41|경기도|41650|포천시|이동면||0602|2016-12-26 14:56:11
4173032000|41|경기도|41730|여주군|가남면||0602|2016-12-26 14:56:11
4219000000|42|강원도|42190|태백시|||0602|2016-12-26 14:56:11
4219052500|42|강원도|42190|태백시|황연동||0602|2016-12-26 14:56:11
4221057000|42|강원도|42210|속초시|노학동||0602|2016-12-26 14:56:11
4223032000|42|강원도|42230|삼척시|하장면||0602|2016-12-26 14:56:11
4183037000|41|경기도|41830|양평군|청운면||0602|2016-12-26 14:56:11
4211033000|42|강원도|42110|춘천시|신동면||0602|2016-12-26 14:56:11
4211060000|42|강원도|42110|춘천시|후평1동||0602|2016-12-26 14:56:11
4213025000|42|강원도|42130|원주시|문막읍||0602|2016-12-26 14:56:11
4213037000|42|강원도|42130|원주시|흥업면||0602|2016-12-26 14:56:11
4279033000|42|강원도|42790|화천군|상서면||0602|2016-12-26 14:56:11
4281035000|42|강원도|42810|인제군|상남면||0602|2016-12-26 14:56:11
4277025600|42|강원도|42770|정선군|사북읍||0602|2016-12-26 14:56:11
4277032000|42|강원도|42770|정선군|남면||0602|2016-12-26 14:56:11
4279025000|42|강원도|42790|화천군|화천읍||0602|2016-12-26 14:56:11
4313054000|43|충청북도|43130|충주시|교현2동||0602|2016-12-26 14:56:11
4371025000|43|충청북도|43710|청원군|내수읍||0602|2016-12-26 14:56:11
4371035000|43|충청북도|43710|청원군|남이면||0602|2016-12-26 14:56:11
4311169000|43|충청북도|43111|청주시상당구|용담.명암.산성동||0602|2016-12-26 14:56:11
4311173000|43|충청북도|43111|청주시상당구|용암2동||0602|2016-12-26 14:56:11
4311372800|43|충청북도|43113|청주시흥덕구|수곡2동||0602|2016-12-26 14:56:11
4313032500|43|충청북도|43130|충주시|수안보면||0602|2016-12-26 14:56:11
4372031500|43|충청북도|43720|보은군|속리산면||0602|2016-12-26 14:56:11
4376036000|43|충청북도|43760|괴산군|청천면||0602|2016-12-26 14:56:11
4372040000|43|충청북도|43720|보은군|산외면||0602|2016-12-26 14:56:11
4374034000|43|충청북도|43740|영동군|매곡면||0602|2016-12-26 14:56:11
4415039000|44|충청남도|44150|공주시|사곡면||0602|2016-12-26 14:56:11
4377033000|43|충청북도|43770|음성군|맹동면||0602|2016-12-26 14:56:11
4418038000|44|충청남도|44180|보령시|주산면||0602|2016-12-26 14:56:11
4420000000|44|충청남도|44200|아산시|||0602|2016-12-26 14:56:11
4423033000|44|충청남도|44230|논산시|노성면||0602|2016-12-26 14:56:11
4423052000|44|충청남도|44230|논산시|부창동||0602|2016-12-26 14:56:11
4423038000|44|충청남도|44230|논산시|벌곡면||0602|2016-12-26 14:56:11
4420061000|44|충청남도|44200|아산시|온양5동||0602|2016-12-26 14:56:11
4421039000|44|충청남도|44210|서산시|해미면||0602|2016-12-26 14:56:11
4477040000|44|충청남도|44770|서천군|비인면||0602|2016-12-26 14:56:11
4480025300|44|충청남도|44800|홍성군|광천읍||0602|2016-12-26 14:56:11
4479031000|44|충청남도|44790|청양군|운곡면||0602|2016-12-26 14:56:11
4471036000|44|충청남도|44710|금산군|남이면||0602|2016-12-26 14:56:11
4473033000|44|충청남도|44730|연기군|남면||0602|2016-12-26 14:56:11
4480038000|44|충청남도|44800|홍성군|갈산면||0602|2016-12-26 14:56:11
4511171100|45|전라북도|45111|전주시완산구|효자1동||0602|2016-12-26 14:56:11
4481036000|44|충청남도|44810|예산군|덕산면||0602|2016-12-26 14:56:11
4482525300|44|충청남도|44825|태안군|안면읍||0602|2016-12-26 14:56:11
4518035000|45|전라북도|45180|정읍시|영원면||0602|2016-12-26 14:56:11
4518057000|45|전라북도|45180|정읍시|연지동||0602|2016-12-26 14:56:11
4521035000|45|전라북도|45210|김제시|백구면||0602|2016-12-26 14:56:11
4521025000|45|전라북도|45210|김제시|만경읍||0602|2016-12-26 14:56:11
4513053000|45|전라북도|45130|군산시|월명동||0602|2016-12-26 14:56:11
4513070100|45|전라북도|45130|군산시|나운1동||0602|2016-12-26 14:56:11
4514059500|45|전라북도|45140|익산시|남중동||0602|2016-12-26 14:56:11
4613053500|46|전라남도|46130|여수시|한려동||0602|2016-12-26 14:56:11
4728033000|47|경상북도|47280|문경시|호계면||0602|2016-12-26 14:56:11
4680033000|46|전라남도|46800|장흥군|장동면||0602|2016-12-26 14:56:11
4729000000|47|경상북도|47290|경산시|||0602|2016-12-26 14:56:11
4711371000|47|경상북도|47113|포항시북구|환여동||0602|2016-12-26 14:56:11
4615055000|46|전라남도|46150|순천시|삼산동||0602|2016-12-26 14:56:11
4682035000|46|전라남도|46820|해남군|북평면||0602|2016-12-26 14:56:11
4729036000|47|경상북도|47290|경산시|압량면||0602|2016-12-26 14:56:11
4617035000|46|전라남도|46170|나주시|동강면||0602|2016-12-26 14:56:11
4713059000|47|경상북도|47130|경주시|선도동||0602|2016-12-26 14:56:11
4571035000|45|전라북도|45710|완주군|구이면||0602|2016-12-26 14:56:11
4617055000|46|전라남도|46170|나주시|성북동||0602|2016-12-26 14:56:11
4683035000|46|전라남도|46830|영암군|도포면||0602|2016-12-26 14:56:11
4572025000|45|전라북도|45720|진안군|진안읍||0602|2016-12-26 14:56:11
4671034000|46|전라남도|46710|담양군|창평면||0602|2016-12-26 14:56:11
4684032000|46|전라남도|46840|무안군|몽탄면||0602|2016-12-26 14:56:11
4717000000|47|경상북도|47170|안동시|||0602|2016-12-26 14:56:11
4573032000|45|전라북도|45730|무주군|설천면||0602|2016-12-26 14:56:11
4672000000|46|전라남도|46720|곡성군|||0602|2016-12-26 14:56:11
4717036000|47|경상북도|47170|안동시|남후면||0602|2016-12-26 14:56:11
4672037000|46|전라남도|46720|곡성군|옥과면||0602|2016-12-26 14:56:11
4686037000|46|전라남도|46860|함평군|해보면||0602|2016-12-26 14:56:11
4687034000|46|전라남도|46870|영광군|군서면||0602|2016-12-26 14:56:11
4575040000|45|전라북도|45750|임실군|덕치면||0602|2016-12-26 14:56:11
4677025000|46|전라남도|46770|고흥군|고흥읍||0602|2016-12-26 14:56:11
4688035000|46|전라남도|46880|장성군|삼계면||0602|2016-12-26 14:56:11
4721036000|47|경상북도|47210|영주시|봉현면||0602|2016-12-26 14:56:11
4688039000|46|전라남도|46880|장성군|북이면||0602|2016-12-26 14:56:11
4678034000|46|전라남도|46780|보성군|율어면||0602|2016-12-26 14:56:11
4689032000|46|전라남도|46890|완도군|신지면||0602|2016-12-26 14:56:11
4579041000|45|전라북도|45790|고창군|성내면||0602|2016-12-26 14:56:11
4679031000|46|전라남도|46790|화순군|한천면||0602|2016-12-26 14:56:11
4723055500|47|경상북도|47230|영천시|남부동||0602|2016-12-26 14:56:11
4679039000|46|전라남도|46790|화순군|북면||0602|2016-12-26 14:56:11
4691034000|46|전라남도|46910|신안군|비금면||0602|2016-12-26 14:56:11
4691036000|46|전라남도|46910|신안군|흑산면||0602|2016-12-26 14:56:11
4600000000|46|전라남도|46000||||0602|2016-12-26 14:56:11
4611075700|46|전라남도|46110|목포시|하당동||0602|2016-12-26 14:56:11
4790036000|47|경상북도|47900|예천군|호명면||0602|2016-12-26 14:56:11
4213057500|42|강원도|42130|원주시|학성동||0602|2016-12-26 14:56:11
4273038000|42|강원도|42730|횡성군|강림면||0602|2016-12-26 14:56:11
4280032000|42|강원도|42800|양구군|동면||0602|2016-12-26 14:56:11
4282000000|42|강원도|42820|고성군|||0602|2016-12-26 14:56:11
4278000000|42|강원도|42780|철원군|||0602|2016-12-26 14:56:11
4278035000|42|강원도|42780|철원군|원동면||0602|2016-12-26 14:56:11
4313057100|43|충청북도|43130|충주시|문화동||0602|2016-12-26 14:56:11
4371033000|43|충청북도|43710|청원군|가덕면||0602|2016-12-26 14:56:11
4311162000|43|충청북도|43111|청주시상당구|탑대성동||0602|2016-12-26 14:56:11
4311376000|43|충청북도|43113|청주시흥덕구|강서제1동||0602|2016-12-26 14:56:11
4313039000|43|충청북도|43130|충주시|금가면||0602|2016-12-26 14:56:11
4372035000|43|충청북도|43720|보은군|삼승면||0602|2016-12-26 14:56:11
4373032000|43|충청북도|43730|옥천군|안남면||0602|2016-12-26 14:56:11
4413135000|44|충청남도|44131|천안시동남구|수신면||0602|2016-12-26 14:56:11
4413155000|44|충청남도|44131|천안시동남구|봉명동||0602|2016-12-26 14:56:11
4413351000|44|충청남도|44133|천안시서북구|성정1동||0602|2016-12-26 14:56:11
4415038000|44|충청남도|44150|공주시|우성면||0602|2016-12-26 14:56:11
4380032000|43|충청북도|43800|단양군|가곡면||0602|2016-12-26 14:56:11
4418039000|44|충청남도|44180|보령시|미산면||0602|2016-12-26 14:56:11
4423035000|44|충청남도|44230|논산시|부적면||0602|2016-12-26 14:56:11
4421033000|44|충청남도|44210|서산시|팔봉면||0602|2016-12-26 14:56:11
4421037000|44|충청남도|44210|서산시|음암면||0602|2016-12-26 14:56:11
4477035000|44|충청남도|44770|서천군|마산면||0602|2016-12-26 14:56:11
4480000000|44|충청남도|44800|홍성군|||0602|2016-12-26 14:56:11
4479034000|44|충청남도|44790|청양군|목면||0602|2016-12-26 14:56:11
4473031000|44|충청남도|44730|연기군|동면||0602|2016-12-26 14:56:11
4476032000|44|충청남도|44760|부여군|은산면||0602|2016-12-26 14:56:11
4483038000|44|충청남도|44830|당진군|신평면||0602|2016-12-26 14:56:11
4511355000|45|전라북도|45113|전주시덕진구|인후2동||0602|2016-12-26 14:56:11
4518034000|45|전라북도|45180|정읍시|고부면||0602|2016-12-26 14:56:11
