시도명,시군구명,읍/면/동
서울특별시,강남구,논현동
경상북도,문경시,흥덕동
경상남도,거제시,일운면
경기도,안산시상록구,본오동
전라북도,익산시,인화동1가
경기도,하남시,망월동
경상남도,김해시,어방동
경기도,시흥시,정왕동
경기도,고양시덕양구,행신동
제주특별자치도,제주시,도남동
경기도,남양주시,진건읍
제주특별자치도,제주시,회천동
강원도,영월군,수주면
경기도,이천시,모가면
부산광역시,수영구,민락동
경기도,시흥시,정왕동
인천광역시,부평구,부평동
충청남도,홍성군,은하면
경기도,안산시단원구,대부북동
서울특별시,마포구,동교동
서울특별시,강서구,가양동
경상남도,창원시 마산합포구,월영동
경상북도,예천군,용궁면
부산광역시,북구,구포동
경상북도,봉화군,봉화읍
인천광역시,남구,용현동
경상남도,함안군,여항면
강원도,강릉시,교동
전라북도,전주시덕진구,호성동2가
전라북도,전주시덕진구,송천동2가
경기도,수원시권선구,평동
경기도,파주시,금촌동
대구광역시,서구,비산동
광주광역시,북구,신용동
인천광역시,계양구,평동
대구광역시,북구,침산동
충청남도,아산시,영인면
대구광역시,달성군,다사읍
충청남도,예산군,덕산면
부산광역시,금정구,청룡동
충청북도,음성군,생극면
전라북도,전주시완산구,평화동2가
경상북도,경주시,건천읍
부산광역시,중구,부평동1가
서울특별시,강동구,성내동
전라남도,목포시,산정동
서울특별시,강북구,우이동
충청남도,공주시,반포면
경상북도,경주시,구황동
충청남도,서천군,기산면
전라남도,화순군,도곡면
서울특별시,양천구,목동
인천광역시,중구,운서동
강원도,홍천군,남면
광주광역시,북구,용봉동
충청북도,진천군,진천읍
서울특별시,강서구,외발산동
서울특별시,서초구,잠원동
강원도,홍천군,두촌면
서울특별시,송파구,잠실동
부산광역시,북구,덕천동
전라남도,화순군,이양면
강원도,평창군,대관령면
부산광역시,북구,화명동
경기도,과천시,갈현동
경기도,수원시장안구,정자동
서울특별시,송파구,문정동
서울특별시,관악구,신림동
광주광역시,광산구,장덕동
대구광역시,남구,대명동
경기도,이천시,부발읍
경상남도,창원시 마산합포구,해운동
충청남도,공주시,우성면
경기도,수원시영통구,영통동
대구광역시,서구,이현동
경기도,부천시,내동
대구광역시,동구,도동
제주특별자치도,제주시,이도이동
전라남도,장성군,황룡면
인천광역시,남동구,간석동
경기도,광명시,소하동
충청남도,공주시,태봉동
전라남도,강진군,작천면
대구광역시,북구,산격동
경기도,김포시,구래동
부산광역시,동구,범일동
서울특별시,강동구,천호동
경상북도,경산시,대동
충청남도,천안시서북구,입장면
대구광역시,남구,대명동
경상남도,통영시,무전동
부산광역시,중구,부평동4가
울산광역시,울주군,범서읍
경기도,하남시,망월동
부산광역시,동구,수정동
경기도,김포시,월곶면
경상북도,영주시,조와동
부산광역시,동래구,온천동
경기도,남양주시,진건읍
전라남도,고흥군,도양읍
서울특별시,서대문구,연희동
서울특별시,은평구,불광동
울산광역시,남구,무거동
경기도,화성시,팔탄면
서울특별시,마포구,마포동
전라남도,목포시,상동
경기도,평택시,평택동
경기도,화성시,능동
인천광역시,서구,오류동
전라남도,완도군,완도읍
경상북도,예천군,예천읍
경기도,고양시덕양구,주교동
전라북도,전주시덕진구,송천동1가
서울특별시,강남구,역삼동
경기도,수원시장안구,정자동
전라남도,해남군,옥천면
전라북도,임실군,덕치면
인천광역시,서구,석남동
충청남도,서천군,판교면
경기도,화성시,매송면
경기도,광주시,태전동
대전광역시,동구,신흥동
전라북도,익산시,팔봉동
경기도,광주시,남한산성면
경상북도,봉화군,석포면
경상남도,진주시,지수면
경상남도,창원시 의창구,대산면
부산광역시,강서구,대저1동
서울특별시,영등포구,대림동
전라북도,정읍시,소성면
경상북도,김천시,대항면
인천광역시,서구,가정동
경상남도,양산시,물금읍
강원도,속초시,교동
경기도,평택시,고덕면
경기도,동두천시,상봉암동
서울특별시,서초구,내곡동
강원도,춘천시,사농동
경기도,광명시,광명동
경상남도,거제시,일운면
대전광역시,서구,장안동
서울특별시,중랑구,면목동
울산광역시,울주군,온산읍
강원도,강릉시,옥계면
서울특별시,강남구,역삼동
부산광역시,연제구,연산동
부산광역시,기장군,기장읍
충청남도,천안시서북구,불당동
경기도,남양주시,삼패동
전라남도,담양군,용면
경상북도,안동시,길안면
충청남도,태안군,안면읍
강원도,춘천시,사북면
서울특별시,서초구,잠원동
경기도,구리시,수택동
서울특별시,노원구,중계동
경상남도,거창군,가조면
인천광역시,서구,가정동
경기도,평택시,서정동
경기도,안산시상록구,본오동
전라북도,남원시,산내면
강원도,강릉시,입암동
전라북도,전주시완산구,효자동3가
경기도,용인시수지구,풍덕천동
부산광역시,부산진구,범천동
서울특별시,강서구,가양동
대전광역시,유성구,원신흥동
경기도,군포시,금정동
전라남도,나주시,문평면
경상북도,포항시북구,장성동
경기도,평택시,동삭동
경기도,용인시처인구,이동면
전라북도,순창군,동계면
강원도,춘천시,사북면
경상남도,고성군,고성읍
서울특별시,광진구,자양동
부산광역시,강서구,대저1동
부산광역시,강서구,식만동
충청남도,아산시,신창면
부산광역시,사하구,하단동
인천광역시,남구,주안동
경상북도,영덕군,강구면
경기도,광명시,하안동
경기도,동두천시,상봉암동
전라북도,부안군,하서면
경상남도,김해시,어방동
제주특별자치도,서귀포시,성산읍
경상북도,영주시,봉현면
강원도,강릉시,홍제동
경기도,파주시,와동동
경기도,성남시중원구,중앙동
충청북도,제천시,금성면
경기도,김포시,양촌읍
충청남도,태안군,태안읍
경기도,남양주시,별내동
경상북도,포항시북구,환호동
강원도,춘천시,효자동
경기도,광주시,오포읍
부산광역시,금정구,장전동
경기도,부천시,소사본동
전라남도,목포시,옥암동
서울특별시,관악구,봉천동
강원도,홍천군,홍천읍
광주광역시,광산구,우산동
제주특별자치도,제주시,구좌읍
충청남도,아산시,배방읍
부산광역시,사하구,장림동
대구광역시,북구,국우동
광주광역시,북구,중흥동
경기도,평택시,안중읍
서울특별시,동작구,사당동
전라북도,전주시덕진구,우아동3가
전라남도,해남군,삼산면
경기도,파주시,적성면
경기도,성남시분당구,백현동
강원도,동해시,천곡동
경상북도,성주군,용암면
경기도,의정부시,의정부동
경기도,남양주시,호평동
강원도,철원군,갈말읍
경상남도,함안군,칠원읍
강원도,홍천군,서면
경기도,김포시,장기동
인천광역시,남구,도화동
경상북도,포항시남구,장기면
전라남도,담양군,대전면
경기도,용인시처인구,이동면
서울특별시,강남구,일원동
제주특별자치도,제주시,노형동
충청남도,서산시,예천동
서울특별시,강서구,내발산동
부산광역시,부산진구,양정동
경기도,파주시,하지석동
충청남도,청양군,청양읍
서울특별시,서초구,방배동
충청북도,진천군,진천읍
부산광역시,영도구,청학동
경상남도,거창군,거창읍
대구광역시,중구,인교동
대구광역시,달성군,다사읍
서울특별시,강서구,개화동
대전광역시,대덕구,비래동
전라남도,진도군,임회면
제주특별자치도,제주시,이도이동
울산광역시,울주군,온산읍
충청남도,논산시,반월동
대구광역시,달성군,화원읍
충청남도,아산시,음봉면
강원도,춘천시,후평동
서울특별시,강남구,역삼동
전라남도,함평군,대동면
전라북도,진안군,정천면
경기도,양평군,용문면
전라남도,영암군,영암읍
경기도,안산시단원구,고잔동
경기도,수원시팔달구,우만동
경기도,양주시,덕정동
인천광역시,서구,왕길동
경상북도,영덕군,강구면
대구광역시,북구,서변동
전라북도,전주시덕진구,팔복동2가
경상남도,김해시,서상동
전라북도,남원시,금지면
전라남도,나주시,공산면
광주광역시,광산구,본덕동
대구광역시,동구,동호동
경기도,의왕시,내손동
경기도,광주시,오포읍
강원도,원주시,지정면
대구광역시,북구,복현동
경기도,의정부시,금오동
전라북도,정읍시,덕천면
경상북도,구미시,산동면
부산광역시,부산진구,범천동
경기도,오산시,원동
경상남도,밀양시,삼랑진읍
부산광역시,기장군,장안읍
서울특별시,강서구,등촌동
전라북도,순창군,복흥면
인천광역시,서구,오류동
부산광역시,해운대구,좌동
서울특별시,강남구,삼성동
대구광역시,달성군,화원읍
전라남도,영암군,금정면
경상북도,칠곡군,약목면
경기도,김포시,월곶면
인천광역시,남구,주안동
세종특별자치시,세종,도담동
울산광역시,남구,삼산동
경상남도,창녕군,영산면
경상북도,영천시,대창면
서울특별시,송파구,거여동
경기도,수원시장안구,조원동
전라북도,군산시,산북동
경기도,성남시분당구,정자동
전라북도,완주군,소양면
경기도,수원시권선구,금곡동
경기도,의정부시,신곡동
서울특별시,강북구,수유동
경상남도,창원시 의창구,봉곡동
부산광역시,동래구,사직동
인천광역시,서구,가좌동
경상북도,김천시,모암동
충청남도,당진시,합덕읍
부산광역시,금정구,장전동
광주광역시,광산구,도덕동
전라남도,영광군,영광읍
인천광역시,남구,주안동
경기도,여주시,능서면
경기도,김포시,하성면
인천광역시,서구,연희동
경기도,동두천시,지행동
강원도,횡성군,우천면
전라남도,곡성군,석곡면
경기도,부천시,중동
대구광역시,달성군,화원읍
경상남도,진주시,일반성면
세종특별자치시,세종,고운동
전라북도,군산시,개정면
충청북도,청주시청원구,오창읍
서울특별시,구로구,구로동
경상남도,남해군,고현면
경상북도,영주시,상망동
인천광역시,서구,원창동
제주특별자치도,제주시,애월읍
경상북도,경주시,외동읍
서울특별시,금천구,독산동
서울특별시,강북구,수유동
울산광역시,울주군,범서읍
경기도,포천시,신북면
강원도,횡성군,서원면
경기도,광주시,도척면
울산광역시,남구,삼산동
전라남도,장성군,진원면
전라북도,익산시,어양동
서울특별시,강남구,신사동
광주광역시,북구,양산동
경상남도,김해시,진영읍
충청남도,예산군,예산읍
경기도,광주시,초월읍
경기도,안양시만안구,석수동
경기도,파주시,법원읍
경상남도,김해시,삼방동
울산광역시,남구,무거동
경기도,평택시,지제동
경기도,용인시처인구,양지면
경상북도,김천시,아포읍
경기도,수원시영통구,매탄동
충청북도,음성군,삼성면
경상남도,김해시,주촌면
부산광역시,동래구,사직동
서울특별시,성북구,장위동
충청북도,청주시흥덕구,비하동
전라남도,여수시,학동
전라북도,정읍시,고부면
경기도,용인시수지구,고기동
전라남도,순천시,조례동
충청남도,보령시,웅천읍
경기도,부천시,중동
경상남도,창원시 성산구,웅남동
