"읍면동별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"읍면동별(1)",합계,합계,합계,한국인,한국인,한국인,한국인,외국인,외국인,외국인
"읍면동별(1)",총인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),총인구 (명),남자인구 (명),여자인구 (명),총인구 (명),남자인구 (명),여자인구 (명)
"정읍시",111239,55497,55742,54335,108508,53791,54717,2731,1706,1025
"신태인읍",5664,2776,2888,3039,5566,2719,2847,98,57,41
"북면",4533,2371,2162,2265,4276,2157,2119,257,214,43
"입암면",2883,1437,1446,1642,2860,1424,1436,23,13,10
"소성면",2160,1117,1043,1220,2080,1060,1020,80,57,23
"고부면",2888,1473,1415,1608,2811,1409,1402,77,64,13
"영원면",1838,915,923,1066,1798,891,907,40,24,16
"덕천면",1877,972,905,994,1807,915,892,70,57,13
"이평면",2139,1069,1070,1287,2105,1041,1064,34,28,6
"정우면",2622,1311,1311,1464,2603,1299,1304,19,12,7
"태인면",3577,1786,1791,2021,3456,1703,1753,121,83,38
"감곡면",2874,1461,1413,1692,2784,1388,1396,90,73,17
"옹동면",1736,874,862,1024,1692,847,845,44,27,17
"칠보면",2380,1229,1151,1293,2343,1204,1139,37,25,12
"산내면",1231,618,613,737,1222,616,606,9,2,7
"산외면",2152,1082,1070,1268,2128,1065,1063,24,17,7
"수성동",18063,9190,8873,8413,17567,8896,8671,496,294,202
"장명동",3057,1509,1548,1462,3017,1490,1527,40,19,21
"내장상동",20778,9998,10780,8611,20544,9894,10650,234,104,130
"시기동",3471,1652,1819,1740,3405,1628,1777,66,24,42
"초산동",11030,5535,5495,4224,10404,5144,5260,626,391,235
"연지동",6130,3044,3086,2923,6011,2986,3025,119,58,61
"농소동",4189,2032,2157,2144,4133,2005,2128,56,27,29
"상교동",3967,2046,1921,2198,3896,2010,1886,71,36,35
