"읍면별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"읍면별(1)",합계,합계,합계,한국인,한국인,한국인,한국인,외국인,외국인,외국인
"읍면별(1)",총인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),총인구 (명),남자인구 (명),여자인구 (명),총인구 (명),남자인구 (명),여자인구 (명)
"고창군",55424,27437,27987,29057,54529,26964,27565,895,473,422
"고창읍",21643,10691,10952,9649,21394,10607,10787,249,84,165
"고수면",2308,1194,1114,1287,2246,1151,1095,62,43,19
"아산면",2717,1384,1333,1591,2672,1358,1314,45,26,19
"무장면",2879,1422,1457,1580,2795,1372,1423,84,50,34
"공음면",2564,1262,1302,1474,2525,1238,1287,39,24,15
"상하면",2467,1196,1271,1384,2435,1175,1260,32,21,11
"해리면",2881,1419,1462,1646,2807,1369,1438,74,50,24
"성송면",1853,902,951,1125,1814,885,929,39,17,22
"대산면",3412,1692,1720,1991,3337,1646,1691,75,46,29
"심원면",2577,1309,1268,1443,2519,1264,1255,58,45,13
"흥덕면",3155,1545,1610,1783,3114,1519,1595,41,26,15
"성내면",1994,1011,983,1170,1971,1003,968,23,8,15
"신림면",2290,1105,1185,1316,2252,1089,1163,38,16,22
"부안면",2684,1305,1379,1618,2648,1288,1360,36,17,19
