"읍면별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"읍면별(1)",세대수 (세대),등록인구 (명),등록인구 (명),등록인구 (명),등록인구 (명),등록인구 (명),등록인구 (명),등록인구 (명),등록인구 (명),등록인구 (명),세대당인구 (명),65세 이상 고령자 (명),인구밀도,인구밀도
"읍면별(1)",소계,총수,총수,총수,한국인,한국인,한국인,외국인,외국인,외국인,소계,소계,소계 (명/㎢),면적 (㎢)
"읍면별(1)",소계,소계,남,여,소계,남,여,소계,남,여,소계,소계,소계,소계
"합계",35276,84265,45127,39138,78218,40839,37379,6047,4288,1759,2.20,12395,206.90,407.20
"진천읍",13185,31917,16409,15508,30395,15556,14839,1522,853,669,2.31,4501,452.72,70.50
"덕산면",8834,22439,12178,10261,20911,11053,9858,1528,1125,403,2.37,1799,639.29,35.10
"초평면",1675,3508,1824,1684,3330,1683,1647,178,141,37,1.99,1155,46.04,76.20
"문백면",1903,4147,2352,1795,3711,1962,1749,436,390,46,1.95,1097,68.89,60.20
"백곡면",1176,2167,1080,1087,2142,1068,1074,25,12,13,1.82,828,27.05,80.10
"이월면",3282,8078,4712,3366,6604,3456,3148,1474,1256,218,2.01,1668,146.34,55.20
"광혜원면",5221,12009,6572,5437,11125,6061,5064,884,511,373,2.13,1347,401.64,29.90
